"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"G 1/8'' ";"12,0 ";"34,5 ";"26,0 ";"19,0 ";"8 ";"14 ";"12 ";"14 ";"ET-DKOL-06-G 1/8''-wd-OMD ";"38,91 ";"L ";"8890 "
"500 ";"8 ";"G 1/4'' ";"14,0 ";"37,5 ";"27,5 ";"21,0 ";"12 ";"17 ";"12 ";"17 ";"ET-DKOL-08-G 1/4''-wd-OMD ";"40,3 ";"L ";"8891 "
"500 ";"10 ";"G 1/4'' ";"15,0 ";"40,0 ";"29,0 ";"22,0 ";"12 ";"19 ";"14 ";"19 ";"ET-DKOL-10-G 1/4''-wd-OMD ";"48,88 ";"L ";"8892 "
"400 ";"12 ";"G 3/8'' ";"17,0 ";"42,0 ";"29,5 ";"24,0 ";"12 ";"22 ";"17 ";"22 ";"ET-DKOL-12-G 3/8''-wd-OMD ";"53,72 ";"L ";"8893 "
"400 ";"15 ";"G 1/2'' ";"21,0 ";"46,5 ";"32,5 ";"28,0 ";"14 ";"27 ";"19 ";"27 ";"ET-DKOL-15-G 1/2''-wd-OMD ";"73,08 ";"L ";"8894 "
"400 ";"18 ";"G 1/2'' ";"23,5 ";"50,0 ";"35,5 ";"31,0 ";"14 ";"27 ";"24 ";"32 ";"ET-DKOL-18-G 1/2''-wd-OMD ";"90,11 ";"L ";"8895 "
"250 ";"22 ";"G 3/4'' ";"27,5 ";"65,0 ";"38,5 ";"35,0 ";"16 ";"32 ";"27 ";"36 ";"ET-DKOL-22-G 3/4''-wd-OMD ";"107,59 ";"L ";"8896 "
"250 ";"28 ";"G 1'' ";"30,5 ";"59,0 ";"41,5 ";"38,0 ";"18 ";"41 ";"36 ";"41 ";"ET-DKOL-28-G 1''-wd-OMD ";"192,08 ";"L ";"8897 "
"250 ";"35 ";"G 1 1/4'' ";"34,5 ";"68,5 ";"51,0 ";"45,0 ";"20 ";"50 ";"41 ";"50 ";"ET-DKOL-35-G 1 1/4''-wd-OMD ";"273,1 ";"L ";"8898 "
"250 ";"42 ";"G 1 1/2'' ";"40,0 ";"75,0 ";"56,0 ";"51,0 ";"22 ";"55 ";"50 ";"60 ";"ET-DKOL-42-G 1 1/2''-wd-OMD ";"370,21 ";"L ";"8899 "
"800 ";"6 ";"G 1/4'' ";"16,0 ";"40,0 ";"27,0 ";"23,0 ";"12 ";"19 ";"12 ";"17 ";"ET-DKOS-06-G 1/4''-wd-OMD ";"41,92 ";"S ";"8900 "
"800 ";"8 ";"G 1/4'' ";"17,0 ";"42,5 ";"27,5 ";"24,0 ";"12 ";"19 ";"14 ";"19 ";"ET-DKOS-08-G 1/4''-wd-OMD ";"43,71 ";"S ";"8901 "
"800 ";"10 ";"G 3/8'' ";"17,5 ";"45,0 ";"30,0 ";"25,0 ";"12 ";"22 ";"17 ";"22 ";"ET-DKOS-10-G 3/8''-wd-OMD ";"54,6 ";"S ";"8902 "
"630 ";"12 ";"G 3/8'' ";"21,5 ";"48,0 ";"31,0 ";"29,0 ";"12 ";"22 ";"17 ";"24 ";"ET-DKOS-12-G 3/8''-wd-OMD ";"58,85 ";"S ";"8903 "
"630 ";"14 ";"G 1/2'' ";"22,0 ";"54,0 ";"35,0 ";"30,0 ";"14 ";"27 ";"19 ";"27 ";"ET-DKOS-14-G 1/2''-wd-OMD ";"76,36 ";"S ";"8904 "
"630 ";"16 ";"G 1/2'' ";"24,5 ";"55,0 ";"36,5 ";"33,0 ";"14 ";"27 ";"24 ";"30 ";"ET-DKOS-16-G 1/2''-wd-OMD ";"94,51 ";"S ";"8905 "
"420 ";"20 ";"G 3/4'' ";"26,5 ";"65,0 ";"44,5 ";"37,0 ";"16 ";"32 ";"27 ";"36 ";"ET-DKOS-20-G 3/4''-wd-OMD ";"120,01 ";"S ";"8906 "
"420 ";"25 ";"G 1'' ";"30,0 ";"73,0 ";"50,0 ";"42,0 ";"18 ";"41 ";"36 ";"46 ";"ET-DKOS-25-G 1''-wd-OMD ";"188,04 ";"S ";"8907 "
"420 ";"30 ";"G 1 1/4'' ";"35,5 ";"78,5 ";"55,0 ";"49,0 ";"20 ";"50 ";"41 ";"50 ";"ET-DKOS-30-G 1 1/4''-wd-OMD ";"241,83 ";"S ";"8908 "
"420 ";"38 ";"G 1 1/2'' ";"41,0 ";"89,0 ";"63,0 ";"57,0 ";"22 ";"55 ";"50 ";"60 ";"ET-DKOS-38-G 1 1/2''-wd-OMD ";"366,42 ";"S ";"8909 "
