"    DN";"Grˆﬂe  Size  ";"Druck  Pressure  PB";"Ca. Maﬂe mm  Approx. Dimensions mm  G";"Ca. Maﬂe mm  Approx. Dimensions mm  H ";"Ca. Maﬂe mm  Approx. Dimensions mm  L";"Ca. Maﬂe mm  Approx. Dimensions mm  L1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"11,2 ";"1/4'' ";"63 ";"1/4'' ";"50 ";"68 ";"97 ";"KH-G 1/4''-3 W-L ";"63,5 ";"";"10289 "
"11,2 ";"3/8'' ";"63 ";"3/8'' ";"50 ";"68 ";"97 ";"KH-G 3/8''-3 W-L ";"63,5 ";"";"10290 "
"12,7 ";"1/2'' ";"63 ";"1/2'' ";"50 ";"68 ";"97 ";"KH-G 1/2''-3 W-L ";"68,5 ";"";"10291 "
"16,0 ";"3/4'' ";"63 ";"3/4'' ";"64 ";"83 ";"127 ";"KH-G 3/4''-3 W-L ";"82,85 ";"";"10292 "
"20,0 ";"1'' ";"63 ";"1'' ";"66 ";"90 ";"127 ";"KH-G 1''-3 W-L ";"113,05 ";"";"10293 "
"25,0 ";"1 1/4'' ";"63 ";"1 1/4'' ";"80 ";"97 ";"145 ";"KH-G 1 1/4''-3 W-L ";"152,9 ";"";"10294 "
"32,0 ";"1 1/2'' ";"63 ";"1 1/2'' ";"83 ";"114 ";"145 ";"KH-G 1 1/2''-3 W-L ";"194,9 ";"";"10295 "
"38,1 ";"2'' ";"63 ";"2'' ";"96 ";"142 ";"205 ";"KH-G 2''-3 W-L ";"256,75 ";"";"10296 "
