"Gewinde  Thread  ";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  D1";"Ca. Maﬂe  Approx. Dimensions  H";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"G 1/8'' ";"10,0 ";"17,0 ";"2,5 ";"KDR-1/8'' ";"20,5 ";"";"8261 "
"G 1/4'' ";"13,5 ";"22,0 ";"3,0 ";"KDR-1/4'' ";"21,45 ";"";"8262 "
"G 3/8'' ";"17,1 ";"27,0 ";"3,0 ";"KDR-3/8'' ";"29,3 ";"";"8264 "
"G 1/2'' ";"21,4 ";"32,0 ";"4,5 ";"KDR-1/2'' ";"34,85 ";"";"8266 "
"G 3/4'' ";"26,8 ";"41,0 ";"3,5 ";"KDR-3/4'' ";"57,5 ";"";"8268 "
"G 1'' ";"33,5 ";"46,0 ";"3,5 ";"KDR-1'' ";"81,5 ";"";"8269 "
"G 1 1/4'' ";"42,4 ";"57,0 ";"3,5 ";"KDR-1 1/4'' ";"83,5 ";"";"8270 "
"G 1 1/2'' ";"48,4 ";"64,0 ";"3,5 ";"KDR-1 1/2'' ";"111 ";"";"8271 "
"M 10 x 1 ";"10,3 ";"17,0 ";"2,5 ";"KDR-10x1 ";"";"";"8272 "
"M 12 x 1,5 ";"12,3 ";"22,0 ";"3,0 ";"KDR-12x1,5 ";"";"";"8273 "
"M 14 x 1,5 ";"14,3 ";"22,5 ";"3,0 ";"KDR-14x1,5 ";"";"";"8274 "
"M 16 x 1,5 ";"16,4 ";"27,0 ";"3,0 ";"KDR-16x1,5 ";"";"";"8275 "
"M 18 x 1,5 ";"18,4 ";"29,0 ";"3,0 ";"KDR-18x1,5 ";"";"";"8276 "
"M 20 x 1,5 ";"20,4 ";"32,0 ";"3,0 ";"KDR-20x1,5 ";"";"";"8277 "
"M 22 x 1,5 ";"22,4 ";"32,0 ";"4,5 ";"KDR-22x1,5 ";"";"";"8278 "
"M 26 x 1,5 ";"26,4 ";"41,0 ";"3,5 ";"KDR-26x1,5 ";"";"";"8279 "
"M 27 x 2 ";"27,4 ";"41,0 ";"3,5 ";"KDR-27x2 ";"";"";"8280 "
"M 33 x 2 ";"33,5 ";"46,0 ";"3,5 ";"KDR-33x2 ";"81,5 ";"";"8281 "
"M 42 x 2 ";"42,4 ";"57,0 ";"3,5 ";"KDR-42x2 ";"83,5 ";"";"8282 "
"M 48 x 2 ";"48,4 ";"64,0 ";"3,5 ";"KDR-48x2 ";"111 ";"";"8283 "
