"Schlauch  Hose  DN";"DN  Bore  in.";"Rohr A.D.  Tube O.D.  D";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  L";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"05 ";"3/16'' ";"6 ";"26,5 ";"3,0 ";"20,0 ";"BES-06-DN 05 ";"7,5 ";"";"327 "
"06 ";"1/4'' ";"6 ";"28,5 ";"4,0 ";"20,0 ";"BES-06-DN 06 ";"6,9 ";"";"328 "
"06 ";"1/4'' ";"8 ";"31,0 ";"4,0 ";"22,0 ";"BES-08-DN 06 ";"6,5 ";"";"329 "
"08 ";"5/16'' ";"8 ";"31,0 ";"5,0 ";"23,0 ";"BES-08-DN 08 ";"7,5 ";"";"330 "
"06 ";"1/4'' ";"10 ";"33,5 ";"4,0 ";"24,0 ";"BES-10-DN 06 ";"7,4 ";"";"331 "
"08 ";"5/16'' ";"10 ";"31,5 ";"5,5 ";"23,0 ";"BES-10-DN 08 ";"6,9 ";"";"332 "
"10 ";"3/8'' ";"10 ";"34,0 ";"7,0 ";"25,0 ";"BES-10-DN 10 ";"7 ";"";"333 "
"06 ";"1/4'' ";"12 ";"35,5 ";"4,0 ";"26,0 ";"BES-12-DN 06 ";"9 ";"";"334 "
"08 ";"5/16'' ";"12 ";"34,0 ";"5,5 ";"26,0 ";"BES-12-DN 08 ";"8 ";"";"335 "
"10 ";"3/8'' ";"12 ";"34,0 ";"7,0 ";"25,0 ";"BES-12-DN 10 ";"7 ";"";"336 "
"12 ";"1/2'' ";"12 ";"34,0 ";"9,0 ";"25,0 ";"BES-12-DN 12 ";"9,1 ";"";"337 "
"10 ";"3/8'' ";"14 ";"35,5 ";"7,0 ";"28,0 ";"BES-14-DN 10 ";"9,1 ";"";"338 "
"12 ";"1/2'' ";"16 ";"38,5 ";"9,5 ";"30,0 ";"BES-16-DN 12 ";"8,5 ";"";"339 "
"12 ";"1/2'' ";"20 ";"42,0 ";"9,5 ";"36,0 ";"BES-20-DN 12 ";"13,5 ";"";"340 "
"16 ";"5/8'' ";"20 ";"44,0 ";"12,5 ";"36,0 ";"BES-20-DN 16 ";"11,1 ";"";"341 "
"19 ";"3/4'' ";"20 ";"43,0 ";"14,5 ";"31,0 ";"BES-20-DN 19 ";"13 ";"";"342 "
"19 ";"3/4'' ";"25 ";"51,0 ";"14,5 ";"40,0 ";"BES-25-DN 19 ";"14,5 ";"";"343 "
"25 ";"1'' ";"25 ";"46,0 ";"18,0 ";"34,5 ";"BES-25-DN 25 ";"17,9 ";"";"344 "
"25 ";"1'' ";"30 ";"56,0 ";"20,0 ";"44,0 ";"BES-30-DN 25 ";"17 ";"";"345 "
"31 ";"1 1/4'' ";"38 ";"61,0 ";"25,5 ";"50,0 ";"BES-38-DN 31 ";"33 ";"";"346 "
