"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  D2";"Rohr A.D.  Tube O.D.  D3";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Ca. Maﬂe  Approx. Dimensions  SW4";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"800 ";"8 ";"6 ";"8 ";"19 ";"17 ";"19 ";"14 ";"TRV-S-08/06/08-SC ";"44,6 ";"S ";"3064 "
"800 ";"10 ";"6 ";"10 ";"22 ";"17 ";"22 ";"17 ";"TRV-S-10/06/10-SC ";"45,49 ";"S ";"3065 "
"800 ";"10 ";"8 ";"10 ";"22 ";"19 ";"22 ";"17 ";"TRV-S-10/08/10-SC ";"46,11 ";"S ";"3066 "
"630 ";"12 ";"6 ";"12 ";"24 ";"17 ";"24 ";"17 ";"TRV-S-12/06/12-SC ";"56,92 ";"S ";"3067 "
"630 ";"12 ";"8 ";"8 ";"24 ";"19 ";"19 ";"17 ";"TRV-S-12/08/08-SC ";"56,12 ";"S ";"3068 "
"630 ";"12 ";"8 ";"12 ";"24 ";"19 ";"24 ";"17 ";"TRV-S-12/08/12-SC ";"56,98 ";"S ";"3069 "
"630 ";"12 ";"10 ";"12 ";"24 ";"22 ";"24 ";"17 ";"TRV-S-12/10/12-SC ";"57,61 ";"S ";"3070 "
"630 ";"12 ";"16 ";"12 ";"24 ";"30 ";"24 ";"24 ";"TRV-S-12/16/12-SC ";"89,01 ";"S ";"3071 "
"630 ";"14 ";"8 ";"14 ";"27 ";"19 ";"27 ";"19 ";"TRV-S-14/08/14-SC ";"79,36 ";"S ";"3072 "
"630 ";"14 ";"10 ";"14 ";"27 ";"22 ";"27 ";"19 ";"TRV-S-14/10/14-SC ";"79,48 ";"S ";"3073 "
"630 ";"16 ";"6 ";"16 ";"30 ";"17 ";"30 ";"24 ";"TRV-S-16/06/16-SC ";"91,81 ";"S ";"3074 "
"630 ";"16 ";"8 ";"16 ";"30 ";"19 ";"30 ";"24 ";"TRV-S-16/08/16-SC ";"91,62 ";"S ";"3075 "
