"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  SW2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"12,0 ";"19,0 ";"12 ";"KV-L-06-OMD ";"31,36 ";"L ";"3354 "
"315 ";"8 ";"14,0 ";"21,0 ";"12 ";"KV-L-08-OMD ";"33,18 ";"L ";"3355 "
"315 ";"10 ";"15,0 ";"22,0 ";"14 ";"KV-L-10-OMD ";"43,31 ";"L ";"3356 "
"315 ";"12 ";"17,0 ";"24,0 ";"17 ";"KV-L-12-OMD ";"44,85 ";"L ";"3357 "
"315 ";"15 ";"21,0 ";"28,0 ";"19 ";"KV-L-15-OMD ";"57,21 ";"L ";"3358 "
"315 ";"18 ";"23,5 ";"31,0 ";"24 ";"KV-L-18-OMD ";"78,01 ";"L ";"3359 "
"160 ";"22 ";"27,5 ";"35,0 ";"27 ";"KV-L-22-OMD ";"110,1 ";"L ";"3360 "
"160 ";"28 ";"30,5 ";"38,0 ";"36 ";"KV-L-28-OMD ";"148,7 ";"L ";"3361 "
"160 ";"35 ";"34,5 ";"45,0 ";"41 ";"KV-L-35-OMD ";"183,99 ";"L ";"3362 "
"160 ";"42 ";"40,0 ";"51,0 ";"50 ";"KV-L-42-OMD ";"304,43 ";"L ";"3363 "
"100 ";"4 ";"11,0 ";"15,0 ";"7 ";"KV-LL-04-OMD ";"29,5 ";"LL ";"3351 "
"100 ";"6 ";"9,5 ";"15,0 ";"9 ";"KV-LL-06-OMD ";"27,98 ";"LL ";"3352 "
"100 ";"8 ";"11,5 ";"17,0 ";"12 ";"KV-LL-08-OMD ";"26,96 ";"LL ";"3353 "
"630 ";"6 ";"16,0 ";"23,0 ";"12 ";"KV-S-06-OMD ";"33,83 ";"S ";"3364 "
"630 ";"8 ";"17,0 ";"24,0 ";"14 ";"KV-S-08-OMD ";"44,9 ";"S ";"3365 "
"630 ";"10 ";"17,5 ";"25,0 ";"17 ";"KV-S-10-OMD ";"48,15 ";"S ";"3366 "
"630 ";"12 ";"21,5 ";"29,0 ";"17 ";"KV-S-12-OMD ";"57,36 ";"S ";"3367 "
"630 ";"14 ";"22,0 ";"30,0 ";"19 ";"KV-S-14-OMD ";"57,25 ";"S ";"3368 "
"400 ";"16 ";"24,5 ";"33,0 ";"24 ";"KV-S-16-OMD ";"74,84 ";"S ";"3369 "
"400 ";"20 ";"26,5 ";"37,0 ";"27 ";"KV-S-20-OMD ";"107,49 ";"S ";"3370 "
"400 ";"25 ";"30,0 ";"42,0 ";"36 ";"KV-S-25-OMD ";"171,97 ";"S ";"3371 "
"400 ";"30 ";"35,5 ";"49,0 ";"41 ";"KV-S-30-OMD ";"177,74 ";"S ";"3372 "
"315 ";"38 ";"41,0 ";"57,0 ";"50 ";"KV-S-38-OMD ";"338,04 ";"S ";"3373 "
