"Druck  Pressure  PN";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"400 ";"1/8''-28 ";"20,0 ";"18,0 ";"4,0 ";"12 ";"14 ";"1560510-02 ";"19,35 ";"";"1738 "
"400 ";"1/4''-19 ";"24,5 ";"23,5 ";"6,0 ";"14 ";"19 ";"1560510-04 ";"20,6 ";"";"1739 "
"400 ";"3/8''-19 ";"25,5 ";"25,5 ";"8,0 ";"17 ";"22 ";"1560510-06 ";"23,3 ";"";"1740 "
"400 ";"1/2''-14 ";"29,5 ";"29,5 ";"11,0 ";"19 ";"27 ";"1560510-08 ";"27,6 ";"";"1741 "
"400 ";"3/4''-14 ";"37,0 ";"37,0 ";"16,0 ";"27 ";"32 ";"1560510-12 ";"48,55 ";"";"1742 "
"400 ";"1''-11 ";"43,0 ";"43,0 ";"22,0 ";"36 ";"41 ";"1560510-16 ";"59,2 ";"";"1743 "
"200 ";"1 1/4''-11 ";"51,0 ";"51,0 ";"28,0 ";"41 ";"50 ";"1560510-20 ";"74,55 ";"";"1744 "
"200 ";"1 1/2''-11 ";"59,0 ";"50,0 ";"33,5 ";"50 ";"55 ";"1560510-24 ";"155 ";"";"1745 "
"100 ";"2''-11 ";"77,5 ";"80,0 ";"42,0 ";"65 ";"70 ";"1560510-32 ";"345 ";"";"1746 "
