"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"M 12 x 1,5 ";"36,0 ";"43,0 ";"12 ";"14 ";"DA-DKOL-06-OMD ";"27,6 ";"L ";"11609 "
"500 ";"8 ";"M 14 x 1,5 ";"36,0 ";"43,0 ";"14 ";"17 ";"DA-DKOL-08-OMD ";"30,17 ";"L ";"11610 "
"500 ";"10 ";"M 16 x 1,5 ";"36,0 ";"43,0 ";"17 ";"19 ";"DA-DKOL-10-OMD ";"34,55 ";"L ";"11611 "
"400 ";"12 ";"M 18 x 1,5 ";"36,0 ";"43,0 ";"19 ";"22 ";"DA-DKOL-12-OMD ";"39,04 ";"L ";"11612 "
"400 ";"15 ";"M 22 x 1,5 ";"36,0 ";"43,0 ";"24 ";"27 ";"DA-DKOL-15-OMD ";"50,6 ";"L ";"11613 "
"400 ";"18 ";"M 26 x 1,5 ";"36,0 ";"43,5 ";"27 ";"32 ";"DA-DKOL-18-OMD ";"74,21 ";"L ";"11614 "
"250 ";"22 ";"M 30 x 2 ";"40,0 ";"47,5 ";"32 ";"36 ";"DA-DKOL-22-OMD ";"92 ";"L ";"11615 "
"250 ";"28 ";"M 36 x 2 ";"40,0 ";"47,5 ";"41 ";"41 ";"DA-DKOL-28-OMD ";"114,95 ";"L ";"11616 "
"250 ";"35 ";"M 45 x 2 ";"50,0 ";"60,5 ";"46 ";"50 ";"DA-DKOL-35-OMD ";"163,4 ";"L ";"11617 "
"250 ";"42 ";"M 52 x 2 ";"60,0 ";"71,0 ";"55 ";"60 ";"DA-DKOL-42-OMD ";"182,4 ";"L ";"11618 "
"800 ";"6 ";"M 14 x 1,5 ";"36,0 ";"43,0 ";"14 ";"17 ";"DA-DKOS-06-OMD ";"29,12 ";"S ";"11619 "
"800 ";"8 ";"M 16 x 1,5 ";"36,0 ";"43,0 ";"17 ";"19 ";"DA-DKOS-08-OMD ";"34,86 ";"S ";"11620 "
"800 ";"10 ";"M 18 x 1,5 ";"36,0 ";"43,5 ";"19 ";"22 ";"DA-DKOS-10-OMD ";"39,33 ";"S ";"11621 "
"630 ";"12 ";"M 20 x 1,5 ";"36,0 ";"43,5 ";"22 ";"24 ";"DA-DKOS-12-OMD ";"47,12 ";"S ";"11622 "
"630 ";"14 ";"M 22 x 1,5 ";"40,0 ";"48,0 ";"24 ";"27 ";"DA-DKOS-14-OMD ";"53,39 ";"S ";"11623 "
"630 ";"16 ";"M 24 x 1,5 ";"40,0 ";"48,5 ";"27 ";"30 ";"DA-DKOS-16-OMD ";"70,96 ";"S ";"11624 "
"420 ";"20 ";"M 30 x 2 ";"46,0 ";"56,5 ";"32 ";"36 ";"DA-DKOS-20-OMD ";"91,86 ";"S ";"11625 "
"420 ";"25 ";"M 36 x 2 ";"50,0 ";"62,0 ";"41 ";"46 ";"DA-DKOS-25-OMD ";"112,1 ";"S ";"11626 "
"420 ";"30 ";"M 42 x 2 ";"56,0 ";"69,5 ";"46 ";"50 ";"DA-DKOS-30-OMD ";"165,3 ";"S ";"11627 "
"420 ";"38 ";"M 52 x 2 ";"60,0 ";"76,0 ";"55 ";"60 ";"DA-DKOS-38-OMD ";"188,1 ";"S ";"11628 "
