"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"O-Ring  O-ring  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"06 ";"1/4'' ";"9/16''-18 ";"24,0 ";"4,0 ";"17 ";"7,65 x 1,78 ";"MORFS-9/16''-DN 06 ";"19,7 ";"";"990 "
"10 ";"3/8'' ";"11/16''-16 ";"26,0 ";"6,5 ";"19 ";"9,25 x 1,78 ";"MORFS-11/16''-DN 10 ";"23,1 ";"";"991 "
"12 ";"1/2'' ";"13/16''-16 ";"28,0 ";"9,5 ";"22 ";"12,42 x 1,78 ";"MORFS-13/16''-DN 12 ";"26,2 ";"";"992 "
"16 ";"5/8'' ";"1''-14 ";"34,5 ";"12,5 ";"27 ";"15,60 x 1,78 ";"MORFS-1''-DN 16 ";"37,95 ";"";"993 "
"19 ";"3/4'' ";"1. 3/16''-12 ";"38,0 ";"14,5 ";"32 ";"18,77 x 1,78 ";"MORFS-1. 3/16''-DN 19 ";"39,9 ";"";"994 "
"25 ";"1'' ";"1. 7/16''-12 ";"39,7 ";"20,0 ";"41 ";"23,52 x 1,78 ";"MORFS-1. 7/16''-DN 25 ";"55,2 ";"";"995 "
"31 ";"1 1/4'' ";"1. 11/16''-12 ";"42,5 ";"25,5 ";"46 ";"29,87 x 1,78 ";"MORFS-1. 11/16''-DN 31 ";"94,6 ";"";"996 "
"38 ";"1 1/2'' ";"2''-12 ";"46,5 ";"31,5 ";"55 ";"37,82 x 1,78 ";"MORFS-2''-DN 38 ";"119 ";"";"997 "
