"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"G 1/8'' ";"12,0 ";"24 ";"19,0 ";"17 ";"18 ";"THV-L-06-G 1/8''-WDS-OMD ";"136,81 ";"L ";"11015 "
"400 ";"8 ";"G 1/4'' ";"14,5 ";"30 ";"22,5 ";"19 ";"22 ";"THV-L-08-G 1/4''-WDS-OMD ";"151,84 ";"L ";"11016 "
"350 ";"10 ";"G 1/4'' ";"15,5 ";"30 ";"22,5 ";"19 ";"22 ";"THV-L-10-G 1/4''-WDS-OMD ";"173,73 ";"L ";"11017 "
"350 ";"12 ";"G 1/4'' ";"15,5 ";"30 ";"22,5 ";"19 ";"22 ";"THV-L-12-G 1/4''-WDS-OMD ";"206,04 ";"L ";"11018 "
"350 ";"12 ";"G 3/8'' ";"18,0 ";"36 ";"25,5 ";"24 ";"27 ";"THV-L-12-G 3/8''-WDS-OMD ";"192,12 ";"L ";"11019 "
"315 ";"15 ";"G 1/2'' ";"21,5 ";"45 ";"28,5 ";"30 ";"32 ";"THV-L-15-G 1/2''-WDS-OMD ";"264,84 ";"L ";"11020 "
"315 ";"18 ";"G 1/2'' ";"21,0 ";"45 ";"28,5 ";"30 ";"32 ";"THV-L-18-G 1/2''-WDS-OMD ";"319,24 ";"L ";"11021 "
"200 ";"22 ";"G 3/4'' ";"27,5 ";"53 ";"35,0 ";"36 ";"40 ";"THV-L-22-G 3/4''-WDS-OMD ";"512,83 ";"L ";"11022 "
"200 ";"28 ";"G 1'' ";"32,0 ";"66 ";"39,5 ";"46 ";"50 ";"THV-L-28-G 1''-WDS-OMD ";"732,76 ";"L ";"11023 "
"200 ";"35 ";"G 1 1/4'' ";"36,0 ";"76 ";"46,5 ";"55 ";"60 ";"THV-L-35-G 1 1/4''-WDS-OMD ";"981,95 ";"L ";"11024 "
"200 ";"42 ";"G 1 1/2'' ";"40,5 ";"87 ";"51,0 ";"60 ";"70 ";"THV-L-42-G 1 1/2''-WDS-OMD ";"1225,32 ";"L ";"11025 "
"100 ";"4 ";"G 1/8'' ";"11,0 ";"24 ";"17,0 ";"17 ";"18 ";"THV-LL-04-G 1/8''-WDS-OMD ";"136,11 ";"LL ";"11012 "
"100 ";"6 ";"G 1/8'' ";"11,5 ";"24 ";"17,0 ";"17 ";"18 ";"THV-LL-06-G 1/8''-WDS-OMD ";"135,35 ";"LL ";"11013 "
"100 ";"8 ";"G 1/8'' ";"12,5 ";"24 ";"18,0 ";"17 ";"18 ";"THV-LL-08-G 1/8''-WDS-OMD ";"134,43 ";"LL ";"11014 "
"500 ";"6 ";"G 1/4'' ";"16,5 ";"30 ";"22,5 ";"19 ";"22 ";"THV-S-06-G 1/4''-WDS-OMD ";"151,86 ";"S ";"11026 "
"450 ";"8 ";"G 1/4'' ";"16,5 ";"30 ";"22,5 ";"19 ";"22 ";"THV-S-08-G 1/4''-WDS-OMD ";"168,94 ";"S ";"11027 "
"400 ";"10 ";"G 1/4'' ";"16,5 ";"30 ";"22,5 ";"19 ";"22 ";"THV-S-10-G 1/4''-WDS-OMD ";"205,9 ";"S ";"11028 "
"400 ";"10 ";"G 3/8'' ";"18,5 ";"36 ";"25,5 ";"24 ";"27 ";"THV-S-10-G 3/8''-WDS-OMD ";"197,13 ";"S ";"11029 "
"400 ";"12 ";"G 3/8'' ";"18,5 ";"36 ";"25,5 ";"24 ";"27 ";"THV-S-12-G 3/8''-WDS-OMD ";"208,89 ";"S ";"11030 "
"400 ";"14 ";"G 1/2'' ";"22,5 ";"45 ";"30,5 ";"30 ";"32 ";"THV-S-14-G 1/2''-WDS-OMD ";"271,79 ";"S ";"11031 "
"400 ";"16 ";"G 1/2'' ";"22,0 ";"45 ";"30,5 ";"30 ";"32 ";"THV-S-16-G 1/2''-WDS-OMD ";"335,4 ";"S ";"11032 "
"400 ";"20 ";"G 3/4'' ";"26,5 ";"53 ";"37,0 ";"36 ";"40 ";"THV-S-20-G 3/4''-WDS-OMD ";"507,18 ";"S ";"11033 "
"250 ";"25 ";"G 1'' ";"31,5 ";"66 ";"43,5 ";"46 ";"50 ";"THV-S-25-G 1''-WDS-OMD ";"674,09 ";"S ";"11034 "
"250 ";"30 ";"G 1 1/4'' ";"37,0 ";"76 ";"51,0 ";"55 ";"60 ";"THV-S-30-G 1 1/4''-WDS-OMD ";"903,16 ";"S ";"11035 "
"250 ";"38 ";"G 1 1/2'' ";"41,5 ";"87 ";"57,0 ";"60 ";"70 ";"THV-S-38-G 1 1/2''-WDS-OMD ";"1145,32 ";"S ";"11036 "
