"Schlauch  Hose  DN";"DN  Bore  in.";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  L";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"05 ";"3/16'' ";"12,0 ";"24,5 ";"PF-PTFE-DN 05 ";"5 ";"";"1 "
"06 ";"1/4'' ";"14,0 ";"33,0 ";"PF-PTFE-DN 06 ";"5 ";"";"2 "
"08 ";"5/16'' ";"17,0 ";"33,0 ";"PF-PTFE-DN 08 ";"5,13 ";"";"3 "
"10 ";"3/8'' ";"19,0 ";"33,0 ";"PF-PTFE-DN 10 ";"5,25 ";"";"4 "
"12 ";"1/2'' ";"23,0 ";"35,0 ";"PF-PTFE-DN 12 ";"5,4 ";"";"5 "
"16 ";"5/8'' ";"27,0 ";"38,0 ";"PF-PTFE-DN 16 ";"6,6 ";"";"6 "
"19 ";"3/4'' ";"30,0 ";"44,0 ";"PF-PTFE-DN 19 ";"12,5 ";"";"7 "
"25 ";"1'' ";"37,0 ";"50,0 ";"PF-PTFE-DN 25 ";"17,5 ";"";"8 "
