"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  D2";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Ca. Maﬂe  Approx. Dimensions  SW4";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"8 ";"6 ";"43,5 ";"25,5 ";"12 ";"17 ";"14 ";"KOR-L-08/06 ";"12,48 ";"L ";"7926 "
"315 ";"10 ";"6 ";"44,0 ";"29,0 ";"12 ";"19 ";"14 ";"KOR-L-10/06 ";"12,96 ";"L ";"7927 "
"315 ";"10 ";"8 ";"44,0 ";"29,0 ";"14 ";"19 ";"17 ";"KOR-L-10/08 ";"13,75 ";"L ";"7928 "
"315 ";"12 ";"6 ";"44,0 ";"29,0 ";"14 ";"22 ";"14 ";"KOR-L-12/06 ";"17,33 ";"L ";"7929 "
"315 ";"12 ";"8 ";"44,0 ";"29,0 ";"14 ";"22 ";"17 ";"KOR-L-12/08 ";"18,36 ";"L ";"7930 "
"315 ";"12 ";"10 ";"45,0 ";"30,0 ";"17 ";"22 ";"19 ";"KOR-L-12/10 ";"18,71 ";"L ";"7931 "
"315 ";"15 ";"6 ";"45,5 ";"30,5 ";"17 ";"27 ";"14 ";"KOR-L-15/06 ";"19,33 ";"L ";"7932 "
"315 ";"15 ";"8 ";"45,5 ";"30,5 ";"17 ";"27 ";"17 ";"KOR-L-15/08 ";"19,74 ";"L ";"7933 "
"315 ";"15 ";"10 ";"46,5 ";"31,5 ";"17 ";"27 ";"19 ";"KOR-L-15/10 ";"20,25 ";"L ";"7934 "
"315 ";"15 ";"12 ";"46,5 ";"31,5 ";"19 ";"27 ";"22 ";"KOR-L-15/12 ";"20,96 ";"L ";"7935 "
"315 ";"18 ";"6 ";"47,5 ";"32,5 ";"19 ";"32 ";"14 ";"KOR-L-18/06 ";"23,78 ";"L ";"7936 "
"315 ";"18 ";"8 ";"47,5 ";"32,5 ";"19 ";"32 ";"17 ";"KOR-L-18/08 ";"21,6 ";"L ";"7937 "
"315 ";"18 ";"10 ";"48,0 ";"33,0 ";"19 ";"32 ";"19 ";"KOR-L-18/10 ";"22,06 ";"L ";"7938 "
"315 ";"18 ";"12 ";"48,0 ";"33,0 ";"19 ";"32 ";"22 ";"KOR-L-18/12 ";"24,54 ";"L ";"7939 "
"315 ";"18 ";"15 ";"49,0 ";"34,0 ";"24 ";"32 ";"27 ";"KOR-L-18/15 ";"25,92 ";"L ";"7940 "
"160 ";"22 ";"6 ";"50,0 ";"35,0 ";"24 ";"36 ";"14 ";"KOR-L-22/06 ";"27,76 ";"L ";"7941 "
"160 ";"22 ";"8 ";"50,0 ";"35,0 ";"24 ";"36 ";"17 ";"KOR-L-22/08 ";"26,69 ";"L ";"7942 "
"160 ";"22 ";"10 ";"51,0 ";"36,0 ";"24 ";"36 ";"19 ";"KOR-L-22/10 ";"27,61 ";"L ";"7943 "
"160 ";"22 ";"12 ";"51,0 ";"36,0 ";"24 ";"36 ";"22 ";"KOR-L-22/12 ";"30,83 ";"L ";"7944 "
"160 ";"22 ";"15 ";"52,0 ";"37,0 ";"24 ";"36 ";"27 ";"KOR-L-22/15 ";"34,26 ";"L ";"7945 "
"160 ";"22 ";"18 ";"53,0 ";"36,5 ";"27 ";"36 ";"32 ";"KOR-L-22/18 ";"38,02 ";"L ";"7946 "
"160 ";"28 ";"6 ";"50,0 ";"35,0 ";"30 ";"41 ";"14 ";"KOR-L-28/06 ";"37,17 ";"L ";"7947 "
"160 ";"28 ";"8 ";"50,0 ";"35,0 ";"30 ";"41 ";"17 ";"KOR-L-28/08 ";"38,86 ";"L ";"7948 "
"160 ";"28 ";"10 ";"51,0 ";"36,0 ";"30 ";"41 ";"19 ";"KOR-L-28/10 ";"40,14 ";"L ";"7949 "
"160 ";"28 ";"12 ";"51,0 ";"36,0 ";"30 ";"41 ";"22 ";"KOR-L-28/12 ";"42,44 ";"L ";"7950 "
"160 ";"28 ";"15 ";"52,0 ";"37,0 ";"30 ";"41 ";"27 ";"KOR-L-28/15 ";"43,08 ";"L ";"7951 "
"160 ";"28 ";"18 ";"54,0 ";"37,5 ";"30 ";"41 ";"32 ";"KOR-L-28/18 ";"47,81 ";"L ";"7952 "
"160 ";"28 ";"22 ";"55,5 ";"39,0 ";"30 ";"41 ";"36 ";"KOR-L-28/22 ";"50,87 ";"L ";"7953 "
"160 ";"35 ";"6 ";"58,0 ";"43,0 ";"36 ";"50 ";"14 ";"KOR-L-35/06 ";"56,75 ";"L ";"7954 "
"160 ";"35 ";"8 ";"58,0 ";"43,0 ";"36 ";"50 ";"17 ";"KOR-L-35/08 ";"57,27 ";"L ";"7955 "
"160 ";"35 ";"10 ";"59,0 ";"44,0 ";"36 ";"50 ";"19 ";"KOR-L-35/10 ";"58,8 ";"L ";"7956 "
"160 ";"35 ";"12 ";"59,0 ";"44,0 ";"36 ";"50 ";"22 ";"KOR-L-35/12 ";"58,8 ";"L ";"7957 "
"160 ";"35 ";"15 ";"60,0 ";"45,0 ";"36 ";"50 ";"27 ";"KOR-L-35/15 ";"61,36 ";"L ";"7958 "
"160 ";"35 ";"18 ";"61,0 ";"44,5 ";"36 ";"50 ";"32 ";"KOR-L-35/18 ";"63,91 ";"L ";"7959 "
"160 ";"35 ";"22 ";"63,0 ";"46,5 ";"36 ";"50 ";"36 ";"KOR-L-35/22 ";"63,91 ";"L ";"7960 "
"160 ";"35 ";"28 ";"63,0 ";"46,5 ";"41 ";"50 ";"41 ";"KOR-L-35/28 ";"66,47 ";"L ";"7961 "
"160 ";"42 ";"6 ";"59,0 ";"44,0 ";"36 ";"60 ";"14 ";"KOR-L-42/06 ";"";"L ";"7962 "
"160 ";"42 ";"8 ";"59,0 ";"44,0 ";"46 ";"60 ";"17 ";"KOR-L-42/08 ";"";"L ";"7963 "
"160 ";"42 ";"10 ";"60,0 ";"45,0 ";"46 ";"60 ";"19 ";"KOR-L-42/10 ";"74,14 ";"L ";"7964 "
"160 ";"42 ";"12 ";"60,0 ";"45,0 ";"46 ";"60 ";"22 ";"KOR-L-42/12 ";"76,69 ";"L ";"7965 "
"160 ";"42 ";"15 ";"61,0 ";"46,0 ";"46 ";"60 ";"27 ";"KOR-L-42/15 ";"79,25 ";"L ";"7966 "
"160 ";"42 ";"18 ";"59,0 ";"44,0 ";"46 ";"60 ";"32 ";"KOR-L-42/18 ";"79,25 ";"L ";"7967 "
"160 ";"42 ";"22 ";"63,0 ";"46,5 ";"46 ";"60 ";"36 ";"KOR-L-42/22 ";"81,81 ";"L ";"7968 "
"160 ";"42 ";"28 ";"64,0 ";"47,5 ";"46 ";"60 ";"41 ";"KOR-L-42/28 ";"84,36 ";"L ";"7969 "
"160 ";"42 ";"35 ";"69,0 ";"47,5 ";"46 ";"60 ";"50 ";"KOR-L-42/35 ";"89,48 ";"L ";"7970 "
