"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  D2";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"800 ";"8 ";"6 ";"52,5 ";"18,0 ";"17 ";"17 ";"19 ";"GRV-S-08/06-SC ";"17,75 ";"S ";"2812 "
"800 ";"10 ";"6 ";"53,5 ";"17,5 ";"19 ";"17 ";"22 ";"GRV-S-10/06-SC ";"20,15 ";"S ";"2813 "
"800 ";"10 ";"8 ";"54,0 ";"17,5 ";"19 ";"19 ";"22 ";"GRV-S-10/08-SC ";"22,04 ";"S ";"2814 "
"630 ";"12 ";"6 ";"55,5 ";"19,5 ";"22 ";"17 ";"24 ";"GRV-S-12/06-SC ";"23,37 ";"S ";"2815 "
"630 ";"12 ";"8 ";"55,5 ";"19,5 ";"22 ";"19 ";"24 ";"GRV-S-12/08-SC ";"24,29 ";"S ";"2816 "
"630 ";"12 ";"10 ";"56,5 ";"19,0 ";"22 ";"22 ";"24 ";"GRV-S-12/10-SC ";"24,38 ";"S ";"2817 "
"630 ";"14 ";"6 ";"";"";"24 ";"17 ";"27 ";"GRV-S-14/06-SC ";"27,21 ";"S ";"2818 "
"630 ";"14 ";"8 ";"58,0 ";"20,5 ";"24 ";"19 ";"27 ";"GRV-S-14/08-SC ";"27,31 ";"S ";"2819 "
"630 ";"14 ";"10 ";"60,0 ";"20,5 ";"24 ";"22 ";"27 ";"GRV-S-14/10-SC ";"27,48 ";"S ";"2820 "
"630 ";"14 ";"12 ";"60,0 ";"20,5 ";"24 ";"24 ";"27 ";"GRV-S-14/12-SC ";"30,34 ";"S ";"2821 "
"630 ";"16 ";"6 ";"59,5 ";"20,0 ";"27 ";"17 ";"30 ";"GRV-S-16/06-SC ";"34,98 ";"S ";"2822 "
"630 ";"16 ";"8 ";"59,5 ";"20,0 ";"27 ";"19 ";"30 ";"GRV-S-16/08-SC ";"35,08 ";"S ";"2823 "
"630 ";"16 ";"10 ";"60,5 ";"20,0 ";"27 ";"22 ";"30 ";"GRV-S-16/10-SC ";"34,72 ";"S ";"2824 "
"630 ";"16 ";"12 ";"60,5 ";"20,0 ";"27 ";"24 ";"30 ";"GRV-S-16/12-SC ";"35,48 ";"S ";"2825 "
"630 ";"16 ";"14 ";"63,5 ";"21,5 ";"27 ";"27 ";"30 ";"GRV-S-16/14-SC ";"40,96 ";"S ";"2826 "
