"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L4";"Ca. Maﬂe  Approx. Dimensions  L5";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Ca. Maﬂe  Approx. Dimensions  SW4";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"M 12 x 1,5 ";"22 ";"7,0 ";"42 ";"27,0 ";"17 ";"14 ";"17 ";"GSV-L-06 ";"16,87 ";"L ";"3377 "
"500 ";"8 ";"M 14 x 1,5 ";"23 ";"8,0 ";"42 ";"27,0 ";"19 ";"17 ";"19 ";"GSV-L-08 ";"19,94 ";"L ";"3378 "
"500 ";"10 ";"M 16 x 1,5 ";"25 ";"10,0 ";"43 ";"28,0 ";"22 ";"19 ";"22 ";"GSV-L-10 ";"24,8 ";"L ";"3379 "
"400 ";"12 ";"M 18 x 1,5 ";"25 ";"10,0 ";"44 ";"29,0 ";"24 ";"22 ";"24 ";"GSV-L-12 ";"27,05 ";"L ";"3380 "
"400 ";"15 ";"M 22 x 1,5 ";"27 ";"12,0 ";"46 ";"31,0 ";"27 ";"27 ";"30 ";"GSV-L-15 ";"35,02 ";"L ";"3381 "
"400 ";"18 ";"M 26 x 1,5 ";"30 ";"13,5 ";"49 ";"32,5 ";"32 ";"32 ";"36 ";"GSV-L-18 ";"54,45 ";"L ";"3382 "
"250 ";"22 ";"M 30 x 2 ";"33 ";"16,5 ";"51 ";"34,5 ";"36 ";"36 ";"41 ";"GSV-L-22 ";"69,03 ";"L ";"3383 "
"250 ";"28 ";"M 36 x 2 ";"35 ";"18,5 ";"52 ";"35,5 ";"41 ";"41 ";"46 ";"GSV-L-28 ";"97,15 ";"L ";"3384 "
"250 ";"35 ";"M 45 x 2 ";"40 ";"18,5 ";"58 ";"36,5 ";"50 ";"50 ";"55 ";"GSV-L-35 ";"132,94 ";"L ";"3385 "
"250 ";"42 ";"M 52 x 2 ";"42 ";"19,0 ";"59 ";"36,0 ";"60 ";"60 ";"65 ";"GSV-L-42 ";"176,4 ";"L ";"3386 "
"100 ";"4 ";"M 8 x 1 ";"19 ";"7,0 ";"23 ";"11,0 ";"11 ";"10 ";"11 ";"GSV-LL-04 ";"16,5 ";"LL ";"3374 "
"100 ";"6 ";"M 10 x 1 ";"";"";"";"";"";"";"";"GSV-LL-06 ";"";"LL ";"3375 "
"100 ";"8 ";"M 12 x 1 ";"";"";"";"";"";"";"";"GSV-LL-08 ";"";"LL ";"3376 "
"800 ";"6 ";"M 14 x 1,5 ";"27 ";"12,0 ";"44 ";"29,0 ";"19 ";"17 ";"19 ";"GSV-S-06 ";"22,24 ";"S ";"3387 "
"800 ";"8 ";"M 16 x 1,5 ";"28 ";"13,0 ";"44 ";"29,0 ";"22 ";"19 ";"22 ";"GSV-S-08 ";"25,67 ";"S ";"3388 "
"800 ";"10 ";"M 18 x 1,5 ";"31 ";"14,5 ";"46 ";"29,5 ";"24 ";"22 ";"24 ";"GSV-S-10 ";"29,4 ";"S ";"3389 "
"630 ";"12 ";"M 20 x 1,5 ";"31 ";"14,5 ";"47 ";"30,5 ";"27 ";"24 ";"27 ";"GSV-S-12 ";"31,65 ";"S ";"3390 "
"630 ";"14 ";"M 22 x 1,5 ";"35 ";"17,0 ";"50 ";"32,0 ";"30 ";"27 ";"30 ";"GSV-S-14 ";"46,02 ";"S ";"3391 "
"630 ";"16 ";"M 24 x 1,5 ";"35 ";"16,5 ";"50 ";"31,5 ";"32 ";"30 ";"32 ";"GSV-S-16 ";"54,1 ";"S ";"3392 "
"420 ";"20 ";"M 30 x 2 ";"39 ";"17,5 ";"55 ";"33,5 ";"41 ";"36 ";"41 ";"GSV-S-20 ";"79,25 ";"S ";"3393 "
"420 ";"25 ";"M 36 x 2 ";"44 ";"20,0 ";"59 ";"35,0 ";"46 ";"46 ";"46 ";"GSV-S-25 ";"120,16 ";"S ";"3394 "
"420 ";"30 ";"M 42 x 2 ";"48 ";"21,5 ";"64 ";"37,5 ";"50 ";"50 ";"50 ";"GSV-S-30 ";"138,05 ";"S ";"3395 "
"420 ";"38 ";"M 52 x 2 ";"53 ";"22,0 ";"68 ";"37,0 ";"65 ";"60 ";"65 ";"GSV-S-38 ";"214,75 ";"S ";"3396 "
