"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  D2";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"8 ";"6 ";"45,5 ";"11,0 ";"14 ";"14 ";"17 ";"GRV-L-08/06 ";"13,04 ";"L ";"2670 "
"500 ";"10 ";"6 ";"47,0 ";"12,0 ";"17 ";"14 ";"19 ";"GRV-L-10/06 ";"14,11 ";"L ";"2671 "
"500 ";"10 ";"8 ";"47,0 ";"12,0 ";"17 ";"17 ";"19 ";"GRV-L-10/08 ";"15,98 ";"L ";"2672 "
"400 ";"12 ";"6 ";"48,0 ";"13,0 ";"19 ";"14 ";"22 ";"GRV-L-12/06 ";"16,11 ";"L ";"2673 "
"400 ";"12 ";"8 ";"48,0 ";"13,0 ";"19 ";"17 ";"22 ";"GRV-L-12/08 ";"17,38 ";"L ";"2674 "
"400 ";"12 ";"10 ";"49,5 ";"14,0 ";"19 ";"19 ";"22 ";"GRV-L-12/10 ";"18,66 ";"L ";"2675 "
"400 ";"15 ";"6 ";"50,5 ";"14,0 ";"24 ";"14 ";"27 ";"GRV-L-15/06 ";"19,79 ";"L ";"2676 "
"400 ";"15 ";"8 ";"50,5 ";"14,0 ";"24 ";"17 ";"27 ";"GRV-L-15/08 ";"21,22 ";"L ";"2677 "
"400 ";"15 ";"10 ";"52,0 ";"15,0 ";"24 ";"19 ";"27 ";"GRV-L-15/10 ";"22,73 ";"L ";"2678 "
"400 ";"15 ";"12 ";"52,0 ";"15,0 ";"24 ";"22 ";"27 ";"GRV-L-15/12 ";"23,49 ";"L ";"2679 "
"400 ";"18 ";"8 ";"52,0 ";"14,5 ";"27 ";"27 ";"32 ";"GRV-L-18/08 ";"30,68 ";"L ";"2680 "
"400 ";"18 ";"10 ";"53,5 ";"15,5 ";"27 ";"19 ";"32 ";"GRV-L-18/10 ";"32,01 ";"L ";"2681 "
"400 ";"18 ";"12 ";"53,5 ";"15,5 ";"27 ";"22 ";"32 ";"GRV-L-18/12 ";"33,46 ";"L ";"2682 "
"400 ";"18 ";"15 ";"56,5 ";"16,5 ";"27 ";"27 ";"32 ";"GRV-L-18/15 ";"35,13 ";"L ";"2683 "
"250 ";"22 ";"8 ";"56,5 ";"17,5 ";"32 ";"17 ";"36 ";"GRV-L-22/08 ";"44,28 ";"L ";"2684 "
"250 ";"22 ";"10 ";"57,0 ";"17,5 ";"32 ";"19 ";"36 ";"GRV-L-22/10 ";"44,28 ";"L ";"2685 "
"250 ";"22 ";"12 ";"57,0 ";"17,5 ";"32 ";"22 ";"36 ";"GRV-L-22/12 ";"44,43 ";"L ";"2686 "
"250 ";"22 ";"15 ";"59,0 ";"18,5 ";"32 ";"27 ";"36 ";"GRV-L-22/15 ";"43,92 ";"L ";"2687 "
"250 ";"22 ";"18 ";"60,0 ";"18,0 ";"32 ";"32 ";"36 ";"GRV-L-22/18 ";"46,53 ";"L ";"2688 "
"250 ";"28 ";"10 ";"60,0 ";"20,5 ";"41 ";"19 ";"41 ";"GRV-L-28/10 ";"69,03 ";"L ";"2689 "
"250 ";"28 ";"12 ";"60,0 ";"19,0 ";"41 ";"22 ";"41 ";"GRV-L-28/12 ";"72,35 ";"L ";"2690 "
"250 ";"28 ";"15 ";"62,5 ";"19,0 ";"41 ";"27 ";"41 ";"GRV-L-28/15 ";"71,58 ";"L ";"2691 "
"250 ";"28 ";"18 ";"61,0 ";"19,0 ";"41 ";"32 ";"41 ";"GRV-L-28/18 ";"74,14 ";"L ";"2692 "
"250 ";"28 ";"22 ";"64,0 ";"21,0 ";"41 ";"36 ";"41 ";"GRV-L-28/22 ";"76,69 ";"L ";"2693 "
"250 ";"35 ";"15 ";"65,0 ";"19,5 ";"46 ";"27 ";"50 ";"GRV-L-35/15 ";"93,21 ";"L ";"2694 "
"250 ";"35 ";"18 ";"66,5 ";"19,0 ";"46 ";"32 ";"50 ";"GRV-L-35/18 ";"93,31 ";"L ";"2695 "
"250 ";"35 ";"22 ";"69,5 ";"21,0 ";"46 ";"36 ";"50 ";"GRV-L-35/22 ";"93,67 ";"L ";"2696 "
"250 ";"35 ";"28 ";"70,5 ";"21,0 ";"46 ";"41 ";"50 ";"GRV-L-35/28 ";"101,75 ";"L ";"2697 "
"250 ";"42 ";"15 ";"64,0 ";"21,0 ";"55 ";"27 ";"60 ";"GRV-L-42/15 ";"126,8 ";"L ";"2698 "
"250 ";"42 ";"18 ";"";"20,5 ";"55 ";"32 ";"60 ";"GRV-L-42/18 ";"126,8 ";"L ";"2699 "
"250 ";"42 ";"22 ";"70,5 ";"22,5 ";"55 ";"36 ";"60 ";"GRV-L-42/22 ";"127,31 ";"L ";"2700 "
"250 ";"42 ";"28 ";"71,0 ";"22,5 ";"55 ";"41 ";"60 ";"GRV-L-42/28 ";"127,82 ";"L ";"2701 "
"250 ";"42 ";"35 ";"75,0 ";"21,5 ";"55 ";"50 ";"60 ";"GRV-L-42/35 ";"132,94 ";"L ";"2702 "
"100 ";"6 ";"4 ";"36,0 ";"10,5 ";"11 ";"10 ";"12 ";"GRV-LL-06/04 ";"13,55 ";"LL ";"2668 "
"100 ";"8 ";"6 ";"38,0 ";"11,0 ";"12 ";"12 ";"14 ";"GRV-LL-08/06 ";"14,95 ";"LL ";"2669 "
