"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Rohr A.D.  Tube O.D.  D";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"06 ";"1/4'' ";"M 12 x 1,5 ";"6 ";"18,5 ";"3,7 ";"14 ";"PL-DKL-M 12x1,5-DN 06 ";"30 ";"";"11726 "
"06 ";"1/4'' ";"M 14 x 1,5 ";"8 ";"18,5 ";"4,0 ";"17 ";"PL-DKL-M 14x1,5-DN 06 ";"27,5 ";"";"11727 "
"06 ";"1/4'' ";"M 16 x 1,5 ";"10 ";"18,5 ";"4,0 ";"19 ";"PL-DKL-M 16x1,5-DN 06 ";"27,5 ";"";"11746 "
"10 ";"3/8'' ";"M 16 x 1,5 ";"10 ";"14,0 ";"7,0 ";"19 ";"PL-DKL-M 16x1,5-DN 10 ";"27,5 ";"";"11728 "
"10 ";"3/8'' ";"M 18 x 1,5 ";"12 ";"18,5 ";"7,0 ";"22 ";"PL-DKL-M 18x1,5-DN 10 ";"27,5 ";"";"11729 "
"12 ";"1/2'' ";"M 22 x 1,5 ";"15 ";"20,0 ";"10,0 ";"27 ";"PL-DKL-M 22x1,5-DN 12 ";"29,5 ";"";"11730 "
"16 ";"5/8'' ";"M 26 x 1,5 ";"18 ";"18,0 ";"13,5 ";"32 ";"PL-DKL-M 26x1,5-DN 16 ";"37 ";"";"11731 "
"19 ";"3/4'' ";"M 30 x 2 ";"22 ";"22,0 ";"15,0 ";"36 ";"PL-DKL-M 30x2-DN 19 ";"43,5 ";"";"11732 "
"25 ";"1'' ";"M 36 x 2 ";"28 ";"26,0 ";"21,0 ";"41 ";"PL-DKL-M 36x2-DN 25 ";"62 ";"";"11725 "
