"Druck  Pressure  PN";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"400 ";"1/8''-28 ";"20,0 ";"18,0 ";"4,0 ";"12 ";"14 ";"1580510-02 ";"37,5 ";"";"1765 "
"400 ";"1/4''-19 ";"24,5 ";"23,5 ";"6,0 ";"14 ";"19 ";"1580510-04 ";"29,95 ";"";"1766 "
"400 ";"3/8''-19 ";"25,5 ";"25,5 ";"8,0 ";"17 ";"22 ";"1580510-06 ";"32,3 ";"";"1767 "
"400 ";"1/2''-14 ";"29,5 ";"29,5 ";"11,0 ";"19 ";"27 ";"1580510-08 ";"39 ";"";"1768 "
"400 ";"3/4''-14 ";"37,0 ";"37,0 ";"16,0 ";"27 ";"32 ";"1580510-12 ";"59,8 ";"";"1769 "
"400 ";"1''-11 ";"43,0 ";"43,0 ";"22,0 ";"36 ";"41 ";"1580510-16 ";"85 ";"";"1770 "
"200 ";"1 1/4''-11 ";"51,0 ";"51,0 ";"28,0 ";"41 ";"50 ";"1580510-20 ";"110,9 ";"";"1771 "
"200 ";"1 1/2''-11 ";"59,0 ";"50,0 ";"33,5 ";"50 ";"55 ";"1580510-24 ";"155 ";"";"1772 "
"100 ";"2''-11 ";"77,5 ";"80,0 ";"42,0 ";"65 ";"70 ";"1580510-32 ";"750 ";"";"1773 "
