"Schlauch  Hose  DN";"DN  Bore  in.";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  L";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"06 ";"1/4'' ";"23,0 ";"31,7 ";"P5-DN 06 ";"5,05 ";"";"70 "
"08 ";"5/16'' ";"24,0 ";"31,5 ";"P5-DN 08 ";"5,1 ";"";"71 "
"10 ";"3/8'' ";"26,0 ";"33,3 ";"P5-DN 10 ";"5,2 ";"";"72 "
"12 ";"1/2'' ";"29,0 ";"34,5 ";"P5-DN 12 ";"5,65 ";"";"73 "
"16 ";"5/8'' ";"33,0 ";"39,0 ";"P5-DN 16 ";"7,45 ";"";"74 "
"19 ";"3/4'' ";"37,0 ";"44,0 ";"P5-DN 19 ";"10,4 ";"";"75 "
"25 ";"1'' ";"46,0 ";"45,7 ";"P5-DN 25 ";"19,2 ";"";"76 "
