"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"19 ";"3/4'' ";"3/4''-14 ";"40,5 ";"14,5 ";"32 ";"I-AGR-3/4''-DN 19 ";"22,5 ";"";"1233 "
"19 ";"3/4'' ";"1''-11 ";"44,5 ";"14,5 ";"41 ";"I-AGR-1''-DN 19 ";"45,8 ";"";"1234 "
"25 ";"1'' ";"1''-11 ";"48,5 ";"20,0 ";"41 ";"I-AGR-1''-DN 25 ";"32,5 ";"";"1235 "
"31 ";"1 1/4'' ";"1 1/4''-11 ";"44,0 ";"25,0 ";"50 ";"I-AGR-1 1/4''-DN 31 ";"65,2 ";"";"1236 "
"38 ";"1 1/2'' ";"1 1/2''-11 ";"54,0 ";"31,5 ";"55 ";"I-AGR-1 1/2''-DN 38 ";"101 ";"";"1237 "
"51 ";"2'' ";"2''-11 ";"52,5 ";"42,0 ";"70 ";"I-AGR-2''-DN 51 ";"248 ";"";"1238 "
