"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"M 12 x 1,5 ";"9,0 ";"26,0 ";"16,0 ";"14 ";"14 ";"EV-DKOL-06-OMD ";"29,45 ";"L ";"11479 "
"500 ";"8 ";"M 14 x 1,5 ";"12,0 ";"27,5 ";"19,0 ";"14 ";"17 ";"EV-DKOL-08-OMD ";"32,2 ";"L ";"11480 "
"500 ";"10 ";"M 16 x 1,5 ";"12,0 ";"29,0 ";"19,0 ";"19 ";"19 ";"EV-DKOL-10-OMD ";"39,45 ";"L ";"11481 "
"400 ";"12 ";"M 18 x 1,5 ";"14,0 ";"29,5 ";"21,0 ";"19 ";"22 ";"EV-DKOL-12-OMD ";"46,23 ";"L ";"11482 "
"400 ";"15 ";"M 22 x 1,5 ";"17,0 ";"32,5 ";"24,0 ";"22 ";"27 ";"EV-DKOL-15-OMD ";"47,1 ";"L ";"11483 "
"400 ";"18 ";"M 26 x 1,5 ";"16,5 ";"35,5 ";"24,0 ";"27 ";"32 ";"EV-DKOL-18-OMD ";"93,75 ";"L ";"11484 "
"250 ";"22 ";"M 30 x 2 ";"18,5 ";"38,5 ";"26,0 ";"30 ";"36 ";"EV-DKOL-22-OMD ";"121,05 ";"L ";"11485 "
"250 ";"28 ";"M 36 x 2 ";"23,0 ";"41,5 ";"30,5 ";"36 ";"41 ";"EV-DKOL-28-OMD ";"167,4 ";"L ";"11486 "
"250 ";"35 ";"M 45 x 2 ";"26,5 ";"51,0 ";"37,0 ";"50 ";"50 ";"EV-DKOL-35-OMD ";"238,77 ";"L ";"11487 "
"250 ";"42 ";"M 52 x 2 ";"26,0 ";"56,0 ";"37,0 ";"50 ";"60 ";"EV-DKOL-42-OMD ";"356,4 ";"L ";"11488 "
"800 ";"6 ";"M 14 x 1,5 ";"9,0 ";"27,0 ";"16,0 ";"14 ";"17 ";"EV-DKOS-06-OMD ";"32,2 ";"S ";"11489 "
"800 ";"8 ";"M 16 x 1,5 ";"12,0 ";"27,5 ";"19,0 ";"19 ";"19 ";"EV-DKOS-08-OMD ";"39,45 ";"S ";"11490 "
"800 ";"10 ";"M 18 x 1,5 ";"13,5 ";"30,0 ";"21,0 ";"19 ";"22 ";"EV-DKOS-10-OMD ";"46,23 ";"S ";"11491 "
"630 ";"12 ";"M 20 x 1,5 ";"16,5 ";"31,0 ";"24,0 ";"22 ";"24 ";"EV-DKOS-12-OMD ";"47 ";"S ";"11492 "
"630 ";"16 ";"M 24 x 1,5 ";"15,5 ";"36,5 ";"24,0 ";"27 ";"30 ";"EV-DKOS-16-OMD ";"90,1 ";"S ";"11493 "
"420 ";"20 ";"M 30 x 2 ";"16,0 ";"44,5 ";"26,5 ";"30 ";"36 ";"EV-DKOS-20-OMD ";"121,05 ";"S ";"11494 "
"420 ";"25 ";"M 36 x 2 ";"18,5 ";"50,0 ";"30,5 ";"36 ";"46 ";"EV-DKOS-25-OMD ";"172 ";"S ";"11495 "
"420 ";"30 ";"M 42 x 2 ";"23,5 ";"55,0 ";"37,0 ";"50 ";"50 ";"EV-DKOS-30-OMD ";"238,77 ";"S ";"11496 "
"420 ";"38 ";"M 52 x 2 ";"21,0 ";"63,0 ";"37,0 ";"50 ";"60 ";"EV-DKOS-38-OMD ";"420,2 ";"S ";"11497 "
