"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"27 ";"12,0 ";"12 ";"14 ";"TV-L-06 ";"21,63 ";"L ";"2963 "
"500 ";"8 ";"29 ";"14,0 ";"12 ";"17 ";"TV-L-08 ";"23,14 ";"L ";"2964 "
"500 ";"10 ";"30 ";"15,0 ";"14 ";"19 ";"TV-L-10 ";"26,69 ";"L ";"2965 "
"400 ";"12 ";"32 ";"17,0 ";"17 ";"22 ";"TV-L-12 ";"31,7 ";"L ";"2966 "
"400 ";"15 ";"36 ";"21,0 ";"19 ";"27 ";"TV-L-15 ";"45,05 ";"L ";"2967 "
"400 ";"18 ";"40 ";"23,5 ";"24 ";"32 ";"TV-L-18 ";"61,36 ";"L ";"2968 "
"250 ";"22 ";"44 ";"27,5 ";"27 ";"36 ";"TV-L-22 ";"86,82 ";"L ";"2969 "
"250 ";"28 ";"47 ";"30,5 ";"36 ";"41 ";"TV-L-28 ";"135,49 ";"L ";"2970 "
"250 ";"35 ";"56 ";"34,5 ";"41 ";"50 ";"TV-L-35 ";"232,64 ";"L ";"2971 "
"250 ";"42 ";"63 ";"40,0 ";"50 ";"60 ";"TV-L-42 ";"327,23 ";"L ";"2972 "
"100 ";"4 ";"21 ";"11,0 ";"9 ";"10 ";"TV-LL-04 ";"29,48 ";"LL ";"2960 "
"100 ";"6 ";"21 ";"9,5 ";"9 ";"12 ";"TV-LL-06 ";"31,11 ";"LL ";"2961 "
"100 ";"8 ";"23 ";"11,5 ";"12 ";"14 ";"TV-LL-08 ";"34,21 ";"LL ";"2962 "
"800 ";"6 ";"31 ";"16,0 ";"12 ";"17 ";"TV-S-06 ";"23,67 ";"S ";"2973 "
"800 ";"8 ";"32 ";"17,0 ";"14 ";"19 ";"TV-S-08 ";"26,05 ";"S ";"2974 "
"800 ";"10 ";"34 ";"17,5 ";"17 ";"22 ";"TV-S-10 ";"32,21 ";"S ";"2975 "
"630 ";"12 ";"38 ";"21,5 ";"17 ";"24 ";"TV-S-12 ";"39,63 ";"S ";"2976 "
"630 ";"14 ";"40 ";"22,0 ";"19 ";"27 ";"TV-S-14 ";"43,72 ";"S ";"2977 "
"630 ";"16 ";"43 ";"24,4 ";"24 ";"30 ";"TV-S-16 ";"61,77 ";"S ";"2978 "
"420 ";"20 ";"48 ";"26,5 ";"27 ";"36 ";"TV-S-20 ";"87,94 ";"S ";"2979 "
"420 ";"25 ";"54 ";"30,0 ";"36 ";"46 ";"TV-S-25 ";"145,98 ";"S ";"2980 "
"420 ";"30 ";"62 ";"35,5 ";"41 ";"50 ";"TV-S-30 ";"220,11 ";"S ";"2981 "
"420 ";"38 ";"72 ";"41,0 ";"50 ";"60 ";"TV-S-38 ";"342,57 ";"S ";"2982 "
