"Gewicht  Weight  kg";"    DN";"Druck  Pressure  PB";"Gewinde  Thread  D";"Ca. Maﬂe mm  Approx. Dimensions mm  B";"Ca. Maﬂe mm  Approx. Dimensions mm  H ";"Ca. Maﬂe mm  Approx. Dimensions mm  H1";"Ca. Maﬂe mm  Approx. Dimensions mm  H2";"Ca. Maﬂe mm  Approx. Dimensions mm  H4";"Ca. Maﬂe mm  Approx. Dimensions mm  i";"Ca. Maﬂe mm  Approx. Dimensions mm  L";"Ca. Maﬂe mm  Approx. Dimensions mm  L1";"Ca. Maﬂe mm  Approx. Dimensions mm  M";"    RA";"    SW";"    SW*";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"0,3 ";"5 ";"500 ";"M 14 x 1,5 ";"35 ";"43,5 ";"32 ";"8,0 ";"13,0 ";"12 ";"73 ";"36 ";"M 5 ";"6 ";"22 ";"9 ";"RKH-06-S-4423 ";"94,7 ";"";"10104 "
"0,35 ";"5 ";"500 ";"M 16 x 1,5 ";"35 ";"43,5 ";"32 ";"8,0 ";"13,0 ";"12 ";"73 ";"36 ";"M 5 ";"8 ";"22 ";"9 ";"RKH-08-S-4423 ";"94,7 ";"";"10105 "
"0,35 ";"6 ";"500 ";"M 18 x 1,5 ";"35 ";"43,5 ";"32 ";"8,0 ";"13,0 ";"12 ";"73 ";"36 ";"M 5 ";"10 ";"22 ";"9 ";"RKH-10-S-4423 ";"92 ";"";"10106 "
"0,35 ";"8 ";"500 ";"M 20 x 1,5 ";"35 ";"43,5 ";"32 ";"8,0 ";"13,0 ";"12 ";"76 ";"36 ";"M 5 ";"12 ";"22 ";"9 ";"RKH-12-S-4423 ";"92 ";"";"10107 "
"0,5 ";"10 ";"500 ";"M 22 x 1,5 ";"42 ";"49,5 ";"38 ";"8,0 ";"16,5 ";"14 ";"84 ";"43 ";"M 5 ";"14 ";"27 ";"9 ";"RKH-14-S-4423 ";"97,2 ";"";"10108 "
"0,6 ";"13 ";"500 ";"M 24 x 1,5 ";"45 ";"51,5 ";"40 ";"8,0 ";"17,5 ";"14 ";"87 ";"48 ";"M 5 ";"16 ";"30 ";"9 ";"RKH-16-S-4423 ";"101,55 ";"";"10109 "
"0,65 ";"13 ";"500 ";"M 30 x 2 ";"45 ";"51,5 ";"40 ";"8,0 ";"17,5 ";"16 ";"91 ";"48 ";"M 5 ";"20 ";"30 ";"9 ";"RKH-20-S-4423 ";"101,55 ";"";"10110 "
"1,5 ";"20 ";"400 ";"M 36 x 2 ";"60 ";"73,0 ";"57 ";"12,0 ";"24,5 ";"18 ";"110 ";"62 ";"M 6 ";"25 ";"41 ";"14 ";"RKH-25-S-4423 ";"206,4 ";"";"10111 "
"1,9 ";"24 ";"400 ";"M 42 x 2 ";"65 ";"79,0 ";"63 ";"12,0 ";"28,0 ";"20 ";"120 ";"66 ";"M 6 ";"30 ";"46 ";"14 ";"RKH-30-S-4423 ";"225,75 ";"";"10112 "
"3,7 ";"32 ";"350 ";"M 52 x 2 ";"90 ";"104,0 ";"84 ";"13,5 ";"38,0 ";"22 ";"140 ";"81 ";"M 8 ";"38 ";"60 ";"17 ";"RKH-38-S-4423 ";"409,5 ";"";"10113 "
