"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"M 10 x 1 ";"12,0 ";"34,5 ";"26,0 ";"19,0 ";"8 ";"14 ";"12 ";"14 ";"EW-DKOL-06-M 10x1-wd-OMD ";"27,08 ";"L ";"8641 "
"500 ";"8 ";"M 12 x 1,5 ";"14,0 ";"37,5 ";"27,5 ";"21,0 ";"12 ";"17 ";"12 ";"17 ";"EW-DKOL-08-M 12x1,5-wd-OMD ";"28,53 ";"L ";"8642 "
"500 ";"10 ";"M 14 x 1,5 ";"15,0 ";"40,0 ";"29,0 ";"22,0 ";"12 ";"19 ";"14 ";"19 ";"EW-DKOL-10-M 14x1,5-wd-OMD ";"35,13 ";"L ";"8643 "
"400 ";"12 ";"M 16 x 1,5 ";"17,0 ";"42,0 ";"29,5 ";"24,0 ";"12 ";"22 ";"17 ";"22 ";"EW-DKOL-12-M 16x1,5-wd-OMD ";"39,67 ";"L ";"8644 "
"400 ";"15 ";"M 18 x 1,5 ";"21,0 ";"46,0 ";"32,5 ";"28,0 ";"12 ";"24 ";"19 ";"27 ";"EW-DKOL-15-M 18x1,5-wd-OMD ";"46,34 ";"L ";"8645 "
"400 ";"18 ";"M 22 x 1,5 ";"23,5 ";"50,0 ";"35,5 ";"31,0 ";"14 ";"27 ";"24 ";"32 ";"EW-DKOL-18-M 22x1,5-wd-OMD ";"66,82 ";"L ";"8646 "
"250 ";"22 ";"M 26 x 1,5 ";"27,5 ";"55,0 ";"38,5 ";"35,0 ";"16 ";"32 ";"27 ";"36 ";"EW-DKOL-22-M 26x1,5-wd-OMD ";"87,02 ";"L ";"8647 "
"250 ";"28 ";"M 33 x 2 ";"30,5 ";"59,0 ";"41,5 ";"38,0 ";"18 ";"41 ";"36 ";"41 ";"EW-DKOL-28-M 33x2-wd-OMD ";"135,83 ";"L ";"8648 "
"250 ";"35 ";"M 42 x 2 ";"34,5 ";"68,5 ";"51,0 ";"45,0 ";"20 ";"50 ";"41 ";"50 ";"EW-DKOL-35-M 42x2-wd-OMD ";"180,96 ";"L ";"8649 "
"250 ";"42 ";"M 48 x 2 ";"40,0 ";"75,0 ";"56,0 ";"51,0 ";"22 ";"55 ";"50 ";"60 ";"EW-DKOL-42-M 48x2-wd-OMD ";"272,37 ";"L ";"8650 "
"800 ";"6 ";"M 12 x 1,5 ";"16,0 ";"40,0 ";"27,0 ";"23,0 ";"12 ";"17 ";"12 ";"17 ";"EW-DKOS-06-M 12x1,5-wd-OMD ";"32,31 ";"S ";"8651 "
"800 ";"8 ";"M 14 x 1,5 ";"17,0 ";"42,5 ";"27,5 ";"24,0 ";"12 ";"19 ";"14 ";"19 ";"EW-DKOS-08-M 14x1,5-wd-OMD ";"36,2 ";"S ";"8652 "
"800 ";"10 ";"M 16 x 1,5 ";"17,5 ";"45,0 ";"30,0 ";"25,0 ";"12 ";"22 ";"17 ";"22 ";"EW-DKOS-10-M 16x1,5-wd-OMD ";"41,9 ";"S ";"8653 "
"630 ";"12 ";"M 18 x 1,5 ";"21,5 ";"48,0 ";"31,0 ";"29,0 ";"12 ";"24 ";"17 ";"24 ";"EW-DKOS-12-M 18x1,5-wd-OMD ";"47,14 ";"S ";"8654 "
"630 ";"14 ";"M 20 x 1,5 ";"22,0 ";"54,0 ";"35,0 ";"30,0 ";"14 ";"27 ";"19 ";"27 ";"EW-DKOS-14-M 20x1,5-wd-OMD ";"56,85 ";"S ";"8655 "
"630 ";"16 ";"M 22 x 1,5 ";"24,5 ";"55,0 ";"36,5 ";"33,0 ";"14 ";"27 ";"24 ";"30 ";"EW-DKOS-16-M 22x1,5-wd-OMD ";"70,5 ";"S ";"8656 "
"420 ";"20 ";"M 27 x 2 ";"26,5 ";"65,0 ";"44,5 ";"37,0 ";"16 ";"32 ";"27 ";"36 ";"EW-DKOS-20-M 27x2-wd-OMD ";"93,21 ";"S ";"8657 "
"420 ";"25 ";"M 33 x 2 ";"30,0 ";"73,0 ";"50,0 ";"42,0 ";"18 ";"41 ";"36 ";"46 ";"EW-DKOS-25-M 33x2-wd-OMD ";"147,35 ";"S ";"8658 "
"420 ";"30 ";"M 42 x 2 ";"35,5 ";"78,5 ";"55,0 ";"49,0 ";"20 ";"50 ";"41 ";"50 ";"EW-DKOS-30-M 42x2-wd-OMD ";"196,24 ";"S ";"8659 "
"420 ";"38 ";"M 48 x 2 ";"41,0 ";"89,0 ";"63,0 ";"57,0 ";"22 ";"55 ";"50 ";"60 ";"EW-DKOS-38-M 48x2-wd-OMD ";"277,35 ";"S ";"8660 "
