"Schlauch  Hose  DN";"DN  Bore  in.";"Flanschgröße  Flange Dimensions  D";"Flanschgröße  Flange Dimensions  in.";"Ca. Maße  Approx. Dimensions  A";"Ca. Maße  Approx. Dimensions  C";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"19 ";"3/4'' ";"38,1 ";"3/4'' ";"41,0 ";"14,5 ";"I-SFL3-3/4''-DN 19 ";"52,5 ";"3.000 P.S.I. ";"1097 "
"19 ";"3/4'' ";"44,5 ";"1'' ";"44,5 ";"14,5 ";"I-SFL3-1''-DN 19 ";"63,1 ";"3.000 P.S.I. ";"1098 "
"25 ";"1'' ";"44,5 ";"1'' ";"52,5 ";"20,0 ";"I-SFL3-1''-DN 25 ";"61 ";"3.000 P.S.I. ";"1099 "
"25 ";"1'' ";"50,8 ";"1 1/4'' ";"53,0 ";"20,0 ";"I-SFL3-1 1/4''-DN 25 ";"92,6 ";"3.000 P.S.I. ";"1100 "
"31 ";"1 1/4'' ";"50,8 ";"1 1/4'' ";"53,0 ";"25,0 ";"I-SFL3-1 1/4''-DN 31 ";"88,8 ";"3.000 P.S.I. ";"1101 "
"31 ";"1 1/4'' ";"60,3 ";"1 1/2'' ";"50,5 ";"25,0 ";"I-SFL3-1 1/2''-DN 31 ";"129,5 ";"3.000 P.S.I. ";"1102 "
"38 ";"1 1/2'' ";"60,3 ";"1 1/2'' ";"77,5 ";"31,5 ";"I-SFL3-1 1/2''-DN 38 ";"108,9 ";"3.000 P.S.I. ";"1103 "
"38 ";"1 1/2'' ";"71,4 ";"2'' ";"72,0 ";"31,5 ";"I-SFL3-2''-DN 38 ";"205 ";"3.000 P.S.I. ";"1104 "
"51 ";"2'' ";"71,4 ";"2'' ";"72,0 ";"42,0 ";"I-SFL3-2''-DN 51 ";"195 ";"3.000 P.S.I. ";"1105 "
"19 ";"3/4'' ";"41,3 ";"3/4'' ";"52,0 ";"14,5 ";"I-SFS6-3/4''-DN 19 ";"44,5 ";"6.000 P.S.I. ";"1106 "
"25 ";"1'' ";"41,3 ";"3/4'' ";"47,5 ";"20,0 ";"I-SFS6-3/4''-DN 25 ";"79,9 ";"6.000 P.S.I. ";"1107 "
"19 ";"3/4'' ";"47,6 ";"1'' ";"44,5 ";"14,5 ";"I-SFS6-1''-DN 19 ";"65,4 ";"6.000 P.S.I. ";"1108 "
"25 ";"1'' ";"47,6 ";"1'' ";"64,0 ";"20,0 ";"I-SFS6-1''-DN 25 ";"58 ";"6.000 P.S.I. ";"1109 "
"31 ";"1 1/4'' ";"47,6 ";"1'' ";"60,0 ";"20,0 ";"I-SFS6-1''-DN 31 ";"298 ";"6.000 P.S.I. ";"11138 "
"25 ";"1'' ";"54,0 ";"1 1/4'' ";"54,5 ";"20,0 ";"I-SFS6-1 1/4''-DN 25 ";"98,1 ";"6.000 P.S.I. ";"1110 "
"31 ";"1 1/4'' ";"54,0 ";"1 1/4'' ";"75,0 ";"25,0 ";"I-SFS6-1 1/4''-DN 31 ";"85 ";"6.000 P.S.I. ";"1111 "
"38 ";"1 1/2'' ";"54,0 ";"1 1/4'' ";"105,0 ";"25,0 ";"I-SFS6-1 1/4''-DN 38 ";"299 ";"6.000 P.S.I. ";"11139 "
"31 ";"1 1/4'' ";"63,5 ";"1 1/2'' ";"75,5 ";"25,0 ";"I-SFS6-1 1/2''-DN 31 ";"136 ";"6.000 P.S.I. ";"1112 "
"38 ";"1 1/2'' ";"63,5 ";"1 1/2'' ";"103,0 ";"31,5 ";"I-SFS6-1 1/2''-DN 38 ";"121 ";"6.000 P.S.I. ";"1113 "
"38 ";"1 1/2'' ";"79,4 ";"2'' ";"75,0 ";"31,5 ";"I-SFS6-2''-DN 38 ";"229,5 ";"6.000 P.S.I. ";"1114 "
"51 ";"2'' ";"79,4 ";"2'' ";"85,0 ";"42,0 ";"I-SFS6-2''-DN 51 ";"195 ";"6.000 P.S.I. ";"1115 "
