"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  mm";"Rohr A.D.  Tube O.D.  in.";"Gewinde  Thread   G";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"350 ";"6 ";"1/4'' ";"7/16''-20 UNF ";"22,5 ";"14,0 ";"4,5 ";"12 ";"1252511-04-04 ";"14,3 ";"";"2444 "
"350 ";"8 ";"5/16'' ";"1/2''-20 UNF ";"24,0 ";"14,0 ";"6,0 ";"14 ";"1252511-05-05 ";"15,2 ";"";"2445 "
"350 ";"10 ";"3/8'' ";"9/16''-18 UNF ";"27,0 ";"14,1 ";"7,5 ";"14 ";"1252511-06-06 ";"15,25 ";"";"2446 "
"350 ";"12 ";"1/2'' ";"3/4''-16 UNF ";"31,0 ";"16,7 ";"10,0 ";"19 ";"1252511-08-08 ";"19,9 ";"";"2447 "
"350 ";"14, 15, 16 ";"5/8'' ";"7/8''-14 UNF ";"37,5 ";"19,3 ";"12,5 ";"22 ";"1252511-10-10 ";"23,1 ";"";"2448 "
"350 ";"18, 20 ";"3/4'' ";"1 1/16''-12 UN ";"42,0 ";"21,9 ";"15,0 ";"24 ";"1252511-12-12 ";"30,9 ";"";"2449 "
"280 ";"25 ";"1'' ";"1 5/16''-12 UN ";"46,0 ";"23,1 ";"21,5 ";"36 ";"1252511-16-16 ";"42,35 ";"";"2450 "
"210 ";"28, 30, 32 ";"1 1/4'' ";"1 5/8''-12 UN ";"52,5 ";"24,3 ";"27,5 ";"41 ";"1252511-20-20 ";"64,05 ";"";"2451 "
"210 ";"35, 38 ";"1 1/2'' ";"1 7/8''-12 UN ";"59,0 ";"27,5 ";"33,0 ";"50 ";"1252511-24-24 ";"100,1 ";"";"2452 "
"150 ";"50 ";"2'' ";"2 1/2''-12 UN ";"77,5 ";"33,9 ";"45,0 ";"65 ";"1252511-32-32 ";"298 ";"";"2453 "
