"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"R 1/8'' keg ";"12,0 ";"20,0 ";"19,0 ";"8 ";"12 ";"WE-L-06-R 1/8''-k-OMD ";"8,68 ";"L ";"5067 "
"315 ";"6 ";"R 1/4'' keg ";"12,0 ";"26,0 ";"19,0 ";"12 ";"12 ";"WE-L-06-R 1/4''-k-OMD ";"11,7 ";"L ";"5068 "
"315 ";"6 ";"R 3/8'' keg ";"15,0 ";"27,0 ";"22,0 ";"12 ";"14 ";"WE-L-06-R 3/8''-k-OMD ";"15,23 ";"L ";"5069 "
"315 ";"6 ";"R 1/2'' keg ";"15,5 ";"30,0 ";"26,0 ";"14 ";"17 ";"WE-L-06-R 1/2''-k-OMD ";"21,47 ";"L ";"5070 "
"315 ";"8 ";"R 1/8'' keg ";"14,0 ";"26,0 ";"21,0 ";"8 ";"12 ";"WE-L-08-R 1/8''-k-OMD ";"14,77 ";"L ";"5071 "
"315 ";"8 ";"R 1/4'' keg ";"14,0 ";"26,0 ";"21,0 ";"12 ";"12 ";"WE-L-08-R 1/4''-k-OMD ";"11,01 ";"L ";"5072 "
"315 ";"8 ";"R 3/8'' keg ";"15,0 ";"28,0 ";"22,0 ";"12 ";"14 ";"WE-L-08-R 3/8''-k-OMD ";"13,82 ";"L ";"5073 "
"315 ";"8 ";"R 1/2'' keg ";"19,5 ";"30,0 ";"26,0 ";"14 ";"17 ";"WE-L-08-R 1/2''-k-OMD ";"21,03 ";"L ";"5074 "
"315 ";"10 ";"R 1/8'' keg ";"15,0 ";"27,0 ";"22,0 ";"8 ";"14 ";"WE-L-10-R 1/8''-k-OMD ";"14,74 ";"L ";"5075 "
"315 ";"10 ";"R 1/4'' keg ";"15,0 ";"27,0 ";"22,0 ";"12 ";"14 ";"WE-L-10-R 1/4''-k-OMD ";"11,77 ";"L ";"5076 "
"315 ";"10 ";"R 3/8'' keg ";"15,0 ";"28,0 ";"22,0 ";"12 ";"14 ";"WE-L-10-R 3/8''-k-OMD ";"14,51 ";"L ";"5077 "
"315 ";"10 ";"R 1/2'' keg ";"21,0 ";"33,0 ";"28,0 ";"14 ";"17 ";"WE-L-10-R 1/2''-k-OMD ";"20,72 ";"L ";"5078 "
"315 ";"12 ";"R 1/8'' keg ";"17,5 ";"27,0 ";"24,0 ";"8 ";"17 ";"WE-L-12-R 1/8''-k-OMD ";"14,41 ";"L ";"5079 "
"315 ";"12 ";"R 1/4'' keg ";"17,5 ";"27,0 ";"24,0 ";"12 ";"17 ";"WE-L-12-R 1/4''-k-OMD ";"13,6 ";"L ";"5080 "
"315 ";"12 ";"R 3/8'' keg ";"17,5 ";"28,0 ";"24,0 ";"12 ";"17 ";"WE-L-12-R 3/8''-k-OMD ";"13,03 ";"L ";"5081 "
"315 ";"12 ";"R 1/2'' keg ";"17,5 ";"34,0 ";"27,5 ";"14 ";"17 ";"WE-L-12-R 1/2''-k-OMD ";"20,65 ";"L ";"5082 "
"315 ";"15 ";"R 1/4'' keg ";"21,0 ";"32,0 ";"28,0 ";"12 ";"19 ";"WE-L-15-R 1/4''-k-OMD ";"22,41 ";"L ";"5083 "
"315 ";"15 ";"R 3/8'' keg ";"21,0 ";"32,5 ";"28,0 ";"12 ";"19 ";"WE-L-15-R 3/8''-k-OMD ";"21,91 ";"L ";"5084 "
"315 ";"15 ";"R 1/2'' keg ";"21,0 ";"34,0 ";"28,0 ";"14 ";"19 ";"WE-L-15-R 1/2''-k-OMD ";"17,87 ";"L ";"5085 "
"160 ";"15 ";"R 3/4'' keg ";"21,0 ";"42,0 ";"28,0 ";"16 ";"24 ";"WE-L-15-R 3/4''-k-OMD ";"42,52 ";"L ";"5086 "
"315 ";"18 ";"R 3/8'' keg ";"23,5 ";"36,5 ";"31,0 ";"12 ";"24 ";"WE-L-18-R 3/8''-k-OMD ";"24,43 ";"L ";"5087 "
"315 ";"18 ";"R 1/2'' keg ";"23,5 ";"36,0 ";"31,0 ";"14 ";"24 ";"WE-L-18-R 1/2''-k-OMD ";"23,67 ";"L ";"5088 "
"160 ";"18 ";"R 3/4'' keg ";"22,0 ";"41,0 ";"31,0 ";"16 ";"24 ";"WE-L-18-R 3/4''-k-OMD ";"42,52 ";"L ";"5089 "
"160 ";"22 ";"R 1/2'' keg ";"27,5 ";"41,0 ";"35,0 ";"14 ";"27 ";"WE-L-22-R 1/2''-k-OMD ";"41,33 ";"L ";"5090 "
"160 ";"22 ";"R 3/4'' keg ";"27,5 ";"41,0 ";"35,0 ";"16 ";"27 ";"WE-L-22-R 3/4''-k-OMD ";"41,33 ";"L ";"5091 "
"160 ";"28 ";"R 1'' keg ";"30,5 ";"47,0 ";"38,0 ";"20 ";"36 ";"WE-L-28-R 1''-k-OMD ";"82,3 ";"L ";"5092 "
"160 ";"35 ";"R 1 1/4'' keg ";"33,0 ";"56,0 ";"45,0 ";"26 ";"41 ";"WE-L-35-R 1 1/4''-k-OMD ";"129,72 ";"L ";"5093 "
"100 ";"4 ";"R 1/8'' keg ";"11,0 ";"17 ";"15,0 ";"8 ";"9 ";"WE-LL-04-R 1/8''-k-OMD ";"12,27 ";"LL ";"5064 "
"100 ";"6 ";"R 1/8'' keg ";"9,5 ";"17 ";"15,0 ";"8 ";"9 ";"WE-LL-06-R 1/8''-k-OMD ";"12,27 ";"LL ";"5065 "
"100 ";"8 ";"R 1/8'' keg ";"11,5 ";"20 ";"17,0 ";"8 ";"12 ";"WE-LL-08-R 1/8''-k-OMD ";"12,27 ";"LL ";"5066 "
