"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"160 ";"22 ";"G 3/4'' zyl ";"44 ";"27,5 ";"26 ";"16 ";"27 ";"36 ";"LE-L-22-R 3/4''-z-SC ";"90,95 ";"L ";"5761 "
"160 ";"28 ";"G 1'' zyl ";"47 ";"30,5 ";"30 ";"18 ";"36 ";"41 ";"LE-L-28-R 1''-z-SC ";"148,7 ";"L ";"5762 "
"160 ";"35 ";"G 1 1/4'' zyl ";"56 ";"34,5 ";"34 ";"20 ";"41 ";"50 ";"LE-L-35-R 1 1/4''-z-SC ";"276,89 ";"L ";"5763 "
"160 ";"42 ";"G 1 1/2'' zyl ";"63 ";"40,0 ";"39 ";"22 ";"50 ";"60 ";"LE-L-42-R 1 1/2''-z-SC ";"289,85 ";"L ";"5764 "
"400 ";"20 ";"G 3/4'' zyl ";"48 ";"26,5 ";"26 ";"16 ";"27 ";"36 ";"LE-S-20-R 3/4''-z-SC ";"91,19 ";"S ";"5765 "
"250 ";"25 ";"G 1'' zyl ";"54 ";"30,0 ";"30 ";"18 ";"36 ";"46 ";"LE-S-25-R 1''-z-SC ";"158,88 ";"S ";"5766 "
"160 ";"30 ";"G 1 1/4'' zyl ";"62 ";"35,5 ";"34 ";"20 ";"41 ";"50 ";"LE-S-30-R 1 1/4''-z-SC ";"212,84 ";"S ";"5767 "
"160 ";"38 ";"G 1 1/2'' zyl ";"72 ";"41,0 ";"39 ";"22 ";"50 ";"60 ";"LE-S-38-R 1 1/2''-z-SC ";"387,09 ";"S ";"5768 "
