"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  B";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"06 ";"1/4'' ";"9/16''-18 ";"38,0 ";"15,5 ";"4,0 ";"19 ";"FORFS-9/16''-45∞-DN 06 ";"41,4 ";"";"1030 "
"06 ";"1/4'' ";"11/16''-16 ";"";"";"";"22 ";"FORFS-11/16''-45∞-DN 06 ";"52,5 ";"";"1031 "
"08 ";"5/16'' ";"11/16''-16 ";"";"";"";"22 ";"FORFS-11/16''-45∞-DN 08 ";"52,5 ";"";"1032 "
"10 ";"3/8'' ";"11/16''-16 ";"40,5 ";"15,0 ";"7,0 ";"22 ";"FORFS-11/16''-45∞-DN 10 ";"49,5 ";"";"1033 "
"10 ";"3/8'' ";"13/16''-16 ";"49,0 ";"19,5 ";"7,0 ";"24 ";"FORFS-13/16''-45∞-DN 10 ";"54,5 ";"";"1034 "
"12 ";"1/2'' ";"13/16''-16 ";"52,5 ";"17,5 ";"9,5 ";"24 ";"FORFS-13/16''-45∞-DN 12 ";"53 ";"";"1035 "
"12 ";"1/2'' ";"1''-14 ";"";"";"";"30 ";"FORFS-1''-45∞-DN 12 ";"";"";"1036 "
"16 ";"5/8'' ";"1''-14 ";"59,0 ";"24,0 ";"12,5 ";"30 ";"FORFS-1''-45∞-DN 16 ";"73 ";"";"1037 "
"19 ";"3/4'' ";"1''-14 ";"66,0 ";"29,0 ";"14,5 ";"30 ";"FORFS-1''-45∞-DN 19 ";"120 ";"";"1038 "
"12 ";"1/2'' ";"1. 3/16''-12 ";"";"";"";"36 ";"FORFS-1. 3/16''-45∞-DN 12 ";"";"";"1039 "
"16 ";"5/8'' ";"1. 3/16''-12 ";"";"";"";"36 ";"FORFS-1. 3/16''-45∞-DN 16 ";"";"";"1040 "
"19 ";"3/4'' ";"1. 3/16''-12 ";"76,5 ";"25,5 ";"14,5 ";"36 ";"FORFS-1. 3/16''-45∞-DN 19 ";"90 ";"";"1041 "
"19 ";"3/4'' ";"1. 7/16''-12 ";"";"";"";"41 ";"FORFS-1. 7/16''-45∞-DN 19 ";"";"";"1042 "
"25 ";"1'' ";"1. 7/16''-12 ";"91,0 ";"33,5 ";"20,0 ";"41 ";"FORFS-1. 7/16''-45∞-DN 25 ";"133 ";"";"1043 "
"31 ";"1 1/4'' ";"1. 11/16''-12 ";"95,5 ";"40,0 ";"25,0 ";"50 ";"FORFS-1. 11/16''-45∞-DN 31 ";"180 ";"";"1044 "
"38 ";"1 1/2'' ";"2''-12 ";"108,0 ";"42,0 ";"31,0 ";"60 ";"FORFS-2''-45∞-DN 38 ";"500 ";"";"1045 "
