"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"630 ";"6 ";"1/8'' NPT ";"21,0 ";"28,0 ";"10,0 ";"14 ";"GE-S-06-1/8''-NPT-OMD ";"8,41 ";"S ";"4564 "
"630 ";"6 ";"1/4'' NPT ";"28,0 ";"35,0 ";"15,0 ";"17 ";"GE-S-06-1/4''-NPT-OMD ";"8,77 ";"S ";"4565 "
"630 ";"6 ";"3/8'' NPT ";"26,0 ";"33,0 ";"15,3 ";"19 ";"GE-S-06-3/8''-NPT-OMD ";"14,08 ";"S ";"4566 "
"630 ";"6 ";"1/2'' NPT ";"35,0 ";"42,0 ";"20,0 ";"22 ";"GE-S-06-1/2''-NPT-OMD ";"13,83 ";"S ";"4567 "
"630 ";"8 ";"1/8'' NPT ";"23,0 ";"30,0 ";"10,0 ";"17 ";"GE-S-08-1/8''-NPT-OMD ";"11,07 ";"S ";"4568 "
"630 ";"8 ";"1/4'' NPT ";"28,0 ";"35,0 ";"15,0 ";"17 ";"GE-S-08-1/4''-NPT-OMD ";"10,3 ";"S ";"4569 "
"630 ";"8 ";"3/8'' NPT ";"28,0 ";"37,0 ";"15,3 ";"19 ";"GE-S-08-3/8''-NPT-OMD ";"11,4 ";"S ";"4570 "
"630 ";"8 ";"1/2'' NPT ";"35,0 ";"42,0 ";"20,0 ";"22 ";"GE-S-08-1/2''-NPT-OMD ";"14,29 ";"S ";"4571 "
"630 ";"10 ";"1/8'' NPT ";"22,5 ";"30,0 ";"10,0 ";"19 ";"GE-S-10-1/8''-NPT-OMD ";"12,37 ";"S ";"4572 "
"630 ";"10 ";"1/4'' NPT ";"27,5 ";"35,0 ";"15,0 ";"19 ";"GE-S-10-1/4''-NPT-OMD ";"11,7 ";"S ";"4573 "
"630 ";"10 ";"3/8'' NPT ";"27,5 ";"35,0 ";"15,3 ";"19 ";"GE-S-10-3/8''-NPT-OMD ";"12,17 ";"S ";"4574 "
"630 ";"10 ";"1/2'' NPT ";"34,5 ";"39,0 ";"20,0 ";"22 ";"GE-S-10-1/2''-NPT-OMD ";"14,34 ";"S ";"4575 "
"400 ";"10 ";"3/4'' NPT ";"31,5 ";"39,0 ";"20,0 ";"27 ";"GE-S-10-3/4''-NPT-OMD ";"17,13 ";"S ";"4576 "
"630 ";"12 ";"1/4'' NPT ";"29,5 ";"37,0 ";"15,0 ";"22 ";"GE-S-12-1/4''-NPT-OMD ";"12,99 ";"S ";"4577 "
"630 ";"12 ";"3/8'' NPT ";"29,0 ";"37,0 ";"15,3 ";"22 ";"GE-S-12-3/8''-NPT-OMD ";"13,93 ";"S ";"4578 "
"630 ";"12 ";"1/2'' NPT ";"34,5 ";"42,0 ";"20,0 ";"22 ";"GE-S-12-1/2''-NPT-OMD ";"13,19 ";"S ";"4579 "
"400 ";"12 ";"3/4'' NPT ";"36,5 ";"39,0 ";"20,0 ";"27 ";"GE-S-12-3/4''-NPT-OMD ";"17,28 ";"S ";"4580 "
"630 ";"14 ";"3/8'' NPT ";"30,0 ";"38,0 ";"15,3 ";"24 ";"GE-S-14-3/8''-NPT-OMD ";"14,44 ";"S ";"4581 "
"630 ";"14 ";"1/2'' NPT ";"36,0 ";"44,0 ";"20,0 ";"24 ";"GE-S-14-1/2''-NPT-OMD ";"16,03 ";"S ";"4582 "
"400 ";"14 ";"3/4'' NPT ";"38,0 ";"44,0 ";"20,0 ";"27 ";"GE-S-14-3/4''-NPT-OMD ";"18,22 ";"S ";"4583 "
"400 ";"16 ";"3/8'' NPT ";"30,5 ";"39,0 ";"15,3 ";"27 ";"GE-S-16-3/8''-NPT-OMD ";"19,6 ";"S ";"4584 "
"400 ";"16 ";"1/2'' NPT ";"35,5 ";"44,0 ";"20,0 ";"27 ";"GE-S-16-1/2''-NPT-OMD ";"21,19 ";"S ";"4585 "
"400 ";"16 ";"3/4'' NPT ";"37,5 ";"46,0 ";"20,0 ";"30 ";"GE-S-16-3/4''-NPT-OMD ";"21,7 ";"S ";"4586 "
"400 ";"16 ";"1'' NPT ";"44,5 ";"52,0 ";"25,0 ";"36 ";"GE-S-16-1''-NPT-OMD ";"25,41 ";"S ";"4587 "
"400 ";"20 ";"3/8'' NPT ";"32,5 ";"43,0 ";"15,3 ";"32 ";"GE-S-20-3/8''-NPT-OMD ";"27,26 ";"S ";"4588 "
"400 ";"20 ";"1/2'' NPT ";"37,5 ";"46,0 ";"20,0 ";"32 ";"GE-S-20-1/2''-NPT-OMD ";"26,23 ";"S ";"4589 "
"400 ";"20 ";"3/4'' NPT ";"37,5 ";"48,0 ";"20,0 ";"32 ";"GE-S-20-3/4''-NPT-OMD ";"26,49 ";"S ";"4590 "
"400 ";"20 ";"1'' NPT ";"44,5 ";"55,0 ";"25,0 ";"36 ";"GE-S-20-1''-NPT-OMD ";"35,16 ";"S ";"4591 "
"400 ";"20 ";"1 1/4'' NPT ";"44,5 ";"55,0 ";"25,5 ";"46 ";"GE-S-20-1 1/4''-NPT-OMD ";"52,82 ";"S ";"4592 "
"400 ";"25 ";"1/2'' NPT ";"40,0 ";"52,0 ";"20,0 ";"41 ";"GE-S-25-1/2''-NPT-OMD ";"42,74 ";"S ";"4593 "
"400 ";"25 ";"3/4'' NPT ";"40,0 ";"52,0 ";"20,0 ";"41 ";"GE-S-25-3/4''-NPT-OMD ";"39,67 ";"S ";"4594 "
"400 ";"25 ";"1'' NPT ";"45,0 ";"57,0 ";"25,0 ";"41 ";"GE-S-25-1''-NPT-OMD ";"39,67 ";"S ";"4595 "
"400 ";"25 ";"1 1/4'' NPT ";"46,0 ";"58,0 ";"25,5 ";"46 ";"GE-S-25-1 1/4''-NPT-OMD ";"45,29 ";"S ";"4596 "
"400 ";"30 ";"3/4'' NPT ";"40,5 ";"52,0 ";"20,0 ";"46 ";"GE-S-30-3/4''-NPT-OMD ";"55,81 ";"S ";"4597 "
"400 ";"30 ";"1'' NPT ";"45,5 ";"59,5 ";"25,0 ";"46 ";"GE-S-30-1''-NPT-OMD ";"59,39 ";"S ";"4598 "
"400 ";"30 ";"1 1/4'' NPT ";"46,5 ";"60,0 ";"25,5 ";"46 ";"GE-S-30-1 1/4''-NPT-OMD ";"55,81 ";"S ";"4599 "
"315 ";"30 ";"1 1/2'' NPT ";"46,5 ";"63,0 ";"26,0 ";"55 ";"GE-S-30-1 1/2''-NPT-OMD ";"66,04 ";"S ";"4600 "
