"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"05 ";"3/16'' ";"1/8''-28 ";"16,0 ";"3,0 ";"14 ";"DKR-1/8''-DN 05 ";"11,5 ";"";"415 "
"06 ";"1/4'' ";"1/8''-28 ";"15,5 ";"4,0 ";"14 ";"DKR-1/8''-DN 06 ";"9 ";"";"417 "
"05 ";"3/16'' ";"1/4''-19 ";"20,0 ";"3,0 ";"17 ";"DKR-1/4''-DN 05 ";"11,5 ";"";"416 "
"06 ";"1/4'' ";"1/4''-19 ";"21,0 ";"4,0 ";"17 ";"DKR-1/4''-DN 06 ";"7,7 ";"";"418 "
"08 ";"5/16'' ";"1/4''-19 ";"20,0 ";"5,0 ";"19 ";"DKR-1/4''-DN 08 ";"12 ";"";"419 "
"10 ";"3/8'' ";"1/4''-19 ";"20,0 ";"5,0 ";"19 ";"DKR-1/4''-DN 10 ";"12 ";"";"420 "
"06 ";"1/4'' ";"3/8''-19 ";"20,0 ";"4,0 ";"19 ";"DKR-3/8''-DN 06 ";"11,3 ";"";"421 "
"08 ";"5/16'' ";"3/8''-19 ";"22,5 ";"5,5 ";"19 ";"DKR-3/8''-DN 08 ";"9,95 ";"";"422 "
"10 ";"3/8'' ";"3/8''-19 ";"20,5 ";"7,0 ";"19 ";"DKR-3/8''-DN 10 ";"8,9 ";"";"423 "
"12 ";"1/2'' ";"3/8''-19 ";"24,0 ";"9,5 ";"22 ";"DKR-3/8''-DN 12 ";"12,5 ";"";"424 "
"06 ";"1/4'' ";"1/2''-14 ";"24,0 ";"4,0 ";"27 ";"DKR-1/2''-DN 06 ";"13,8 ";"";"425 "
"08 ";"5/16'' ";"1/2''-14 ";"21,5 ";"5,5 ";"27 ";"DKR-1/2''-DN 08 ";"13,5 ";"";"426 "
"10 ";"3/8'' ";"1/2''-14 ";"21,5 ";"7,0 ";"27 ";"DKR-1/2''-DN 10 ";"12,5 ";"";"427 "
"12 ";"1/2'' ";"1/2''-14 ";"23,5 ";"9,5 ";"27 ";"DKR-1/2''-DN 12 ";"10,45 ";"";"428 "
"16 ";"5/8'' ";"1/2''-14 ";"21,0 ";"11,5 ";"27 ";"DKR-1/2''-DN 16 ";"16,5 ";"";"429 "
"19 ";"3/4'' ";"1/2''-14 ";"23,0 ";"11,5 ";"27 ";"DKR-1/2''-DN 19 ";"17,9 ";"";"430 "
"12 ";"1/2'' ";"5/8''-14 ";"23,0 ";"9,5 ";"27 ";"DKR-5/8''-DN 12 ";"19,8 ";"";"431 "
"16 ";"5/8'' ";"5/8''-14 ";"22,0 ";"12,5 ";"27 ";"DKR-5/8''-DN 16 ";"20,5 ";"";"432 "
"06 ";"1/4'' ";"3/4''-14 ";"23,2 ";"4,0 ";"32 ";"DKR-3/4''-DN 06 ";"29 ";"";"433 "
"12 ";"1/2'' ";"3/4''-14 ";"24,0 ";"9,5 ";"32 ";"DKR-3/4''-DN 12 ";"21 ";"";"434 "
"16 ";"5/8'' ";"3/4''-14 ";"25,0 ";"12,5 ";"32 ";"DKR-3/4''-DN 16 ";"21 ";"";"435 "
"19 ";"3/4'' ";"3/4''-14 ";"26,5 ";"14,5 ";"32 ";"DKR-3/4''-DN 19 ";"16,3 ";"";"436 "
"25 ";"1'' ";"3/4''-14 ";"25,0 ";"16,5 ";"32 ";"DKR-3/4''-DN 25 ";"23 ";"";"437 "
"19 ";"3/4'' ";"1''-11 ";"27,0 ";"14,5 ";"41 ";"DKR-1''-DN 19 ";"25 ";"";"438 "
"25 ";"1'' ";"1''-11 ";"28,0 ";"20,0 ";"41 ";"DKR-1''-DN 25 ";"23,5 ";"";"439 "
"31 ";"1 1/4'' ";"1''-11 ";"30,0 ";"21,5 ";"41 ";"DKR-1''-DN 31 ";"42,9 ";"";"440 "
"19 ";"3/4'' ";"1 1/4''-11 ";"33,5 ";"14,5 ";"50 ";"DKR-1 1/4''-DN 19 ";"44,4 ";"";"441 "
"25 ";"1'' ";"1 1/4''-11 ";"32,5 ";"20,0 ";"50 ";"DKR-1 1/4''-DN 25 ";"44,4 ";"";"442 "
"31 ";"1 1/4'' ";"1 1/4''-11 ";"31,0 ";"25,5 ";"50 ";"DKR-1 1/4''-DN 31 ";"39,8 ";"";"443 "
"31 ";"1 1/4'' ";"1 1/2''-11 ";"46,0 ";"25,5 ";"55 ";"DKR-1 1/2''-DN 31 ";"69 ";"";"444 "
"38 ";"1 1/2'' ";"1 1/2''-11 ";"46,0 ";"31,5 ";"55 ";"DKR-1 1/2''-DN 38 ";"60,85 ";"";"445 "
"38 ";"1 1/2'' ";"2''-11 ";"35,0 ";"31,5 ";"70 ";"DKR-2''-DN 38 ";"115 ";"";"446 "
"51 ";"2'' ";"2''-11 ";"35,0 ";"43,0 ";"70 ";"DKR-2''-DN 51 ";"103,5 ";"";"447 "
