"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  B";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"06 ";"1/4'' ";"1/8''-28 ";"31,0 ";"17,0 ";"4,0 ";"14 ";"DRF-1/8''-90∞-DN 06 ";"24,4 ";"";"530 "
"06 ";"1/4'' ";"1/4''-19 ";"28,5 ";"25,0 ";"4,0 ";"17 ";"DRF-1/4''-90∞-DN 06 ";"21,7 ";"";"531 "
"08 ";"5/16'' ";"1/4''-19 ";"34,0 ";"36,0 ";"5,5 ";"19 ";"DRF-1/4''-90∞-DN 08 ";"35 ";"";"11137 "
"06 ";"1/4'' ";"3/8''-19 ";"30,0 ";"23,5 ";"4,0 ";"19 ";"DRF-3/8''-90∞-DN 06 ";"26,5 ";"";"11721 "
"08 ";"5/16'' ";"3/8''-19 ";"33,0 ";"30,0 ";"5,5 ";"19 ";"DRF-3/8''-90∞-DN 08 ";"25,9 ";"";"532 "
"10 ";"3/8'' ";"3/8''-19 ";"33,0 ";"30,0 ";"7,0 ";"19 ";"DRF-3/8''-90∞-DN 10 ";"24,9 ";"";"533 "
"10 ";"3/8'' ";"1/2''-14 ";"41,5 ";"36,0 ";"7,0 ";"27 ";"DRF-1/2''-90∞-DN 10 ";"29,45 ";"";"534 "
"12 ";"1/2'' ";"1/2''-14 ";"44,0 ";"36,5 ";"9,5 ";"27 ";"DRF-1/2''-90∞-DN 12 ";"29,45 ";"";"535 "
"12 ";"1/2'' ";"5/8''-14 ";"44,5 ";"47,5 ";"9,5 ";"27 ";"DRF-5/8''-90∞-DN 12 ";"43,9 ";"";"536 "
"16 ";"5/8'' ";"5/8''-14 ";"54,5 ";"50,0 ";"12,0 ";"27 ";"DRF-5/8''-90∞-DN 16 ";"43,9 ";"";"537 "
"12 ";"1/2'' ";"3/4''-14 ";"55,0 ";"47,0 ";"9,5 ";"32 ";"DRF-3/4''-90∞-DN 12 ";"49,83 ";"";"538 "
"16 ";"5/8'' ";"3/4''-14 ";"54,0 ";"20,5 ";"9,5 ";"32 ";"DRF-3/4''-90∞-DN 16 ";"46,8 ";"";"539 "
"19 ";"3/4'' ";"3/4''-14 ";"61,0 ";"50,0 ";"14,5 ";"32 ";"DRF-3/4''-90∞-DN 19 ";"40,7 ";"";"540 "
"19 ";"3/4'' ";"1''-11 ";"71,0 ";"51,0 ";"14,5 ";"41 ";"DRF-1''-90∞-DN 19 ";"65 ";"";"541 "
"25 ";"1'' ";"1''-11 ";"78,0 ";"64,5 ";"20,0 ";"41 ";"DRF-1''-90∞-DN 25 ";"57,6 ";"";"542 "
"25 ";"1'' ";"1 1/4''-11 ";"82,0 ";"76,0 ";"20,0 ";"50 ";"DRF-1 1/4''-90∞-DN 25 ";"135,2 ";"";"543 "
"31 ";"1 1/4'' ";"1 1/4''-11 ";"87,0 ";"74,5 ";"25,0 ";"50 ";"DRF-1 1/4''-90∞-DN 31 ";"102,57 ";"";"544 "
"31 ";"1 1/4'' ";"1 1/2''-11 ";"125,0 ";"98,0 ";"25,0 ";"55 ";"DRF-1 1/2''-90∞-DN 31 ";"175,5 ";"";"545 "
"38 ";"1 1/2'' ";"1 1/2''-11 ";"104,0 ";"95,0 ";"31,0 ";"55 ";"DRF-1 1/2''-90∞-DN 38 ";"126,1 ";"";"546 "
"51 ";"2'' ";"2''-11 ";"142,0 ";"119,0 ";"40,0 ";"70 ";"DRF-2''-90∞-DN 51 ";"245 ";"";"547 "
