"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Gewinde  Thread  G1";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"G 1/8'' ";"M 12 x 1,5 ";"24,5 ";"8 ";"14 ";"14 ";"EGE-DKOL-06-G 1/8''-wd ";"17,33 ";"L ";"9380 "
"500 ";"6 ";"G 1/4'' ";"M 12 x 1,5 ";"27,0 ";"12 ";"19 ";"14 ";"EGE-DKOL-06-G 1/4''-wd ";"19,38 ";"L ";"9381 "
"400 ";"6 ";"G 3/8'' ";"M 12 x 1,5 ";"28,0 ";"12 ";"22 ";"14 ";"EGE-DKOL-06-G 3/8''-wd ";"24,44 ";"L ";"9382 "
"500 ";"8 ";"G 1/8'' ";"M 14 x 1,5 ";"25,5 ";"8 ";"14 ";"17 ";"EGE-DKOL-08-G 1/8''-wd ";"19,65 ";"L ";"9383 "
"500 ";"8 ";"G 1/4'' ";"M 14 x 1,5 ";"29,5 ";"12 ";"19 ";"17 ";"EGE-DKOL-08-G 1/4''-wd ";"18,61 ";"L ";"9384 "
"400 ";"8 ";"G 3/8'' ";"M 14 x 1,5 ";"29,5 ";"12 ";"22 ";"17 ";"EGE-DKOL-08-G 3/8''-wd ";"24,44 ";"L ";"9385 "
"400 ";"8 ";"G 1/2'' ";"M 14 x 1,5 ";"29,0 ";"14 ";"27 ";"17 ";"EGE-DKOL-08-G 1/2''-wd ";"29,91 ";"L ";"9386 "
"500 ";"10 ";"G 1/8'' ";"M 16 x 1,5 ";"25,5 ";"8 ";"14 ";"19 ";"EGE-DKOL-10-G 1/8''-wd ";"21,6 ";"L ";"9387 "
"500 ";"10 ";"G 1/4'' ";"M 16 x 1,5 ";"27,5 ";"12 ";"19 ";"19 ";"EGE-DKOL-10-G 1/4''-wd ";"20,63 ";"L ";"9388 "
"400 ";"10 ";"G 1/2'' ";"M 16 x 1,5 ";"30,0 ";"14 ";"27 ";"19 ";"EGE-DKOL-10-G 1/2''-wd ";"29,91 ";"L ";"9390 "
"400 ";"10 ";"G 3/8'' ";"M 16 x 1,5 ";"30,0 ";"12 ";"22 ";"19 ";"EGE-DKOL-10-G 3/8''-wd ";"24,44 ";"L ";"9389 "
"400 ";"12 ";"G 1/8'' ";"M 18 x 1,5 ";"26,0 ";"8 ";"17 ";"22 ";"EGE-DKOL-12-G 1/8''-wd ";"22,75 ";"L ";"9391 "
"400 ";"12 ";"G 1/4'' ";"M 18 x 1,5 ";"28,0 ";"12 ";"19 ";"22 ";"EGE-DKOL-12-G 1/4''-wd ";"22,75 ";"L ";"9392 "
"400 ";"12 ";"G 3/8'' ";"M 18 x 1,5 ";"32,0 ";"12 ";"22 ";"22 ";"EGE-DKOL-12-G 3/8''-wd ";"22,75 ";"L ";"9393 "
"400 ";"12 ";"G 1/2'' ";"M 18 x 1,5 ";"34,5 ";"14 ";"27 ";"22 ";"EGE-DKOL-12-G 1/2''-wd ";"29,4 ";"L ";"9394 "
"400 ";"15 ";"G 3/8'' ";"M 22 x 1,5 ";"35,0 ";"12 ";"24 ";"27 ";"EGE-DKOL-15-G 3/8''-wd ";"31,96 ";"L ";"9395 "
"400 ";"15 ";"G 1/2'' ";"M 22 x 1,5 ";"35,0 ";"14 ";"27 ";"27 ";"EGE-DKOL-15-G 1/2''-wd ";"29,14 ";"L ";"9396 "
"250 ";"15 ";"G 3/4'' ";"M 22 x 1,5 ";"48,0 ";"16 ";"32 ";"27 ";"EGE-DKOL-15-G 3/4''-wd ";"48,5 ";"L ";"9397 "
"400 ";"18 ";"G 3/8'' ";"M 26 x 1,5 ";"34,0 ";"12 ";"24 ";"32 ";"EGE-DKOL-18-G 3/8''-wd ";"48,8 ";"L ";"9398 "
"400 ";"18 ";"G 1/2'' ";"M 26 x 1,5 ";"31,5 ";"14 ";"27 ";"32 ";"EGE-DKOL-18-G 1/2''-wd ";"42,13 ";"L ";"9399 "
"315 ";"18 ";"G 3/4'' ";"M 26 x 1,5 ";"33,0 ";"16 ";"32 ";"32 ";"EGE-DKOL-18-G 3/4''-wd ";"48,8 ";"L ";"9400 "
"250 ";"22 ";"G 1/2'' ";"M 30 x 2 ";"32,0 ";"14 ";"27 ";"36 ";"EGE-DKOL-22-G 1/2''-wd ";"48,5 ";"L ";"9401 "
"250 ";"22 ";"G 3/4'' ";"M 30 x 2 ";"32,5 ";"16 ";"32 ";"36 ";"EGE-DKOL-22-G 3/4''-wd ";"48,93 ";"L ";"9402 "
"250 ";"22 ";"G 1'' ";"M 30 x 2 ";"33,0 ";"18 ";"41 ";"36 ";"EGE-DKOL-22-G 1''-wd ";"76,5 ";"L ";"9403 "
"250 ";"28 ";"G 3/4'' ";"M 36 x 2 ";"35,0 ";"16 ";"32 ";"41 ";"EGE-DKOL-28-G 3/4''-wd ";"76,6 ";"L ";"9404 "
"250 ";"28 ";"G 1'' ";"M 36 x 2 ";"35,0 ";"18 ";"41 ";"41 ";"EGE-DKOL-28-G 1''-wd ";"76,69 ";"L ";"9405 "
"250 ";"35 ";"G 1 1/4'' ";"M 45 x 2 ";"42,5 ";"20 ";"50 ";"50 ";"EGE-DKOL-35-G 1 1/4''-wd ";"120,16 ";"L ";"9406 "
"250 ";"42 ";"G 1 1/4'' ";"M 52 x 2 ";"40,5 ";"20 ";"50 ";"60 ";"EGE-DKOL-42-G 1 1/4''-wd ";"316 ";"L ";"11498 "
"250 ";"42 ";"G 1 1/2'' ";"M 52 x 2 ";"46,5 ";"22 ";"55 ";"60 ";"EGE-DKOL-42-G 1 1/2''-wd ";"132,94 ";"L ";"9407 "
"800 ";"6 ";"G 1/4'' ";"M 14 x 1,5 ";"27,0 ";"12 ";"19 ";"17 ";"EGE-DKOS-06-G 1/4''-wd ";"19,07 ";"S ";"9408 "
"800 ";"8 ";"G 1/4'' ";"M 16 x 1,5 ";"29,5 ";"12 ";"19 ";"19 ";"EGE-DKOS-08-G 1/4''-wd ";"19,79 ";"S ";"9409 "
"800 ";"8 ";"G 3/8'' ";"M 16 x 1,5 ";"29,5 ";"12 ";"22 ";"19 ";"EGE-DKOS-08-G 3/8''-wd ";"22,5 ";"S ";"9410 "
"800 ";"10 ";"G 3/8'' ";"M 18 x 1,5 ";"32,0 ";"12 ";"22 ";"22 ";"EGE-DKOS-10-G 3/8''-wd ";"22,55 ";"S ";"9412 "
"800 ";"10 ";"G 1/4'' ";"M 18 x 1,5 ";"27,5 ";"12 ";"19 ";"22 ";"EGE-DKOS-10-G 1/4''-wd ";"31,34 ";"S ";"9411 "
"630 ";"10 ";"G 1/2'' ";"M 18 x 1,5 ";"32,0 ";"14 ";"27 ";"22 ";"EGE-DKOS-10-G 1/2''-wd ";"31,34 ";"S ";"9413 "
"630 ";"12 ";"G 1/4'' ";"M 20 x 1,5 ";"42,0 ";"12 ";"19 ";"24 ";"EGE-DKOS-12-G 1/4''-wd ";"24,18 ";"S ";"9414 "
"630 ";"12 ";"G 3/8'' ";"M 20 x 1,5 ";"34,0 ";"12 ";"22 ";"24 ";"EGE-DKOS-12-G 3/8''-wd ";"24,18 ";"S ";"9415 "
"630 ";"12 ";"G 1/2'' ";"M 20 x 1,5 ";"34,5 ";"14 ";"27 ";"24 ";"EGE-DKOS-12-G 1/2''-wd ";"31,34 ";"S ";"9416 "
"630 ";"14 ";"G 1/2'' ";"M 22 x 1,5 ";"36,5 ";"14 ";"27 ";"27 ";"EGE-DKOS-14-G 1/2''-wd ";"31,34 ";"S ";"9417 "
