"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"06 ";"1/4'' ";"1/8''-28 ";"23,5 ";"4,0 ";"14 ";"AGF-1/8''-DN 06 ";"9,5 ";"";"738 "
"06 ";"1/4'' ";"1/4''-19 ";"25,5 ";"4,0 ";"19 ";"AGF-1/4''-DN 06 ";"10,5 ";"";"739 "
"08 ";"5/16'' ";"1/4''-19 ";"28,0 ";"5,5 ";"19 ";"AGF-1/4''-DN 08 ";"12,5 ";"";"740 "
"10 ";"3/8'' ";"1/4''-19 ";"28,0 ";"6,0 ";"19 ";"AGF-1/4''-DN 10 ";"12,5 ";"";"741 "
"12 ";"1/2'' ";"1/4''-19 ";"27,0 ";"7,0 ";"19 ";"AGF-1/4''-DN 12 ";"17,5 ";"";"742 "
"06 ";"1/4'' ";"3/8''-19 ";"30,5 ";"4,0 ";"22 ";"AGF-3/8''-DN 06 ";"11,35 ";"";"11719 "
"08 ";"5/16'' ";"3/8''-19 ";"26,5 ";"5,5 ";"22 ";"AGF-3/8''-DN 08 ";"10,35 ";"";"743 "
"10 ";"3/8'' ";"3/8''-19 ";"30,0 ";"7,0 ";"22 ";"AGF-3/8''-DN 10 ";"10,15 ";"";"744 "
"12 ";"1/2'' ";"3/8''-19 ";"32,0 ";"9,5 ";"22 ";"AGF-3/8''-DN 12 ";"12,2 ";"";"745 "
"10 ";"1/2'' ";"1/2''-14 ";"32,0 ";"7,0 ";"27 ";"AGF-1/2''-DN 10 ";"12 ";"";"746 "
"12 ";"1/2'' ";"1/2''-14 ";"31,0 ";"9,5 ";"27 ";"AGF-1/2''-DN 12 ";"12 ";"";"747 "
"16 ";"5/8'' ";"1/2''-14 ";"32,0 ";"12,5 ";"27 ";"AGF-1/2''-DN 16 ";"19,9 ";"";"11720 "
"16 ";"5/8'' ";"5/8''-14 ";"32,0 ";"12,5 ";"30 ";"AGF-5/8''-DN 16 ";"19,5 ";"";"748 "
"12 ";"1/2'' ";"3/4''-14 ";"34,5 ";"9,5 ";"32 ";"AGF-3/4''-DN 12 ";"21,2 ";"";"749 "
"16 ";"5/8'' ";"3/4''-14 ";"35,0 ";"12,5 ";"32 ";"AGF-3/4''-DN 16 ";"16,68 ";"";"750 "
"19 ";"3/4'' ";"3/4''-14 ";"38,0 ";"14,5 ";"32 ";"AGF-3/4''-DN 19 ";"16,68 ";"";"751 "
"19 ";"3/4'' ";"1''-11 ";"41,5 ";"14,5 ";"41 ";"AGF-1''-DN 19 ";"25,9 ";"";"752 "
"25 ";"1'' ";"1''-11 ";"42,0 ";"20,0 ";"41 ";"AGF-1''-DN 25 ";"25,9 ";"";"753 "
"25 ";"1'' ";"1 1/4''-11 ";"45,0 ";"20,0 ";"50 ";"AGF-1 1/4''-DN 25 ";"57,5 ";"";"754 "
"31 ";"1 1/4'' ";"1 1/4''-11 ";"45,0 ";"25,5 ";"50 ";"AGF-1 1/4''-DN 31 ";"54,5 ";"";"755 "
"31 ";"1 1/4'' ";"1 1/2''-11 ";"45,0 ";"25,5 ";"55 ";"AGF-1 1/2''-DN 31 ";"62,5 ";"";"756 "
"38 ";"1 1/2'' ";"1 1/2''-11 ";"48,0 ";"31,5 ";"55 ";"AGF-1 1/2''-DN 38 ";"60 ";"";"757 "
"51 ";"2'' ";"2''-11 ";"50,0 ";"43,0 ";"70 ";"AGF-2''-DN 51 ";"99 ";"";"758 "
