"    DN";"    LW";"Druck  Pressure  PB";"Gewinde  Thread  D";"Ca. Maﬂe mm  Approx. Dimensions mm  B";"Ca. Maﬂe mm  Approx. Dimensions mm  H ";"Ca. Maﬂe mm  Approx. Dimensions mm  H1";"Ca. Maﬂe mm  Approx. Dimensions mm  H2";"Ca. Maﬂe mm  Approx. Dimensions mm  H4";"Ca. Maﬂe mm  Approx. Dimensions mm  i";"Ca. Maﬂe mm  Approx. Dimensions mm  L";"Ca. Maﬂe mm  Approx. Dimensions mm  L1";"Ca. Maﬂe mm  Approx. Dimensions mm  L10";"Ca. Maﬂe mm  Approx. Dimensions mm  M";"    SW";"    SW*";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"4 ";"5,0 ";"400 ";"1/8''-27 NPT ";"40 ";"46,5 ";"35 ";"8,0 ";"16,0 ";"12 ";"69 ";"35 ";"26,0 ";"M 5 ";"22 ";"9 ";"BK3-1/8''-NPT-4423-LA ";"";"";"10161 "
"6 ";"6,0 ";"400 ";"1/4''-18 NPT ";"40 ";"46,5 ";"35 ";"8,0 ";"16,0 ";"17 ";"69 ";"35 ";"26,0 ";"M 5 ";"22 ";"9 ";"BK3-1/4''-NPT-4423-LA ";"";"";"10162 "
"10 ";"9,0 ";"400 ";"3/8''-18 NPT ";"45 ";"51,5 ";"40 ";"8,0 ";"18,0 ";"17 ";"73 ";"42 ";"28,0 ";"M 5 ";"27 ";"9 ";"BK3-3/8''-NPT-4423-LA ";"";"";"10163 "
"13 ";"11,5 ";"400 ";"1/2''-14 NPT ";"50 ";"56,0 ";"40 ";"8,0 ";"17,0 ";"22 ";"92 ";"47 ";"32,0 ";"M 5 ";"30 ";"9 ";"BK3-1/2''-NPT-4423-LA ";"";"";"10164 "
"20 ";"18,0 ";"320 ";"3/4''-14 NPT ";"65 ";"73,5 ";"57 ";"12,0 ";"24,5 ";"23 ";"97 ";"61 ";"40,5 ";"M 6 ";"41 ";"14 ";"BK3-3/4''-NPT-4423-LA ";"";"";"10165 "
"25 ";"22,0 ";"350 ";"1''-11,5 NPT ";"80 ";"81,5 ";"65 ";"12,0 ";"30,0 ";"27 ";"113 ";"63 ";"51,0 ";"M 6 ";"46 ";"14 ";"BK3-1''-NPT-4423-LA ";"";"";"10166 "
"32 ";"30,0 ";"350 ";"1 1/4''-11,5 NPT ";"100 ";"99,0 ";"80 ";"13,5 ";"38,0 ";"28 ";"115 ";"78 ";"62,0 ";"M 8 ";"60 ";"17 ";"BK3-1 1/4''-NPT-4423-LA ";"";"";"10167 "
"40 ";"35,0 ";"250 ";"1 1/2''-11,5 NPT ";"105 ";"109,0 ";"90 ";"13,5 ";"42,0 ";"28 ";"138 ";"85 ";"65,0 ";"M 8 ";"70 ";"17 ";"BK3-1 1/2''-NPT-4423-LA ";"";"";"10168 "
"50 ";"44,0 ";"250 ";"2''-11,5 NPT ";"120 ";"139,0 ";"120 ";"13,5 ";"62,0 ";"30 ";"140 ";"100 ";"72,0 ";"M 8 ";"85 ";"17 ";"BK3-2''-NPT-4423-LA ";"";"";"10169 "
