"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  mm";"Rohr A.D.  Tube O.D.  in.";"Gewinde  Thread  G1 = UNF/UN";"Gewinde  Thread  G = BSP";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  D1";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"210 ";"28, 30, 32 ";"1 1/4'' ";"1 5/8''-12 ";"3/4''-14 ";"56,7 ";"16 ";"24,3 ";"17,0 ";"26,5 ";"46 ";"1052510-20-12 ";"41,25 ";"";"2503 "
"210 ";"28, 30, 32 ";"1 1/4'' ";"1 5/8''-12 ";"1''-11 ";"55,0 ";"18 ";"24,3 ";"23,0 ";"26,5 ";"46 ";"1052510-20-16 ";"41,25 ";"";"2504 "
"210 ";"28, 30, 32 ";"1 1/4'' ";"1 5/8''-12 ";"1 1/4''-11 ";"59,0 ";"20 ";"24,3 ";"29,0 ";"26,5 ";"50 ";"1052510-20-20 ";"41,25 ";"";"2505 "
"210 ";"28, 30, 32 ";"1 1/4'' ";"1 5/8''-12 ";"1 1/2''-11 ";"61,0 ";"22 ";"24,3 ";"33,5 ";"26,5 ";"55 ";"1052510-20-24 ";"62,5 ";"";"2506 "
"150 ";"28, 30, 32 ";"1 1/4'' ";"1 5/8''-12 ";"2''-11 ";"64,3 ";"25 ";"24,3 ";"46,0 ";"26,5 ";"70 ";"1052510-20-32 ";"148 ";"";"2507 "
"210 ";"35, 38 ";"1 1/2'' ";"1 7/8''-12 ";"1''-11 ";"60,0 ";"18 ";"27,5 ";"22,5 ";"32,0 ";"50 ";"1052510-24-16 ";"52,5 ";"";"2508 "
"210 ";"35, 38 ";"1 1/2'' ";"1 7/8''-12 ";"1 1/4''-11 ";"62,0 ";"20 ";"27,5 ";"29,0 ";"32,0 ";"50 ";"1052510-24-20 ";"52,5 ";"";"2509 "
"210 ";"35, 38 ";"1 1/2'' ";"1 7/8''-12 ";"1 1/2''-11 ";"64,0 ";"22 ";"27,5 ";"33,5 ";"32,0 ";"55 ";"1052510-24-24 ";"50 ";"";"2510 "
"150 ";"35, 38 ";"1 1/2'' ";"1 7/8''-12 ";"2''-11 ";"67,5 ";"23 ";"27,5 ";"46,0 ";"32,0 ";"70 ";"1052510-24-32 ";"129 ";"";"2511 "
"150 ";"50 ";"2'' ";"2 1/2''-12 ";"2''-11 ";"76,0 ";"23 ";"33,9 ";"45,0 ";"45,0 ";"70 ";"1052510-32-32 ";"115 ";"";"2512 "
