"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Rohr A.D.  Tube O.D.  D";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"O-Ring  O-ring  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"05 ";"3/16'' ";"M 14 x 1,5 ";"6 ";"19,5 ";"3,0 ";"17 ";"4 x 1,5 ";"DKOS-06-DN 05 ";"12,2 ";"";"110 "
"06 ";"1/4'' ";"M 14 x 1,5 ";"6 ";"21,0 ";"4,0 ";"17 ";"5 x 1,0 ";"DKOS-06-DN 06 ";"12,05 ";"";"112 "
"05 ";"3/16'' ";"M 16 x 1,5 ";"8 ";"23,5 ";"3,0 ";"19 ";"6 x 1,5 ";"DKOS-08-DN 05 ";"12,5 ";"";"111 "
"06 ";"1/4'' ";"M 16 x 1,5 ";"8 ";"25,0 ";"4,0 ";"19 ";"6 x 1,5 ";"DKOS-08-DN 06 ";"11,7 ";"";"113 "
"08 ";"5/16'' ";"M 16 x 1,5 ";"8 ";"22,0 ";"5,5 ";"19 ";"6 x 1,5 ";"DKOS-08-DN 08 ";"14,9 ";"";"114 "
"10 ";"3/8'' ";"M 16 x 1,5 ";"8 ";"30,0 ";"4,5 ";"19 ";"6 x 1,5 ";"DKOS-08-DN 10 ";"14,9 ";"";"115 "
"06 ";"1/4'' ";"M 18 x 1,5 ";"10 ";"27,0 ";"4,0 ";"22 ";"8 x 1,5 ";"DKOS-10-DN 06 ";"11 ";"";"116 "
"08 ";"5/16'' ";"M 18 x 1,5 ";"10 ";"26,0 ";"5,5 ";"22 ";"8 x 1,5 ";"DKOS-10-DN 08 ";"12,5 ";"";"117 "
"10 ";"3/8'' ";"M 18 x 1,5 ";"10 ";"26,0 ";"7,0 ";"22 ";"8 x 1,5 ";"DKOS-10-DN 10 ";"12,5 ";"";"118 "
"06 ";"1/4'' ";"M 20 x 1,5 ";"12 ";"28,0 ";"4,0 ";"24 ";"9,25 x 1,78 ";"DKOS-12-DN 06 ";"14,9 ";"";"119 "
"08 ";"5/16'' ";"M 20 x 1,5 ";"12 ";"28,0 ";"5,5 ";"24 ";"9,25 x 1,78 ";"DKOS-12-DN 08 ";"11,5 ";"";"120 "
"10 ";"3/8'' ";"M 20 x 1,5 ";"12 ";"26,0 ";"7,0 ";"24 ";"10 x 1,5 ";"DKOS-12-DN 10 ";"11 ";"";"121 "
"12 ";"1/2'' ";"M 20 x 1,5 ";"12 ";"26,0 ";"8,0 ";"24 ";"10 x 1,5 ";"DKOS-12-DN 12 ";"14,9 ";"";"122 "
"08 ";"5/16'' ";"M 22 x 1,5 ";"14 ";"20,5 ";"5,5 ";"27 ";"12 x 2,0 ";"DKOS-14-DN 08 ";"14,9 ";"";"123 "
"10 ";"3/8'' ";"M 22 x 1,5 ";"14 ";"27,0 ";"7,0 ";"27 ";"12 x 2,0 ";"DKOS-14-DN 10 ";"12,5 ";"";"124 "
"12 ";"1/2'' ";"M 22 x 1,5 ";"14 ";"24,0 ";"9,5 ";"27 ";"12 x 2,0 ";"DKOS-14-DN 12 ";"42 ";"";"11123 "
"06 ";"1/4'' ";"M 24 x 1,5 ";"16 ";"31,5 ";"4,0 ";"30 ";"13 x 2,0 ";"DKOS-16-DN 06 ";"15,9 ";"";"125 "
"08 ";"5/16'' ";"M 24 x 1,5 ";"16 ";"31,5 ";"5,5 ";"30 ";"13 x 2,0 ";"DKOS-16-DN 08 ";"14,95 ";"";"126 "
"10 ";"3/8'' ";"M 24 x 1,5 ";"16 ";"31,5 ";"7,0 ";"30 ";"13 x 2,0 ";"DKOS-16-DN 10 ";"14,5 ";"";"127 "
