"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"G 1/8'' ";"8,5 ";"23,5 ";"8 ";"14 ";"GE-LR-06-G 1/8''-OMD ";"3,57 ";"L ";"3596 "
"315 ";"6 ";"G 1/4'' ";"9,0 ";"28,0 ";"12 ";"19 ";"GE-LR-06-G 1/4''-OMD ";"7,81 ";"L ";"3597 "
"315 ";"6 ";"G 3/8'' ";"11,5 ";"30,5 ";"12 ";"22 ";"GE-LR-06-G 3/8''-OMD ";"12,26 ";"L ";"3598 "
"315 ";"6 ";"G 1/2'' ";"12,0 ";"33,0 ";"14 ";"27 ";"GE-LR-06-G 1/2''-OMD ";"13,54 ";"L ";"3599 "
"315 ";"8 ";"G 1/8'' ";"9,5 ";"24,5 ";"8 ";"14 ";"GE-LR-08-G 1/8''-OMD ";"5,53 ";"L ";"3600 "
"315 ";"8 ";"G 1/4'' ";"10,0 ";"29,0 ";"12 ";"19 ";"GE-LR-08-G 1/4''-OMD ";"4,66 ";"L ";"3601 "
"315 ";"8 ";"G 3/8'' ";"11,5 ";"30,5 ";"12 ";"22 ";"GE-LR-08-G 3/8''-OMD ";"8,58 ";"L ";"3602 "
"315 ";"8 ";"G 1/2'' ";"13,0 ";"34,0 ";"14 ";"27 ";"GE-LR-08-G 1/2''-OMD ";"11,77 ";"L ";"3603 "
"315 ";"10 ";"G 1/8'' ";"11,0 ";"26,0 ";"8 ";"17 ";"GE-LR-10-G 1/8''-OMD ";"5,64 ";"L ";"3604 "
"315 ";"10 ";"G 1/4'' ";"11,0 ";"30,0 ";"12 ";"19 ";"GE-LR-10-G 1/4''-OMD ";"5,03 ";"L ";"3605 "
"315 ";"10 ";"G 3/8'' ";"12,5 ";"31,5 ";"12 ";"22 ";"GE-LR-10-G 3/8''-OMD ";"9,4 ";"L ";"3606 "
"315 ";"10 ";"G 1/2'' ";"13,5 ";"34,0 ";"14 ";"27 ";"GE-LR-10-G 1/2''-OMD ";"12,49 ";"L ";"3607 "
"315 ";"10 ";"G 3/4'' ";"14,0 ";"37,0 ";"16 ";"32 ";"GE-LR-10-G 3/4''-OMD ";"16,33 ";"L ";"3608 "
"315 ";"12 ";"G 1/8'' ";"11,0 ";"26,0 ";"8 ";"19 ";"GE-LR-12-G 1/8''-OMD ";"8,76 ";"L ";"3609 "
"315 ";"12 ";"G 1/4'' ";"12,0 ";"31,0 ";"12 ";"19 ";"GE-LR-12-G 1/4''-OMD ";"9,1 ";"L ";"3610 "
"315 ";"12 ";"G 3/8'' ";"12,5 ";"31,5 ";"12 ";"22 ";"GE-LR-12-G 3/8''-OMD ";"6,31 ";"L ";"3611 "
