"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  B";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"06 ";"1/4'' ";"7/16''-20 ";"22,5 ";"7,5 ";"4,0 ";"17 ";"12 ";"DKJ-7/16''-DN 06-HEX ";"10,6 ";"";"633 "
"10 ";"3/8'' ";"9/16''-18 ";"23,5 ";"9,5 ";"7,0 ";"19 ";"17 ";"DKJ-9/16''-DN 10-HEX ";"11,5 ";"";"634 "
"12 ";"1/2'' ";"3/4''-16 ";"26,0 ";"10,5 ";"9,5 ";"24 ";"19 ";"DKJ-3/4''-DN 12-HEX ";"13,8 ";"";"635 "
"16 ";"5/8'' ";"1 1/16''-12 ";"31,0 ";"15,0 ";"12,5 ";"32 ";"27 ";"DKJ-1 1/16''-DN 16-HEX ";"20,9 ";"";"636 "
"19 ";"3/4'' ";"1 1/16''-12 ";"34,0 ";"15,0 ";"14,5 ";"32 ";"27 ";"DKJ-1 1/16''-DN 19-HEX ";"20,9 ";"";"637 "
"25 ";"1'' ";"1 5/16''-12 ";"38,0 ";"14,0 ";"20,0 ";"41 ";"32 ";"DKJ-1 5/16''-DN 25-HEX ";"33 ";"";"638 "
"31 ";"1 1/4'' ";"1 5/8''-12 ";"36,0 ";"15,5 ";"25,5 ";"50 ";"41 ";"DKJ-1 5/8''-DN 31-HEX ";"69,5 ";"";"639 "
"38 ";"1 1/2'' ";"1 7/8''-12 ";"42,0 ";"18,5 ";"31,5 ";"55 ";"46 ";"DKJ-1 7/8''-DN 38-HEX ";"107 ";"";"640 "
"51 ";"2'' ";"2 1/2''-12 ";"52,0 ";"25,0 ";"43,0 ";"70 ";"65 ";"DKJ-2 1/2''-DN 51-HEX ";"242 ";"";"641 "
