"Druck  Pressure  (1)  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"630 ";"6 ";"R 1/8'' keg ";"29,5 ";"15,0 ";"25 ";"8 ";"12 ";"17 ";"WE-S-06-R 1/8''-k-SC ";"16,92 ";"S ";"5116 "
"630 ";"6 ";"R 1/4'' keg ";"31,0 ";"16,5 ";"26 ";"12 ";"12 ";"17 ";"WE-S-06-R 1/4''-k-SC ";"15,01 ";"S ";"5117 "
"630 ";"6 ";"R 3/8'' keg ";"32,0 ";"17,5 ";"27 ";"12 ";"14 ";"17 ";"WE-S-06-R 3/8''-k-SC ";"18,57 ";"S ";"5118 "
"630 ";"6 ";"R 1/2'' keg ";"34,0 ";"19,0 ";"33 ";"14 ";"17 ";"17 ";"WE-S-06-R 1/2''-k-SC ";"27,03 ";"S ";"5119 "
"630 ";"8 ";"R 1/8'' keg ";"32,0 ";"17,0 ";"";"8 ";"14 ";"19 ";"WE-S-08-R 1/8''-k-SC ";"";"S ";"5120 "
"630 ";"8 ";"R 1/4'' keg ";"32,0 ";"17,0 ";"27 ";"12 ";"14 ";"19 ";"WE-S-08-R 1/4''-k-SC ";"18,18 ";"S ";"5121 "
"630 ";"8 ";"R 3/8'' keg ";"33,0 ";"18,0 ";"28 ";"12 ";"14 ";"19 ";"WE-S-08-R 3/8''-k-SC ";"18,28 ";"S ";"5122 "
"630 ";"8 ";"R 1/2'' keg ";"38,0 ";"23,0 ";"33 ";"14 ";"17 ";"19 ";"WE-S-08-R 1/2''-k-SC ";"25,49 ";"S ";"5123 "
"630 ";"10 ";"R 1/8'' keg ";"34,0 ";"17,5 ";"28 ";"8 ";"17 ";"22 ";"WE-S-10-R 1/8''-k-SC ";"";"S ";"5124 "
"630 ";"10 ";"R 1/4'' keg ";"34,0 ";"17,5 ";"28 ";"12 ";"17 ";"22 ";"WE-S-10-R 1/4''-k-SC ";"19,02 ";"S ";"5125 "
"630 ";"10 ";"R 3/8'' keg ";"34,0 ";"17,5 ";"28 ";"12 ";"17 ";"22 ";"WE-S-10-R 3/8''-k-SC ";"17,59 ";"S ";"5126 "
"630 ";"10 ";"R 1/2'' keg ";"39,0 ";"22,5 ";"32 ";"14 ";"17 ";"22 ";"WE-S-10-R 1/2''-k-SC ";"25,87 ";"S ";"5127 "
"630 ";"12 ";"R 1/4'' keg ";"38,0 ";"21,5 ";"27 ";"12 ";"17 ";"24 ";"WE-S-12-R 1/4''-k-SC ";"26,97 ";"S ";"5128 "
"630 ";"12 ";"R 3/8'' keg ";"38,0 ";"21,5 ";"28 ";"12 ";"17 ";"24 ";"WE-S-12-R 3/8''-k-SC ";"21,29 ";"S ";"5129 "
"630 ";"12 ";"R 1/2'' keg ";"39,0 ";"22,5 ";"32 ";"14 ";"17 ";"24 ";"WE-S-12-R 1/2''-k-SC ";"26,4 ";"S ";"5130 "
"630 ";"14 ";"R 3/8'' keg ";"40,0 ";"22,0 ";"30 ";"12 ";"19 ";"27 ";"WE-S-14-R 3/8''-k-SC ";"29,27 ";"S ";"5131 "
"630 ";"14 ";"R 1/2'' keg ";"40,0 ";"22,0 ";"32 ";"14 ";"19 ";"27 ";"WE-S-14-R 1/2''-k-SC ";"29,63 ";"S ";"5132 "
"400 ";"16 ";"R 3/8'' keg ";"43,0 ";"24,5 ";"32 ";"12 ";"24 ";"30 ";"WE-S-16-R 3/8''-k-SC ";"42,91 ";"S ";"5133 "
"400 ";"16 ";"R 1/2'' keg ";"43,0 ";"24,5 ";"32 ";"14 ";"24 ";"30 ";"WE-S-16-R 1/2''-k-SC ";"42,29 ";"S ";"5134 "
"160 ";"16 ";"R 3/4'' keg ";"43,0 ";"24,5 ";"41 ";"16 ";"24 ";"30 ";"WE-S-16-R 3/4''-k-SC ";"52,29 ";"S ";"5135 "
"400 ";"20 ";"R 1/2'' keg ";"48,0 ";"26,5 ";"42 ";"19 ";"27 ";"36 ";"WE-S-20-R 1/2''-k-SC ";"55,41 ";"S ";"5136 "
"400 ";"20 ";"R 3/4'' keg ";"48,0 ";"26,5 ";"42 ";"16 ";"27 ";"36 ";"WE-S-20-R 3/4''-k-SC ";"55,41 ";"S ";"5137 "
