"Schlauch  Hose  DN";"DN  Bore  in.";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  L";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"06 ";"1/4'' ";"22,0 ";"34,5 ";"P3Sp4-DN 06 ";"7,5 ";"";"40 "
"06 ";"1/4'' ";"22,0 ";"34,5 ";"P3-DN 06 ";"6,5 ";"";"41 "
"08 ";"5/16'' ";"24,0 ";"34,5 ";"P3-DN 08 ";"6,55 ";"";"42 "
"10 ";"3/8'' ";"26,0 ";"35,0 ";"P3-DN 10 ";"6,65 ";"";"43 "
"12 ";"1/2'' ";"30,0 ";"37,0 ";"P3-DN 12 ";"7,25 ";"";"44 "
"16 ";"5/8'' ";"33,0 ";"40,0 ";"P3-DN 16 ";"9,55 ";"";"45 "
"19 ";"3/4'' ";"38,0 ";"45,0 ";"P3-DN 19 ";"13,35 ";"";"46 "
"25 ";"1'' ";"46,0 ";"50,0 ";"P3-DN 25 ";"17,95 ";"";"47 "
"31 ";"1 1/4'' ";"58,0 ";"70,0 ";"P3-DN 31 ";"30,65 ";"";"48 "
"38 ";"1 1/2'' ";"64,0 ";"70,0 ";"P3-DN 38 ";"39,8 ";"";"49 "
"51 ";"2'' ";"76,0 ";"80,0 ";"P3-DN 51 ";"53,6 ";"";"50 "
"51 ";"2'' ";"76,0 ";"80,0 ";"P3Sp4-DN 51 ";"54 ";"";"51 "
