"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  D2";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Ca. Maﬂe  Approx. Dimensions  SW4";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"800 ";"8 ";"6 ";"M 16 x 1,5 ";"42 ";"27,0 ";"14 ";"19 ";"17 ";"RED-DKOS-08/06-SC ";"23,45 ";"S ";"9270 "
"800 ";"10 ";"6 ";"M 18 x 1,5 ";"42 ";"27,5 ";"17 ";"22 ";"17 ";"RED-DKOS-10/06-SC ";"24,06 ";"S ";"9271 "
"800 ";"10 ";"8 ";"M 18 x 1,5 ";"42 ";"27,5 ";"17 ";"22 ";"19 ";"RED-DKOS-10/08-SC ";"24,47 ";"S ";"9272 "
"630 ";"12 ";"6 ";"M 20 x 1,5 ";"44 ";"29,0 ";"17 ";"24 ";"17 ";"RED-DKOS-12/06-SC ";"25,75 ";"S ";"9273 "
"630 ";"12 ";"8 ";"M 20 x 1,5 ";"44 ";"29,0 ";"17 ";"24 ";"19 ";"RED-DKOS-12/08-SC ";"27,03 ";"S ";"9274 "
"630 ";"12 ";"10 ";"M 20 x 1,5 ";"46 ";"29,5 ";"19 ";"24 ";"22 ";"RED-DKOS-12/10-SC ";"28,68 ";"S ";"9275 "
"630 ";"14 ";"6 ";"M 22 x 1,5 ";"46 ";"31,5 ";"19 ";"27 ";"17 ";"RED-DKOS-14/06-SC ";"27,18 ";"S ";"9276 "
"630 ";"14 ";"8 ";"M 22 x 1,5 ";"46 ";"31,5 ";"19 ";"27 ";"19 ";"RED-DKOS-14/08-SC ";"28,46 ";"S ";"9277 "
"630 ";"14 ";"10 ";"M 22 x 1,5 ";"47 ";"31,0 ";"19 ";"27 ";"22 ";"RED-DKOS-14/10-SC ";"28,68 ";"S ";"9278 "
"630 ";"14 ";"12 ";"M 22 x 1,5 ";"47 ";"31,0 ";"22 ";"27 ";"24 ";"RED-DKOS-14/12-SC ";"34,53 ";"S ";"9279 "
"630 ";"16 ";"6 ";"M 24 x 1,5 ";"47 ";"32,0 ";"22 ";"30 ";"17 ";"RED-DKOS-16/06-SC ";"34,19 ";"S ";"9280 "
"630 ";"16 ";"8 ";"M 24 x 1,5 ";"47 ";"32,0 ";"22 ";"30 ";"19 ";"RED-DKOS-16/08-SC ";"34,75 ";"S ";"9281 "
"630 ";"16 ";"10 ";"M 24 x 1,5 ";"48 ";"31,5 ";"22 ";"30 ";"22 ";"RED-DKOS-16/10-SC ";"36,35 ";"S ";"9282 "
"630 ";"16 ";"12 ";"M 24 x 1,5 ";"48 ";"31,5 ";"22 ";"30 ";"24 ";"RED-DKOS-16/12-SC ";"36,63 ";"S ";"9283 "
"630 ";"16 ";"14 ";"M 24 x 1,5 ";"51 ";"33,0 ";"22 ";"30 ";"27 ";"RED-DKOS-16/14-SC ";"38,37 ";"S ";"9284 "
"420 ";"20 ";"6 ";"M 30 x 2 ";"51 ";"36,0 ";"27 ";"36 ";"17 ";"RED-DKOS-20/06-SC ";"37,71 ";"S ";"9285 "
"420 ";"20 ";"8 ";"M 30 x 2 ";"51 ";"36,0 ";"27 ";"36 ";"19 ";"RED-DKOS-20/08-SC ";"38,84 ";"S ";"9286 "
"420 ";"20 ";"10 ";"M 30 x 2 ";"52 ";"35,5 ";"27 ";"36 ";"22 ";"RED-DKOS-20/10-SC ";"42,59 ";"S ";"9287 "
"420 ";"20 ";"12 ";"M 30 x 2 ";"52 ";"35,5 ";"27 ";"36 ";"24 ";"RED-DKOS-20/12-SC ";"43,64 ";"S ";"9288 "
