"Druck  Pressure  PN";"Auﬂengewinde  Male Thread  G";"Innengewinde  Female Thread  G1";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  SW";"Form  Form  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"630 ";"G 3/8'' ";"G 1/8'' ";"22,5 ";"12,0 ";"8,0 ";"22 ";"A ";"GRI-3/8''-wd x 1/8'' ";"13,55 ";"";"8107 "
"630 ";"G 1/2'' ";"G 1/4'' ";"24,0 ";"14,0 ";"12,0 ";"27 ";"A ";"GRI-1/2''-wd x 1/4'' ";"17,41 ";"";"8108 "
"630 ";"G 1/2'' ";"G 1/8'' ";"24,0 ";"14,0 ";"8,0 ";"27 ";"A ";"GRI-1/2''-wd x 1/8'' ";"16,92 ";"";"8109 "
"400 ";"G 3/4'' ";"G 3/8'' ";"26,0 ";"16,0 ";"13,0 ";"32 ";"A ";"GRI-3/4''-wd x 3/8'' ";"26,08 ";"";"8110 "
"400 ";"G 3/4'' ";"G 1/4'' ";"26,0 ";"16,0 ";"12,0 ";"32 ";"A ";"GRI-3/4''-wd x 1/4'' ";"26,08 ";"";"8111 "
"400 ";"G 3/4'' ";"G 1/8'' ";"26,0 ";"16,0 ";"8,0 ";"32 ";"A ";"GRI-3/4''-wd x 1/8'' ";"27,15 ";"";"8112 "
"400 ";"G 1'' ";"G 1/2'' ";"29,0 ";"18,0 ";"14,0 ";"41 ";"A ";"GRI-1''-wd x 1/2'' ";"32,03 ";"";"8113 "
"400 ";"G 1'' ";"G 3/8'' ";"29,0 ";"18,0 ";"12,0 ";"41 ";"A ";"GRI-1''-wd x 3/8'' ";"30,09 ";"";"8114 "
"400 ";"G 1'' ";"G 1/4'' ";"29,0 ";"18,0 ";"12,0 ";"41 ";"A ";"GRI-1''-wd x 1/4'' ";"29,63 ";"";"8115 "
"400 ";"G 1 1/4'' ";"G 3/4'' ";"32,0 ";"20,0 ";"16,0 ";"50 ";"A ";"GRI-1 1/4''-wd x 3/4'' ";"58,03 ";"";"8116 "
"400 ";"G 1 1/4'' ";"G 1/2'' ";"32,0 ";"20,0 ";"14,0 ";"60 ";"A ";"GRI-1 1/4''-wd x 1/2'' ";"57,46 ";"";"8117 "
"400 ";"G 1 1/4'' ";"G 3/8'' ";"32,0 ";"20,0 ";"17,0 ";"50 ";"A ";"GRI-1 1/4''-wd x 3/8'' ";"58,7 ";"";"8118 "
"315 ";"G 1 1/2'' ";"G 1'' ";"36,0 ";"22,0 ";"18,0 ";"55 ";"A ";"GRI-1 1/2''-wd x 1'' ";"65,45 ";"";"8119 "
"315 ";"G 1 1/2'' ";"G 3/4'' ";"36,0 ";"22,0 ";"16,0 ";"55 ";"A ";"GRI-1 1/2''-wd x 3/4'' ";"61,36 ";"";"8120 "
"315 ";"G 1 1/2'' ";"G 1/2'' ";"36,0 ";"22,0 ";"14,0 ";"55 ";"A ";"GRI-1 1/2''-wd x 1/2'' ";"61,36 ";"";"8121 "
"250 ";"G 2'' ";"G 1 1/2'' ";"42,0 ";"22,5 ";"18,5 ";"70 ";"A ";"GRI-2''-wd x 1 1/2'' ";"159 ";"";"8122 "
"250 ";"G 2'' ";"G 1 1/4'' ";"42,0 ";"22,5 ";"18,5 ";"70 ";"A ";"GRI-2''-wd x 1 1/4'' ";"159 ";"";"8123 "
"250 ";"G 2'' ";"G 1'' ";"42,0 ";"22,5 ";"18,5 ";"70 ";"A ";"GRI-2''-wd x 1'' ";"159 ";"";"8124 "
"250 ";"G 2'' ";"G 3/4'' ";"42,0 ";"22,5 ";"16,0 ";"70 ";"A ";"GRI-2''-wd x 3/4'' ";"159 ";"";"8125 "
"250 ";"G 2'' ";"G 1/2'' ";"41,5 ";"22,5 ";"16,0 ";"70 ";"A ";"GRI-2''-wd x 1/2'' ";"159 ";"";"8126 "
