"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Rohr A.D.  Tube O.D.  D";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  B";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"O-Ring  O-ring  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"19 ";"3/4'' ";"M 30 x 2 ";"22 ";"78,5 ";"80 ";"14,5 ";"36 ";"20,0 x 2,0 ";"I-DKOL-22-90∞-DN 19 ";"81,3 ";"";"1162 "
"25 ";"1'' ";"M 36 x 2 ";"28 ";"87,0 ";"92 ";"20,0 ";"41 ";"25,0 x 2,0 ";"I-DKOL-28-90∞-DN 25 ";"94,9 ";"";"1163 "
"31 ";"1 1/4'' ";"M 45 x 2 ";"35 ";"103,0 ";"98 ";"25,0 ";"50 ";"32,0 x 2,5 ";"I-DKOL-35-90∞-DN 31 ";"145 ";"";"1164 "
"38 ";"1 1/2'' ";"M 52 x 2 ";"42 ";"124,0 ";"117 ";"31,0 ";"60 ";"38,0 x 2,5 ";"I-DKOL-42-90∞-DN 38 ";"199,9 ";"";"1165 "
