"Druck  Pressure  PN";"Gewinde  Thread  G1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"400 ";"1/8''-28 ";"1/8''-28 ";"21 ";"4,0 ";"14 ";"3050511-02-02 ";"15,45 ";"";"1667 "
"400 ";"1/4''-19 ";"1/4''-19 ";"26 ";"5,0 ";"19 ";"3050511-04-04 ";"13,95 ";"";"1668 "
"400 ";"3/8''-19 ";"3/8''-19 ";"30 ";"8,0 ";"22 ";"3050511-06-06 ";"16,15 ";"";"1669 "
"400 ";"1/2''-14 ";"1/2''-14 ";"29 ";"11,0 ";"27 ";"3050511-08-08 ";"17,15 ";"";"1670 "
"400 ";"3/4''-14 ";"3/4''-14 ";"34 ";"16,5 ";"32 ";"3050511-12-12 ";"24,85 ";"";"1671 "
"400 ";"1''-11 ";"1''-11 ";"36 ";"22,0 ";"41 ";"3050511-16-16 ";"40,85 ";"";"1672 "
"200 ";"1 1/4''-11 ";"1 1/4''-11 ";"38 ";"28,0 ";"50 ";"3050511-20-20 ";"78,75 ";"";"1673 "
"200 ";"1 1/2''-11 ";"1 1/2''-11 ";"51 ";"34,0 ";"55 ";"3050511-24-24 ";"113,6 ";"";"1674 "
"100 ";"2''-11 ";"2''-11 ";"66 ";"42,0 ";"70 ";"3050511-32-32 ";"189,5 ";"";"1675 "
