"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"R 1/8'' keg ";"27 ";"12,0 ";"20 ";"8 ";"12 ";"14 ";"LE-L-06-R 1/8''-k ";"24,29 ";"L ";"5687 "
"315 ";"6 ";"R 1/4'' keg ";"27 ";"12,0 ";"26 ";"12 ";"12 ";"14 ";"LE-L-06-R 1/4''-k ";"28,12 ";"L ";"5688 "
"315 ";"8 ";"R 1/4'' keg ";"29 ";"14,0 ";"26 ";"12 ";"12 ";"17 ";"LE-L-08-R 1/4''-k ";"28,33 ";"L ";"5689 "
"315 ";"8 ";"R 3/8'' keg ";"32 ";"15,0 ";"28 ";"12 ";"14 ";"17 ";"LE-L-08-R 3/8''-k ";"35,95 ";"L ";"5690 "
"315 ";"10 ";"R 1/8'' keg ";"";"";"";"8 ";"14 ";"19 ";"LE-L-10-R 1/8''-k ";"";"L ";"5691 "
"315 ";"10 ";"R 1/4'' keg ";"30 ";"15,0 ";"27 ";"12 ";"14 ";"19 ";"LE-L-10-R 1/4''-k ";"31,06 ";"L ";"5692 "
"315 ";"10 ";"R 3/8'' keg ";"30 ";"15,0 ";"28 ";"12 ";"14 ";"19 ";"LE-L-10-R 3/8''-k ";"34,51 ";"L ";"5693 "
"315 ";"10 ";"R 1/2'' keg ";"";"";"";"14 ";"17 ";"19 ";"LE-L-10-R 1/2''-k ";"";"L ";"5694 "
"315 ";"12 ";"R 1/4'' keg ";"32 ";"17,5 ";"28 ";"12 ";"17 ";"22 ";"LE-L-12-R 1/4''-k ";"34,79 ";"L ";"5695 "
"315 ";"12 ";"R 3/8'' keg ";"32 ";"17,5 ";"28 ";"12 ";"17 ";"22 ";"LE-L-12-R 3/8''-k ";"34,79 ";"L ";"5696 "
"315 ";"12 ";"R 1/2'' keg ";"";"";"";"14 ";"17 ";"22 ";"LE-L-12-R 1/2''-k ";"38,25 ";"L ";"5697 "
"315 ";"15 ";"R 3/8'' keg ";"36 ";"21,0 ";"32 ";"12 ";"19 ";"27 ";"LE-L-15-R 3/8''-k ";"";"L ";"5698 "
"315 ";"15 ";"R 1/2'' keg ";"36 ";"21,0 ";"34 ";"14 ";"19 ";"27 ";"LE-L-15-R 1/2''-k ";"47,53 ";"L ";"5699 "
"315 ";"18 ";"R 1/2'' keg ";"40 ";"23,5 ";"36 ";"14 ";"24 ";"32 ";"LE-L-18-R 1/2''-k ";"69,03 ";"L ";"5700 "
"100 ";"4 ";"R 1/8'' keg ";"21 ";"11,0 ";"17 ";"8 ";"9 ";"10 ";"LE-LL-04-R 1/8''-k ";"28,45 ";"LL ";"5684 "
"100 ";"6 ";"R 1/8'' keg ";"21 ";"9,5 ";"17 ";"8 ";"9 ";"12 ";"LE-LL-06-R 1/8''-k ";"29,25 ";"LL ";"5685 "
"100 ";"8 ";"R 1/8'' keg ";"23 ";"11,5 ";"20 ";"8 ";"12 ";"14 ";"LE-LL-08-R 1/8''-k ";"32,2 ";"LL ";"5686 "
"630 ** ";"6 ";"R 1/4'' keg ";"31 ";"16,5 ";"26 ";"12 ";"12 ";"17 ";"LE-S-06-R 1/4''-k ";"28,63 ";"S ";"5701 "
"630 ** ";"8 ";"R 1/4'' keg ";"32 ";"17,0 ";"27 ";"12 ";"14 ";"19 ";"LE-S-08-R 1/4''-k ";"31,19 ";"S ";"5702 "
"630 ** ";"10 ";"R 3/8'' keg ";"34 ";"17,5 ";"28 ";"12 ";"17 ";"22 ";"LE-S-10-R 3/8''-k ";"35,05 ";"S ";"5703 "
"630 ** ";"12 ";"R 3/8'' keg ";"38 ";"21,5 ";"28 ";"12 ";"17 ";"24 ";"LE-S-12-R 3/8''-k ";"44,43 ";"S ";"5704 "
"630 ** ";"12 ";"R 1/2'' keg ";"38 ";"21,5 ";"33 ";"14 ";"19 ";"24 ";"LE-S-12-R 1/2''-k ";"58,8 ";"S ";"5705 "
"630 ** ";"14 ";"R 1/2'' keg ";"40 ";"22,0 ";"32 ";"14 ";"19 ";"27 ";"LE-S-14-R 1/2''-k ";"49,93 ";"S ";"5706 "
"400 ** ";"16 ";"R 1/2'' keg ";"43 ";"24,5 ";"32 ";"14 ";"24 ";"30 ";"LE-S-16-R 1/2''-k ";"69,03 ";"S ";"5707 "
