"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  D2";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"8 ";"6 ";"M 14 x 1,5 ";"23,5 ";"30,5 ";"12 ";"17 ";"RED-DKOL-08/06-OMD ";"13,8 ";"L ";"9180 "
"500 ";"10 ";"6 ";"M 16 x 1,5 ";"25,0 ";"38,0 ";"14 ";"19 ";"RED-DKOL-10/06-OMD ";"14,41 ";"L ";"9181 "
"500 ";"10 ";"8 ";"M 16 x 1,5 ";"25,0 ";"32,0 ";"14 ";"19 ";"RED-DKOL-10/08-OMD ";"14,94 ";"L ";"9182 "
"400 ";"12 ";"6 ";"M 18 x 1,5 ";"25,0 ";"32,0 ";"17 ";"22 ";"RED-DKOL-12/06-OMD ";"19,68 ";"L ";"9183 "
"400 ";"12 ";"8 ";"M 18 x 1,5 ";"25,0 ";"32,0 ";"17 ";"22 ";"RED-DKOL-12/08-OMD ";"19,7 ";"L ";"9184 "
"400 ";"12 ";"10 ";"M 18 x 1,5 ";"26,0 ";"33,0 ";"17 ";"22 ";"RED-DKOL-12/10-OMD ";"21,13 ";"L ";"9185 "
"400 ";"15 ";"6 ";"M 22 x 1,5 ";"28,5 ";"35,5 ";"19 ";"27 ";"RED-DKOL-15/06-OMD ";"22,64 ";"L ";"9186 "
"400 ";"15 ";"8 ";"M 22 x 1,5 ";"28,0 ";"35,5 ";"19 ";"27 ";"RED-DKOL-15/08-OMD ";"22,76 ";"L ";"9187 "
"400 ";"15 ";"10 ";"M 22 x 1,5 ";"29,5 ";"36,5 ";"19 ";"27 ";"RED-DKOL-15/10-OMD ";"22,72 ";"L ";"9188 "
"400 ";"15 ";"12 ";"M 22 x 1,5 ";"29,5 ";"36,5 ";"19 ";"27 ";"RED-DKOL-15/12-OMD ";"23,21 ";"L ";"9189 "
"400 ";"18 ";"6 ";"M 26 x 1,5 ";"28,0 ";"35,0 ";"24 ";"32 ";"RED-DKOL-18/06-OMD ";"26,32 ";"L ";"9190 "
"400 ";"18 ";"8 ";"M 26 x 1,5 ";"28,0 ";"35,0 ";"24 ";"32 ";"RED-DKOL-18/08-OMD ";"27,88 ";"L ";"9191 "
"400 ";"18 ";"10 ";"M 26 x 1,5 ";"29,0 ";"35,0 ";"24 ";"32 ";"RED-DKOL-18/10-OMD ";"27,37 ";"L ";"9192 "
"400 ";"18 ";"12 ";"M 26 x 1,5 ";"29,0 ";"35,0 ";"24 ";"32 ";"RED-DKOL-18/12-OMD ";"27,81 ";"L ";"9193 "
"400 ";"18 ";"15 ";"M 26 x 1,5 ";"30,0 ";"37,0 ";"24 ";"32 ";"RED-DKOL-18/15-OMD ";"28,09 ";"L ";"9194 "
"250 ";"22 ";"6 ";"M 30 x 2 ";"32,0 ";"39,0 ";"27 ";"36 ";"RED-DKOL-22/06-OMD ";"34,5 ";"L ";"9195 "
"250 ";"22 ";"8 ";"M 30 x 2 ";"32,0 ";"39,0 ";"27 ";"36 ";"RED-DKOL-22/08-OMD ";"32,74 ";"L ";"9196 "
"250 ";"22 ";"10 ";"M 30 x 2 ";"33,0 ";"40,0 ";"27 ";"36 ";"RED-DKOL-22/10-OMD ";"35,5 ";"L ";"9197 "
"250 ";"22 ";"12 ";"M 30 x 2 ";"33,0 ";"40,0 ";"27 ";"36 ";"RED-DKOL-22/12-OMD ";"34,97 ";"L ";"9198 "
"250 ";"22 ";"15 ";"M 30 x 2 ";"34,0 ";"41,0 ";"27 ";"36 ";"RED-DKOL-22/15-OMD ";"40,88 ";"L ";"9199 "
"250 ";"22 ";"18 ";"M 30 x 2 ";"33,5 ";"41,0 ";"27 ";"36 ";"RED-DKOL-22/18-OMD ";"42 ";"L ";"9200 "
"250 ";"28 ";"6 ";"M 36 x 2 ";"34,0 ";"41,0 ";"32 ";"41 ";"RED-DKOL-28/06-OMD ";"47,34 ";"L ";"9201 "
"250 ";"28 ";"8 ";"M 36 x 2 ";"34,0 ";"41,0 ";"32 ";"41 ";"RED-DKOL-28/08-OMD ";"49,35 ";"L ";"9202 "
"250 ";"28 ";"10 ";"M 36 x 2 ";"35,0 ";"42,0 ";"32 ";"41 ";"RED-DKOL-28/10-OMD ";"50,33 ";"L ";"9203 "
"250 ";"28 ";"12 ";"M 36 x 2 ";"35,0 ";"42,0 ";"32 ";"41 ";"RED-DKOL-28/12-OMD ";"49,8 ";"L ";"9204 "
"250 ";"28 ";"15 ";"M 36 x 2 ";"36,0 ";"43,0 ";"32 ";"41 ";"RED-DKOL-28/15-OMD ";"49,06 ";"L ";"9205 "
"250 ";"28 ";"18 ";"M 36 x 2 ";"35,5 ";"43,0 ";"32 ";"41 ";"RED-DKOL-28/18-OMD ";"48,13 ";"L ";"9206 "
"250 ";"28 ";"22 ";"M 36 x 2 ";"37,5 ";"45,0 ";"32 ";"41 ";"RED-DKOL-28/22-OMD ";"53,09 ";"L ";"9207 "
"250 ";"35 ";"6 ";"M 45 x 2 ";"37,0 ";"44,0 ";"41 ";"50 ";"RED-DKOL-35/06-OMD ";"71,32 ";"L ";"9208 "
"250 ";"35 ";"8 ";"M 45 x 2 ";"37,0 ";"44,0 ";"41 ";"50 ";"RED-DKOL-35/08-OMD ";"72,36 ";"L ";"9209 "
"250 ";"35 ";"10 ";"M 45 x 2 ";"38,0 ";"45,0 ";"41 ";"50 ";"RED-DKOL-35/10-OMD ";"75,89 ";"L ";"9210 "
"250 ";"35 ";"12 ";"M 45 x 2 ";"38,0 ";"45,0 ";"41 ";"50 ";"RED-DKOL-35/12-OMD ";"76,38 ";"L ";"9211 "
"250 ";"35 ";"15 ";"M 45 x 2 ";"39,0 ";"46,0 ";"41 ";"50 ";"RED-DKOL-35/15-OMD ";"78,71 ";"L ";"9212 "
"250 ";"35 ";"18 ";"M 45 x 2 ";"38,5 ";"46,0 ";"41 ";"50 ";"RED-DKOL-35/18-OMD ";"77,28 ";"L ";"9213 "
"250 ";"35 ";"22 ";"M 45 x 2 ";"40,5 ";"48,0 ";"41 ";"50 ";"RED-DKOL-35/22-OMD ";"76,61 ";"L ";"9214 "
"250 ";"35 ";"28 ";"M 45 x 2 ";"40,5 ";"48,0 ";"41 ";"50 ";"RED-DKOL-35/28-OMD ";"77,18 ";"L ";"9215 "
"250 ";"42 ";"6 ";"M 52 x 2 ";"40,5 ";"47,5 ";"50 ";"60 ";"RED-DKOL-42/06-OMD ";"99,95 ";"L ";"9216 "
"250 ";"42 ";"8 ";"M 52 x 2 ";"40,5 ";"47,5 ";"50 ";"60 ";"RED-DKOL-42/08-OMD ";"98,44 ";"L ";"9217 "
"250 ";"42 ";"10 ";"M 52 x 2 ";"41,5 ";"48,5 ";"50 ";"60 ";"RED-DKOL-42/10-OMD ";"97,88 ";"L ";"9218 "
"250 ";"42 ";"12 ";"M 52 x 2 ";"41,5 ";"48,5 ";"50 ";"60 ";"RED-DKOL-42/12-OMD ";"99,39 ";"L ";"9219 "
"250 ";"42 ";"15 ";"M 52 x 2 ";"42,5 ";"49,5 ";"50 ";"60 ";"RED-DKOL-42/15-OMD ";"99,68 ";"L ";"9220 "
"250 ";"42 ";"18 ";"M 52 x 2 ";"42,0 ";"49,5 ";"50 ";"60 ";"RED-DKOL-42/18-OMD ";"99,52 ";"L ";"9221 "
"250 ";"42 ";"22 ";"M 52 x 2 ";"44,0 ";"51,5 ";"50 ";"60 ";"RED-DKOL-42/22-OMD ";"99,62 ";"L ";"9222 "
"250 ";"42 ";"28 ";"M 52 x 2 ";"44,0 ";"51,5 ";"50 ";"60 ";"RED-DKOL-42/28-OMD ";"99,68 ";"L ";"9223 "
"250 ";"42 ";"35 ";"M 52 x 2 ";"43,0 ";"53,5 ";"50 ";"60 ";"RED-DKOL-42/35-OMD ";"98,02 ";"L ";"9224 "
