"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"M 12 x 1,5 ";"51,0 ";"36,0 ";"12 ";"14 ";"DA-DKOL-06-SC ";"30,33 ";"L ";"11589 "
"500 ";"8 ";"M 14 x 1,5 ";"51,0 ";"36,0 ";"14 ";"17 ";"DA-DKOL-08-SC ";"33,54 ";"L ";"11590 "
"500 ";"10 ";"M 16 x 1,5 ";"51,0 ";"36,0 ";"17 ";"19 ";"DA-DKOL-10-SC ";"38,49 ";"L ";"11591 "
"400 ";"12 ";"M 18 x 1,5 ";"51,0 ";"36,0 ";"19 ";"22 ";"DA-DKOL-12-SC ";"43,66 ";"L ";"11592 "
"400 ";"15 ";"M 22 x 1,5 ";"51,0 ";"36,0 ";"24 ";"27 ";"DA-DKOL-15-SC ";"57,06 ";"L ";"11593 "
"400 ";"18 ";"M 26 x 1,5 ";"52,0 ";"36,0 ";"27 ";"32 ";"DA-DKOL-18-SC ";"84,91 ";"L ";"11594 "
"250 ";"22 ";"M 30 x 2 ";"56,0 ";"40,0 ";"32 ";"36 ";"DA-DKOL-22-SC ";"104,59 ";"L ";"11595 "
"250 ";"28 ";"M 36 x 2 ";"57,0 ";"40,0 ";"41 ";"41 ";"DA-DKOL-28-SC ";"132,51 ";"L ";"11596 "
"250 ";"35 ";"M 45 x 2 ";"72,0 ";"50,0 ";"46 ";"50 ";"DA-DKOL-35-SC ";"189,28 ";"L ";"11597 "
"250 ";"42 ";"M 52 x 2 ";"83,0 ";"60,0 ";"55 ";"60 ";"DA-DKOL-42-SC ";"215,52 ";"L ";"11598 "
"800 ";"6 ";"M 14 x 1,5 ";"51,0 ";"36,0 ";"14 ";"17 ";"DA-DKOS-06-SC ";"32,48 ";"S ";"11599 "
"800 ";"8 ";"M 16 x 1,5 ";"51,0 ";"36,0 ";"17 ";"19 ";"DA-DKOS-08-SC ";"38,65 ";"S ";"11600 "
"800 ";"10 ";"M 18 x 1,5 ";"52,0 ";"36,0 ";"19 ";"22 ";"DA-DKOS-10-SC ";"44,01 ";"S ";"11601 "
"630 ";"12 ";"M 20 x 1,5 ";"52,0 ";"36,0 ";"22 ";"24 ";"DA-DKOS-12-SC ";"52,62 ";"S ";"11602 "
"630 ";"14 ";"M 22 x 1,5 ";"58,0 ";"40,0 ";"24 ";"27 ";"DA-DKOS-14-SC ";"60,74 ";"S ";"11603 "
"630 ";"16 ";"M 24 x 1,5 ";"58,0 ";"40,0 ";"27 ";"30 ";"DA-DKOS-16-SC ";"81,15 ";"S ";"11604 "
"420 ";"20 ";"M 30 x 2 ";"68,0 ";"46,0 ";"32 ";"36 ";"DA-DKOS-20-SC ";"104,86 ";"S ";"11605 "
"420 ";"25 ";"M 36 x 2 ";"74,0 ";"50,0 ";"41 ";"46 ";"DA-DKOS-25-SC ";"134,68 ";"S ";"11606 "
"420 ";"30 ";"M 42 x 2 ";"83,0 ";"56,0 ";"46 ";"50 ";"DA-DKOS-30-SC ";"194,1 ";"S ";"11607 "
"420 ";"38 ";"M 52 x 2 ";"91,0 ";"60,0 ";"55 ";"60 ";"DA-DKOS-38-SC ";"227,23 ";"S ";"11608 "
