"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"M 10 x 1 ";"12,0 ";"24,0 ";"17 ";"18 ";"14 ";"THV-L-06-M 10x1 ";"135,49 ";"L ";"6860 "
"400 ";"8 ";"M 12 x 1,5 ";"14,5 ";"30,0 ";"19 ";"22 ";"17 ";"THV-L-08-M 12x1,5 ";"150,83 ";"L ";"6861 "
"350 ";"10 ";"M 14 x 1,5 ";"15,5 ";"30,0 ";"19 ";"22 ";"19 ";"THV-L-10-M 14x1,5 ";"176,4 ";"L ";"6862 "
"350 ";"12 ";"M 16 x 1,5 ";"18,0 ";"36,0 ";"24 ";"27 ";"22 ";"THV-L-12-M 16x1,5 ";"194,29 ";"L ";"6863 "
"315 ";"15 ";"M 18 x 1,5 ";"20,5 ";"39,5 ";"27 ";"30 ";"27 ";"THV-L-15-M 18x1,5 ";"265,88 ";"L ";"6864 "
"315 ";"18 ";"M 22 x 1,5 ";"21,0 ";"45,0 ";"30 ";"32 ";"32 ";"THV-L-18-M 22x1,5 ";"332,34 ";"L ";"6865 "
"200 ";"22 ";"M 26 x 1,5 ";"27,5 ";"53,0 ";"36 ";"40 ";"36 ";"THV-L-22-M 26x1,5 ";"518,97 ";"L ";"6866 "
"200 ";"28 ";"M 33 x 2 ";"32,0 ";"66,0 ";"46 ";"50 ";"41 ";"THV-L-28-M 33x2 ";"749,05 ";"L ";"6867 "
"200 ";"35 ";"M 42 x 2 ";"36,0 ";"76,0 ";"55 ";"60 ";"50 ";"THV-L-35-M 42x2 ";"1007,26 ";"L ";"6868 "
"200 ";"42 ";"M 48 x 2 ";"40,5 ";"87,0 ";"60 ";"70 ";"60 ";"THV-L-42-M 48x2 ";"1247,57 ";"L ";"6869 "
"100 ";"4 ";"M 8 x 1 ";"11,0 ";"24,0 ";"17 ";"18 ";"10 ";"THV-LL-04-M 8x1 ";"136,93 ";"LL ";"6857 "
"100 ";"6 ";"M 10 x 1 ";"11,5 ";"24,0 ";"17 ";"18 ";"12 ";"THV-LL-06-M 10x1 ";"136,93 ";"LL ";"6858 "
"100 ";"8 ";"M 10 x 1 ";"12,5 ";"24,0 ";"17 ";"18 ";"14 ";"THV-LL-08-M 10x1 ";"136,93 ";"LL ";"6859 "
"500 ";"6 ";"M 12 x 1,5 ";"16,5 ";"30,0 ";"19 ";"22 ";"17 ";"THV-S-06-M 12x1,5 ";"150,83 ";"S ";"6870 "
"450 ";"8 ";"M 14 x 1,5 ";"16,5 ";"30,0 ";"19 ";"22 ";"19 ";"THV-S-08-M 14x1,5 ";"168,73 ";"S ";"6871 "
"400 ";"10 ";"M 16 x 1,5 ";"18,5 ";"36,0 ";"24 ";"27 ";"22 ";"THV-S-10-M 16x1,5 ";"199,41 ";"S ";"6872 "
"400 ";"12 ";"M 18 x 1,5 ";"20,0 ";"39,5 ";"27 ";"30 ";"24 ";"THV-S-12-M 18x1,5 ";"212,19 ";"S ";"6873 "
"400 ";"14 ";"M 20 x 1,5 ";"22,5 ";"43,5 ";"30 ";"32 ";"27 ";"THV-S-14-M 20x1,5 ";"276,1 ";"S ";"6874 "
"400 ";"16 ";"M 22 x 1,5 ";"22,0 ";"45,0 ";"30 ";"32 ";"30 ";"THV-S-16-M 22x1,5 ";"347,68 ";"S ";"6875 "
"400 ";"20 ";"M 27 x 2 ";"26,5 ";"53,0 ";"36 ";"40 ";"36 ";"THV-S-20-M 27x2 ";"513,86 ";"S ";"6876 "
"250 ";"25 ";"M 33 x 2 ";"31,5 ";"66,0 ";"46 ";"50 ";"46 ";"THV-S-25-M 33x2 ";"697,92 ";"S ";"6877 "
"250 ";"30 ";"M 42 x 2 ";"37,0 ";"76,0 ";"55 ";"60 ";"50 ";"THV-S-30-M 42x2 ";"930,57 ";"S ";"6878 "
"250 ";"38 ";"M 48 x 2 ";"41,5 ";"87,0 ";"60 ";"70 ";"60 ";"THV-S-38-M 48x2 ";"1119,75 ";"S ";"6879 "
