"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G = BSP";"Ca. Maﬂe  Approx. Dimensions  D1";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L4";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"O-Ring  O-ring  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"G 1/8'' ";"6 ";"29 ";"14 ";"19 ";"7 ";"14 ";"14 ";"14 ";"8 x 2,2 ";"WEEV-LR-06-G 1/8''-SC ";"82,14 ";"L ";"11270 "
"315 ";"8 ";"G 1/4'' ";"8 ";"31 ";"16 ";"23 ";"9 ";"19 ";"14 ";"17 ";"10,77 x 2,62 ";"WEEV-LR-08-G 1/4''-SC ";"82 ";"L ";"11271 "
"315 ";"10 ";"G 1/4'' ";"10 ";"32 ";"17 ";"25 ";"9 ";"19 ";"19 ";"19 ";"10,77 x 2,62 ";"WEEV-LR-10-G 1/4''-SC ";"83,14 ";"L ";"11288 "
"250 ";"12 ";"G 3/8'' ";"12 ";"34 ";"19 ";"28 ";"9 ";"22 ";"19 ";"22 ";"13,94 x 2,62 ";"WEEV-LR-12-G 3/8''-SC ";"93,78 ";"L ";"11289 "
"250 ";"15 ";"G 1/2'' ";"15 ";"36 ";"21 ";"30 ";"13 ";"27 ";"19 ";"27 ";"17,86 x 2,62 ";"WEEV-LR-15-G 1/2''-SC ";"98,75 ";"L ";"11290 "
"250 ";"18 ";"G 1/2'' ";"18 ";"40 ";"24 ";"36 ";"13 ";"27 ";"24 ";"32 ";"17,68 x 2,62 ";"WEEV-LR-18-G 1/2''-SC ";"144,87 ";"L ";"11291 "
"160 ";"22 ";"G 3/4'' ";"22 ";"44 ";"28 ";"36 ";"13 ";"36 ";"27 ";"36 ";"23,47 x 2,62 ";"WEEV-LR-22-G 3/4''-SC ";"176,42 ";"L ";"11292 "
"160 ";"28 ";"G 1'' ";"28 ";"47 ";"31 ";"44 ";"15 ";"41 ";"36 ";"41 ";"29,74 x 3,53 ";"WEEV-LR-28-G 1''-SC ";"277,4 ";"L ";"11293 "
"160 ";"35 ";"G 1 1/4'' ";"35 ";"59 ";"38 ";"50 ";"15 ";"50 ";"50 ";"50 ";"37,69 x 3,53 ";"WEEV-LR-35-G 1 1/4''-SC ";"362,18 ";"L ";"11294 "
"160 ";"42 ";"G 1 1/2'' ";"42 ";"61 ";"38 ";"52 ";"15 ";"55 ";"50 ";"60 ";"44,04 x 3,53 ";"WEEV-LR-42-G 1 1/2''-SC ";"525,65 ";"L ";"11295 "
"315 ";"6 ";"G 1/4'' ";"6 ";"30 ";"15 ";"23 ";"9 ";"19 ";"14 ";"17 ";"10,77 x 2,62 ";"WEEV-SR-06-G 1/4''-SC ";"81,69 ";"S ";"11296 "
"315 ";"8 ";"G 1/4'' ";"8 ";"32 ";"17 ";"27 ";"9 ";"19 ";"19 ";"19 ";"10,77 x 2,62 ";"WEEV-SR-08-G 1/4''-SC ";"85,32 ";"S ";"11297 "
"250 ";"10 ";"G 3/8'' ";"10 ";"34 ";"18 ";"29 ";"9 ";"22 ";"19 ";"22 ";"13,94 x 2,62 ";"WEEV-SR-10-G 3/8''-SC ";"91,21 ";"S ";"11298 "
"250 ";"12 ";"G 3/8'' ";"12 ";"38 ";"22 ";"29 ";"9 ";"22 ";"19 ";"24 ";"13,94 x 2,62 ";"WEEV-SR-12-G 3/8''-SC ";"92,55 ";"S ";"11299 "
"250 ";"16 ";"G 1/2'' ";"16 ";"43 ";"25 ";"36 ";"13 ";"27 ";"24 ";"30 ";"17,86 x 2,62 ";"WEEV-SR-16-G 1/2''-SC ";"145,59 ";"S ";"11300 "
"250 ";"20 ";"G 3/4'' ";"20 ";"49 ";"28 ";"39 ";"12 ";"36 ";"27 ";"36 ";"23,47 x 2,62 ";"WEEV-SR-20-G 3/4''-SC ";"189,35 ";"S ";"11301 "
"250 ";"25 ";"G 1'' ";"25 ";"54 ";"30 ";"44 ";"14 ";"41 ";"36 ";"46 ";"29,74 x 3,53 ";"WEEV-SR-25-G 1''-SC ";"302,16 ";"S ";"11302 "
"160 ";"30 ";"G 1 1/4'' ";"30 ";"62 ";"36 ";"49 ";"15 ";"50 ";"50 ";"50 ";"37,69 x 3,53 ";"WEEV-SR-30-G 1 1/4''-SC ";"420,72 ";"S ";"11303 "
"160 ";"38 ";"G 1 1/2'' ";"38 ";"65 ";"34 ";"55 ";"15 ";"55 ";"50 ";"60 ";"37,69 x 3,53 ";"WEEV-SR-38-G 1 1/2''-SC ";"629,53 ";"S ";"11304 "
