"Druck  Pressure  PB";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"250 ";"6 ";"G 1/8''  ";"28,0 ";"35,0 ";"8 ";"17 ";"17 ";"RV-L-06-G 1/8''-wd-OMD ";"51,38 ";"L ";"7710 "
"250 ";"8 ";"G 1/4''  ";"30,0 ";"37,0 ";"12 ";"19 ";"19 ";"RV-L-08-G 1/4''-wd-OMD ";"56 ";"L ";"7711 "
"250 ";"10 ";"G 1/4''  ";"38,5 ";"45,5 ";"12 ";"22 ";"24 ";"RV-L-10-G 1/4''-wd-OMD ";"65,67 ";"L ";"7712 "
"250 ";"12 ";"G 3/8''  ";"42,5 ";"49,5 ";"12 ";"27 ";"30 ";"RV-L-12-G 3/8''-wd-OMD ";"77,92 ";"L ";"7713 "
"250 ";"15 ";"G 1/2''  ";"45,5 ";"52,5 ";"14 ";"27 ";"30 ";"RV-L-15-G 1/2''-wd-OMD ";"86,89 ";"L ";"7714 "
"160 ";"18 ";"G 1/2''  ";"50,0 ";"57,5 ";"14 ";"36 ";"36 ";"RV-L-18-G 1/2''-wd-OMD ";"111,54 ";"L ";"7715 "
"160 ";"22 ";"G 3/4''  ";"55,0 ";"62,5 ";"16 ";"41 ";"46 ";"RV-L-22-G 3/4''-wd-OMD ";"161,49 ";"L ";"7716 "
"100 ";"28 ";"G 1''  ";"63,0 ";"70,5 ";"18 ";"50 ";"55 ";"RV-L-28-G 1''-wd-OMD ";"217,79 ";"L ";"7717 "
"100 ";"35 ";"G 1 1/4''  ";"69,0 ";"79,5 ";"20 ";"60 ";"60 ";"RV-L-35-G 1 1/4''-wd-OMD ";"313,79 ";"L ";"7718 "
"100 ";"42 ";"G 1 1/2''  ";"71,5 ";"82,5 ";"22 ";"65 ";"70 ";"RV-L-42-G 1 1/2''-wd-OMD ";"445,52 ";"L ";"7719 "
"630 ";"6 ";"G 1/4''  ";"31,5 ";"38,5 ";"12 ";"19 ";"19 ";"RV-S-06-G 1/4''-wd-OMD ";"56,01 ";"S ";"7720 "
"630 ";"8 ";"G 1/4''  ";"31,5 ";"38,5 ";"12 ";"19 ";"22 ";"RV-S-08-G 1/4''-wd-OMD ";"58,16 ";"S ";"7721 "
"630 ";"10 ";"G 3/8''  ";"38,0 ";"45,5 ";"12 ";"24 ";"27 ";"RV-S-10-G 3/8''-wd-OMD ";"67,64 ";"S ";"7722 "
"630 ";"12 ";"G 3/8''  ";"41,0 ";"48,5 ";"12 ";"27 ";"30 ";"RV-S-12-G 3/8''-wd-OMD ";"72,24 ";"S ";"7723 "
"630 ";"14 ";"G 1/2''  ";"44,5 ";"52,5 ";"14 ";"27 ";"32 ";"RV-S-14-G 1/2''-wd-OMD ";"81,42 ";"S ";"7724 "
"400 ";"16 ";"G 1/2''  ";"48,0 ";"56,5 ";"14 ";"32 ";"36 ";"RV-S-16-G 1/2''-wd-OMD ";"96,61 ";"S ";"7725 "
"400 ";"20 ";"G 3/4''  ";"52,0 ";"62,5 ";"16 ";"41 ";"46 ";"RV-S-20-G 3/4''-wd-OMD ";"155,59 ";"S ";"7726 "
"400 ";"25 ";"G 1''  ";"54,5 ";"66,5 ";"18 ";"46 ";"50 ";"RV-S-25-G 1''-wd-OMD ";"193,57 ";"S ";"7727 "
"250 ";"30 ";"G 1 1/4''  ";"64,0 ";"77,5 ";"20 ";"55 ";"60 ";"RV-S-30-G 1 1/4''-wd-OMD ";"283,34 ";"S ";"7728 "
"250 ";"38 ";"G 1 1/2''  ";"69,5 ";"85,5 ";"22 ";"65 ";"70 ";"RV-S-38-G 1 1/2''-wd-OMD ";"382,34 ";"S ";"7729 "
