"Druck  Pressure  (1)  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"630 ";"6 ";"R 1/8'' keg ";"36,0 ";"19,0 ";"8 ";"14 ";"17 ";"GE-S-06-R 1/8''-k ";"11,2 ";"S ";"4725 "
"630 ";"6 ";"R 1/4'' keg ";"40,0 ";"25,0 ";"12 ";"17 ";"17 ";"GE-S-06-R 1/4''-k ";"11,56 ";"S ";"4726 "
"630 ";"6 ";"R 3/8'' keg ";"40,0 ";"25,0 ";"12 ";"17 ";"17 ";"GE-S-06-R 3/8''-k ";"14,4 ";"S ";"4727 "
"630 ";"8 ";"R 1/8'' keg ";"35,0 ";"19,0 ";"8 ";"17 ";"19 ";"GE-S-08-R 1/8''-k ";"14,27 ";"S ";"4728 "
"630 ";"8 ";"R 1/4'' keg ";"40,0 ";"25,0 ";"12 ";"17 ";"19 ";"GE-S-08-R 1/4''-k ";"13,5 ";"S ";"4729 "
"630 ";"8 ";"R 3/8'' keg ";"40,0 ";"25,0 ";"12 ";"19 ";"19 ";"GE-S-08-R 3/8''-k ";"14,6 ";"S ";"4730 "
"630 ";"10 ";"R 1/4'' keg ";"41,0 ";"25,0 ";"12 ";"19 ";"22 ";"GE-S-10-R 1/4''-k ";"15,64 ";"S ";"4731 "
"630 ";"10 ";"R 3/8'' keg ";"41,0 ";"25,0 ";"12 ";"19 ";"22 ";"GE-S-10-R 3/8''-k ";"16,11 ";"S ";"4732 "
"630 ";"10 ";"R 1/2'' keg ";"45,0 ";"26,5 ";"14 ";"22 ";"22 ";"GE-S-10-R 1/2''-k ";"18,28 ";"S ";"4733 "
"630 ";"12 ";"R 1/4'' keg ";"43,0 ";"26,5 ";"12 ";"22 ";"24 ";"GE-S-12-R 1/4''-k ";"17,44 ";"S ";"4734 "
"630 ";"12 ";"R 3/8'' keg ";"42,0 ";"25,0 ";"12 ";"22 ";"24 ";"GE-S-12-R 3/8''-k ";"18,38 ";"S ";"4735 "
"630 ";"12 ";"R 1/2'' keg ";"44,0 ";"26,5 ";"14 ";"22 ";"24 ";"GE-S-12-R 1/2''-k ";"17,64 ";"S ";"4736 "
"630 ";"14 ";"R 3/8'' keg ";"46,0 ";"27,0 ";"12 ";"24 ";"27 ";"GE-S-14-R 3/8''-k ";"23,95 ";"S ";"4737 "
"630 ";"14 ";"R 1/2'' keg ";"50,5 ";"32,0 ";"14 ";"24 ";"27 ";"GE-S-14-R 1/2''-k ";"21,53 ";"S ";"4738 "
"400 ";"16 ";"R 3/8'' keg ";"48,0 ";"28,5 ";"12 ";"27 ";"30 ";"GE-S-16-R 3/8''-k ";"27,81 ";"S ";"4739 "
"400 ";"16 ";"R 1/2'' keg ";"49,0 ";"29,0 ";"14 ";"27 ";"30 ";"GE-S-16-R 1/2''-k ";"29,4 ";"S ";"4740 "
"400 ";"16 ";"R 3/4'' keg ";"53,0 ";"31,5 ";"16 ";"27 ";"30 ";"GE-S-16-R 3/4''-k ";"39,8 ";"S ";"4741 "
"400 ";"20 ";"R 1/2'' keg ";"54,0 ";"29,5 ";"14 ";"32 ";"36 ";"GE-S-20-R 1/2''-k ";"36,81 ";"S ";"4742 "
"400 ";"20 ";"R 3/4'' keg ";"55,0 ";"33,5 ";"16 ";"32 ";"36 ";"GE-S-20-R 3/4''-k ";"37,07 ";"S ";"4743 "
"160 ";"20 ";"R 1'' keg ";"58,0 ";"35,5 ";"18 ";"36 ";"36 ";"GE-S-20-R 1''-k ";"58,29 ";"S ";"4744 "
"160 ";"25 ";"R 3/4'' keg ";"";"";"16 ";"41 ";"46 ";"GE-S-25-R 3/4''-k ";"";"S ";"4745 "
"160 ";"25 ";"R 1'' keg ";"59,0 ";"33,0 ";"18 ";"41 ";"46 ";"GE-S-25-R 1''-k ";"58,29 ";"S ";"4746 "
"160 ";"30 ";"R 1 1/4'' keg ";"63,0 ";"35,5 ";"20 ";"46 ";"50 ";"GE-S-30-R 1 1/4''-k ";"79,25 ";"S ";"4747 "
"160 ";"38 ";"R 1 1/2'' keg ";"81,0 ";"49,0 ";"22 ";"55 ";"60 ";"GE-S-38-R 1 1/2''-k ";"112,49 ";"S ";"4748 "
