"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  H";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L9";"Ca. Maﬂe  Approx. Dimensions  i";"Ca. Maﬂe  Approx. Dimensions  SW1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"G 1/4'' ";"4,5 ";"7,5 ";"29,0 ";"14,5 ";"19 ";"MV-L-06-G 1/4''-OMD ";"10,14 ";"L ";"6246 "
"315 ";"6 ";"G 1/2'' ";"5,0 ";"9,0 ";"36,0 ";"20,0 ";"27 ";"MV-L-06-G 1/2''-OMD ";"17,27 ";"L ";"6247 "
"315 ";"8 ";"G 1/4'' ";"4,5 ";"7,5 ";"29,0 ";"14,05 ";"19 ";"MV-L-08-G 1/4''-OMD ";"10,16 ";"L ";"6248 "
"315 ";"8 ";"G 1/2'' ";"5,0 ";"9,0 ";"36,0 ";"20,0 ";"27 ";"MV-L-08-G 1/2''-OMD ";"16,78 ";"L ";"6249 "
"315 ";"10 ";"G 1/4'' ";"4,5 ";"8,5 ";"30,0 ";"14,5 ";"19 ";"MV-L-10-G 1/4''-OMD ";"10,27 ";"L ";"6250 "
"315 ";"10 ";"G 1/2'' ";"5,0 ";"9,5 ";"37,0 ";"20,0 ";"27 ";"MV-L-10-G 1/2''-OMD ";"16,33 ";"L ";"6251 "
"315 ";"12 ";"G 1/4'' ";"4,5 ";"8,5 ";"30,0 ";"14,5 ";"19 ";"MV-L-12-G 1/4''-OMD ";"9,92 ";"L ";"6252 "
"315 ";"12 ";"G 1/2'' ";"5,0 ";"10,0 ";"37,0 ";"20,0 ";"27 ";"MV-L-12-G 1/2''-OMD ";"15,95 ";"L ";"6253 "
"630 ";"6 ";"G 1/2'' ";"5,0 ";"11,0 ";"38,0 ";"20,0 ";"27 ";"MV-S-06-G 1/2''-OMD ";"15,11 ";"S ";"6254 "
"630 ";"8 ";"G 1/4'' ";"4,5 ";"9,5 ";"31,0 ";"14,5 ";"19 ";"MV-S-08-G 1/4''-OMD ";"17,8 ";"S ";"6255 "
"630 ";"8 ";"G 1/2'' ";"5,0 ";"11,0 ";"38,0 ";"20,0 ";"27 ";"MV-S-08-G 1/2''-OMD ";"15,08 ";"S ";"6256 "
"630 ";"10 ";"G 1/4'' ";"4,5 ";"9,0 ";"31,0 ";"14,5 ";"19 ";"MV-S-10-G 1/4''-OMD ";"15,16 ";"S ";"10779 "
"630 ";"10 ";"G 1/2'' ";"5,0 ";"10,5 ";"38,0 ";"20,0 ";"27 ";"MV-S-10-G 1/2''-OMD ";"15,16 ";"S ";"6257 "
"630 ";"12 ";"G 1/4'' ";"4,5 ";"8,0 ";"30,0 ";"14,5 ";"22 ";"MV-S-12-G 1/4''-OMD ";"15,21 ";"S ";"6258 "
"630 ";"12 ";"G 1/2'' ";"5,0 ";"10,5 ";"38,0 ";"20,0 ";"27 ";"MV-S-12-G 1/2''-OMD ";"15,21 ";"S ";"6259 "
"630 ";"14 ";"G 1/2'' ";"5,0 ";"12,0 ";"40,0 ";"20,0 ";"27 ";"MV-S-14-G 1/2''-OMD ";"21,4 ";"S ";"11904 "
