"Druck  Pressure  PN";"ISO-Grˆﬂe  ISO-Size  DN";"Gewinde  Thread  G = BSP";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Durchfluﬂmenge  Flow Rate  l/min.";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"300 ";"6,3 ";"1/4'' ";"26 ";"71,5 ";"";"50,5 ";"19 ";"";"10 ";"SV-Mu-G 1/4''-ISO-A ";"70,35 ";"Muffe / Female ";"11703 "
"250 ";"10,0 ";"3/8'' ";"30 ";"79,5 ";"";"57,0 ";"22 ";"";"23 ";"SV-Mu-G 3/8''-ISO-A ";"89,25 ";"Muffe / Female ";"11704 "
"250 ";"12,5 ";"1/2'' ";"38 ";"93,0 ";"";"70,0 ";"27 ";"";"45 ";"SV-Mu-G 1/2''-ISO-A ";"91,35 ";"Muffe / Female ";"11705 "
"250 ";"20,0 ";"3/4'' ";"48 ";"107,0 ";"";"81,0 ";"34 ";"";"106 ";"SV-Mu-G 3/4''-ISO-A ";"119,6 ";"Muffe / Female ";"11706 "
"200 ";"25,0 ";"1'' ";"54 ";"125,5 ";"";"96,0 ";"38 ";"";"189 ";"SV-Mu-G 1''-ISO-A ";"186,9 ";"Muffe / Female ";"11707 "
"300 ";"6,3 ";"1/4'' ";"";"71,5 ";"35,5 ";"";"";"19 ";"10 ";"SV-St-G 1/4''-ISO-A ";"32,55 ";"Stecker / Male ";"11708 "
"250 ";"10,0 ";"3/8'' ";"";"79,5 ";"40,0 ";"";"";"22 ";"23 ";"SV-St-G 3/8''-ISO-A ";"38,35 ";"Stecker / Male ";"11709 "
"250 ";"12,5 ";"1/2'' ";"";"93,0 ";"45,5 ";"";"";"27 ";"45 ";"SV-St-G 1/2''-ISO-A ";"41,05 ";"Stecker / Male ";"11710 "
"250 ";"20,0 ";"3/4'' ";"";"107,0 ";"53,5 ";"";"";"32 ";"106 ";"SV-St-G 3/4''-ISO-A ";"61,85 ";"Stecker / Male ";"11711 "
"200 ";"25,0 ";"1'' ";"";"125,5 ";"63,0 ";"";"";"41 ";"189 ";"SV-St-G 1''-ISO-A ";"83,4 ";"Stecker / Male ";"11712 "
