"Gewinde  Thread  G1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  D1";"Ca. Maﬂe  Approx. Dimensions  SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"1/4''-19 ";"1/8''-28 ";"";"";"";"19 ";"14 ";"3050511-04-02 ";"";"";"12185 "
"3/8''-19 ";"1/4''-19 ";"30,0 ";"8,0 ";"5,0 ";"22 ";"19 ";"3050511-06-04 ";"23,5 ";"";"12186 "
"1/2''-14 ";"3/8''-19 ";"30,0 ";"11,0 ";"8,0 ";"27 ";"22 ";"3050511-08-06 ";"";"";"12187 "
"3/4''-14 ";"1/2''-14 ";"31,0 ";"16,5 ";"11,0 ";"32 ";"27 ";"3050511-12-08 ";"";"";"12188 "
"1''-11 ";"3/4''-14 ";"35,0 ";"22,0 ";"16,5 ";"41 ";"32 ";"3050511-16-12 ";"";"";"12189 "
"1 1/4''-11 ";"1''-11 ";"";"";"";"50 ";"41 ";"3050511-20-16 ";"";"";"12190 "
"1 1/2''-11 ";"1 1/4''-11 ";"47,5 ";"34,0 ";"28,0 ";"55 ";"50 ";"3050511-24-20 ";"";"";"12191 "
