"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"G 1/8'' ";"32,5 ";"19,0 ";"8 ";"14 ";"EVGE-L-06-G 1/8''-ov-wd ";"11,39 ";"L ";"5947 "
"315 ";"6 ";"G 1/4'' ";"39,5 ";"20,5 ";"12 ";"19 ";"EVGE-L-06-G 1/4''-ov-wd ";"12,54 ";"L ";"5948 "
"315 ";"8 ";"G 1/4'' ";"41,0 ";"20,5 ";"12 ";"19 ";"EVGE-L-08-G 1/4''-ov-wd ";"12,05 ";"L ";"5949 "
"315 ";"8 ";"G 3/8'' ";"42,5 ";"20,5 ";"12 ";"22 ";"EVGE-L-08-G 3/8''-ov-wd ";"14,54 ";"L ";"5950 "
"315 ";"10 ";"G 1/4'' ";"39,5 ";"20,5 ";"12 ";"19 ";"EVGE-L-10-G 1/4''-ov-wd ";"13,31 ";"L ";"5951 "
"315 ";"10 ";"G 3/8'' ";"44,0 ";"21,0 ";"12 ";"22 ";"EVGE-L-10-G 3/8''-ov-wd ";"14,54 ";"L ";"5952 "
"315 ";"10 ";"G 1/2'' ";"47,0 ";"21,0 ";"14 ";"27 ";"EVGE-L-10-G 1/2''-ov-wd ";"17,94 ";"L ";"5953 "
"315 ";"12 ";"G 1/4'' ";"42,0 ";"21,5 ";"12 ";"19 ";"EVGE-L-12-G 1/4''-ov-wd ";"12,78 ";"L ";"5954 "
"315 ";"12 ";"G 3/8'' ";"45,0 ";"22,0 ";"12 ";"22 ";"EVGE-L-12-G 3/8''-ov-wd ";"14,03 ";"L ";"5955 "
"315 ";"12 ";"G 1/2'' ";"48,5 ";"22,5 ";"14 ";"27 ";"EVGE-L-12-G 1/2''-ov-wd ";"17,94 ";"L ";"5956 "
"315 ";"15 ";"G 3/8'' ";"45,5 ";"22,5 ";"12 ";"22 ";"EVGE-L-15-G 3/8''-ov-wd ";"17,02 ";"L ";"5957 "
"315 ";"15 ";"G 1/2'' ";"46,0 ";"23,0 ";"14 ";"27 ";"EVGE-L-15-G 1/2''-ov-wd ";"17,02 ";"L ";"5958 "
"315 ";"18 ";"G 3/8'' ";"44,0 ";"23,5 ";"12 ";"22 ";"EVGE-L-18-G 3/8''-ov-wd ";"26,66 ";"L ";"5959 "
"315 ";"18 ";"G 1/2'' ";"47,0 ";"24,0 ";"14 ";"27 ";"EVGE-L-18-G 1/2''-ov-wd ";"23,59 ";"L ";"5960 "
"160 ";"18 ";"G 3/4'' ";"52,0 ";"24,0 ";"16 ";"32 ";"EVGE-L-18-G 3/4''-ov-wd ";"31,26 ";"L ";"5961 "
"160 ";"22 ";"G 3/8'' ";"46,0 ";"24,5 ";"12 ";"24 ";"EVGE-L-22-G 3/8''-ov-wd ";"28,29 ";"L ";"5962 "
"160 ";"22 ";"G 1/2'' ";"50,5 ";"24,5 ";"14 ";"27 ";"EVGE-L-22-G 1/2''-ov-wd ";"28,29 ";"L ";"5963 "
"160 ";"22 ";"G 3/4'' ";"50,5 ";"24,5 ";"16 ";"32 ";"EVGE-L-22-G 3/4''-ov-wd ";"29,9 ";"L ";"5964 "
"160 ";"22 ";"G 1'' ";"53,0 ";"24,5 ";"18 ";"41 ";"EVGE-L-22-G 1''-ov-wd ";"";"L ";"5965 "
"160 ";"28 ";"G 3/4'' ";"52,5 ";"25,5 ";"16 ";"32 ";"EVGE-L-28-G 3/4''-ov-wd ";"69,07 ";"L ";"5966 "
"160 ";"28 ";"G 1'' ";"54,0 ";"25,5 ";"18 ";"41 ";"EVGE-L-28-G 1''-ov-wd ";"46,51 ";"L ";"5967 "
"160 ";"35 ";"G 1 1/4'' ";"63,5 ";"32,0 ";"20 ";"50 ";"EVGE-L-35-G 1 1/4''-ov-wd ";"76,04 ";"L ";"5968 "
"160 ";"42 ";"G 1 1/2'' ";"70,0 ";"32,0 ";"22 ";"55 ";"EVGE-L-42-G 1 1/2''-ov-wd ";"82,5 ";"L ";"5969 "
