"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  D2";"Rohr A.D.  Tube O.D.  D3";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Ca. Maﬂe  Approx. Dimensions  SW4";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"800 ";"8 ";"6 ";"8 ";"19 ";"17 ";"19 ";"14 ";"TRV-S-08/06/08 ";"43 ";"S ";"3026 "
"800 ";"10 ";"6 ";"10 ";"22 ";"17 ";"22 ";"17 ";"TRV-S-10/06/10 ";"43,93 ";"S ";"3027 "
"800 ";"10 ";"8 ";"10 ";"22 ";"19 ";"22 ";"17 ";"TRV-S-10/08/10 ";"44,55 ";"S ";"3028 "
"630 ";"12 ";"6 ";"12 ";"24 ";"17 ";"24 ";"17 ";"TRV-S-12/06/12 ";"54,8 ";"S ";"3029 "
"630 ";"12 ";"8 ";"8 ";"24 ";"19 ";"19 ";"17 ";"TRV-S-12/08/08 ";"54,4 ";"S ";"3030 "
"630 ";"12 ";"8 ";"12 ";"24 ";"19 ";"24 ";"17 ";"TRV-S-12/08/12 ";"54,86 ";"S ";"3031 "
"630 ";"12 ";"10 ";"12 ";"24 ";"22 ";"24 ";"17 ";"TRV-S-12/10/12 ";"55,37 ";"S ";"3032 "
"630 ";"12 ";"16 ";"12 ";"24 ";"30 ";"24 ";"24 ";"TRV-S-12/16/12 ";"85,77 ";"S ";"3033 "
"630 ";"14 ";"8 ";"14 ";"27 ";"19 ";"27 ";"19 ";"TRV-S-14/08/14 ";"75,8 ";"S ";"3034 "
"630 ";"14 ";"10 ";"14 ";"27 ";"22 ";"27 ";"19 ";"TRV-S-14/10/14 ";"75,8 ";"S ";"3035 "
"630 ";"16 ";"6 ";"16 ";"30 ";"17 ";"30 ";"24 ";"TRV-S-16/06/16 ";"88,25 ";"S ";"3036 "
"630 ";"16 ";"8 ";"16 ";"30 ";"19 ";"30 ";"24 ";"TRV-S-16/08/16 ";"88,06 ";"S ";"3037 "
"630 ";"16 ";"10 ";"16 ";"30 ";"22 ";"30 ";"24 ";"TRV-S-16/10/16 ";"88,24 ";"S ";"3038 "
