"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Rohr A.D.  Tube O.D.  D2";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"8 ";"6 ";"45,5 ";"11,0 ";"14 ";"14 ";"17 ";"GRV-L-08/06-SC ";"13,8 ";"L ";"2703 "
"500 ";"10 ";"6 ";"47,0 ";"12,0 ";"17 ";"14 ";"19 ";"GRV-L-10/06-SC ";"14,87 ";"L ";"2704 "
"500 ";"10 ";"8 ";"47,0 ";"12,0 ";"17 ";"17 ";"19 ";"GRV-L-10/08-SC ";"16,86 ";"L ";"2705 "
"400 ";"12 ";"6 ";"48,0 ";"13,0 ";"19 ";"14 ";"22 ";"GRV-L-12/06-SC ";"16,99 ";"L ";"2706 "
"400 ";"12 ";"8 ";"48,0 ";"13,0 ";"19 ";"17 ";"22 ";"GRV-L-12/08-SC ";"18,38 ";"L ";"2707 "
"400 ";"12 ";"10 ";"49,5 ";"14,0 ";"19 ";"19 ";"22 ";"GRV-L-12/10-SC ";"19,66 ";"L ";"2708 "
"400 ";"15 ";"6 ";"50,5 ";"14,0 ";"24 ";"14 ";"27 ";"GRV-L-15/06-SC ";"21,19 ";"L ";"2709 "
"400 ";"15 ";"8 ";"50,5 ";"14,0 ";"24 ";"17 ";"27 ";"GRV-L-15/08-SC ";"22,74 ";"L ";"2710 "
"400 ";"15 ";"10 ";"52,0 ";"15,0 ";"24 ";"19 ";"27 ";"GRV-L-15/10-SC ";"24,25 ";"L ";"2711 "
"400 ";"15 ";"12 ";"52,0 ";"15,0 ";"24 ";"22 ";"27 ";"GRV-L-15/12-SC ";"25,13 ";"L ";"2712 "
"400 ";"18 ";"8 ";"52,0 ";"14,5 ";"27 ";"27 ";"32 ";"GRV-L-18/08-SC ";"32,76 ";"L ";"2713 "
"400 ";"18 ";"10 ";"53,5 ";"15,5 ";"27 ";"19 ";"32 ";"GRV-L-18/10-SC ";"34,09 ";"L ";"2714 "
"400 ";"18 ";"12 ";"53,5 ";"15,5 ";"27 ";"22 ";"32 ";"GRV-L-18/12-SC ";"35,66 ";"L ";"2715 "
"400 ";"18 ";"15 ";"56,5 ";"16,5 ";"27 ";"27 ";"32 ";"GRV-L-18/15-SC ";"37,85 ";"L ";"2716 "
"250 ";"22 ";"8 ";"56,5 ";"17,5 ";"32 ";"17 ";"36 ";"GRV-L-22/08-SC ";"46,48 ";"L ";"2717 "
"250 ";"22 ";"10 ";"57,0 ";"17,5 ";"32 ";"19 ";"36 ";"GRV-L-22/10-SC ";"46,48 ";"L ";"2718 "
"250 ";"22 ";"12 ";"57,0 ";"17,5 ";"32 ";"22 ";"36 ";"GRV-L-22/12-SC ";"46,75 ";"L ";"2719 "
"250 ";"22 ";"15 ";"59,0 ";"18,5 ";"32 ";"27 ";"36 ";"GRV-L-22/15-SC ";"46,76 ";"L ";"2720 "
"250 ";"22 ";"18 ";"60,0 ";"18,0 ";"32 ";"32 ";"36 ";"GRV-L-22/18-SC ";"49,93 ";"L ";"2721 "
"250 ";"28 ";"10 ";"60,0 ";"20,5 ";"41 ";"19 ";"41 ";"GRV-L-28/10-SC ";"71,47 ";"L ";"2722 "
"250 ";"28 ";"12 ";"60,0 ";"19,0 ";"41 ";"22 ";"41 ";"GRV-L-28/12-SC ";"74,91 ";"L ";"2723 "
"250 ";"28 ";"15 ";"62,5 ";"19,0 ";"41 ";"27 ";"41 ";"GRV-L-28/15-SC ";"74,66 ";"L ";"2724 "
"250 ";"28 ";"18 ";"61,0 ";"19,0 ";"41 ";"32 ";"41 ";"GRV-L-28/18-SC ";"77,78 ";"L ";"2725 "
"250 ";"28 ";"22 ";"64,0 ";"21,0 ";"41 ";"36 ";"41 ";"GRV-L-28/22-SC ";"80,45 ";"L ";"2726 "
"250 ";"35 ";"15 ";"65,0 ";"19,5 ";"46 ";"27 ";"50 ";"GRV-L-35/15-SC ";"98,01 ";"L ";"2727 "
"250 ";"35 ";"18 ";"66,5 ";"19,0 ";"46 ";"32 ";"50 ";"GRV-L-35/18-SC ";"98,67 ";"L ";"2728 "
"250 ";"35 ";"22 ";"69,5 ";"21,0 ";"46 ";"36 ";"50 ";"GRV-L-35/22-SC ";"99,15 ";"L ";"2729 "
"250 ";"35 ";"28 ";"70,5 ";"21,0 ";"46 ";"41 ";"50 ";"GRV-L-35/28-SC ";"107,47 ";"L ";"2730 "
"250 ";"42 ";"15 ";"64,0 ";"21,0 ";"55 ";"27 ";"60 ";"GRV-L-42/15-SC ";"132,2 ";"L ";"2731 "
"250 ";"42 ";"18 ";"";"20,5 ";"55 ";"32 ";"60 ";"GRV-L-42/18-SC ";"132,76 ";"L ";"2732 "
"250 ";"42 ";"22 ";"70,5 ";"22,5 ";"55 ";"36 ";"60 ";"GRV-L-42/22-SC ";"133,39 ";"L ";"2733 "
"250 ";"42 ";"28 ";"71,0 ";"22,5 ";"55 ";"41 ";"60 ";"GRV-L-42/28-SC ";"134,14 ";"L ";"2734 "
"250 ";"42 ";"35 ";"75,0 ";"21,5 ";"55 ";"50 ";"60 ";"GRV-L-42/35-SC ";"140,98 ";"L ";"2735 "
