"Schlauch  Hose  DN";"DN  Bore  in.";"Gewinde  Thread  G";"Rohr A.D.  Tube O.D.  D";"Ca. Maﬂe  Approx. Dimensions  A";"Ca. Maﬂe  Approx. Dimensions  C";"Ca. Maﬂe  Approx. Dimensions  SW";"O-Ring  O-ring  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"19 ";"3/4'' ";"M 30 x 2 ";"20 ";"34,5 ";"14,5 ";"36 ";"16,3 x 2,4 ";"I-DKOS-20-DN 19 ";"36,9 ";"";"1166 "
"19 ";"3/4'' ";"M 36 x 2 ";"25 ";"41,0 ";"14,5 ";"46 ";"21,3 x 2,4 ";"I-DKOS-25-DN 19 ";"34,3 ";"";"1167 "
"25 ";"1'' ";"M 36 x 2 ";"25 ";"38,5 ";"19,0 ";"46 ";"22,0 x 2,5 ";"I-DKOS-25-DN 25 ";"54,5 ";"";"1168 "
"25 ";"1'' ";"M 42 x 2 ";"30 ";"43,5 ";"20,0 ";"50 ";"25,3 x 2,4 ";"I-DKOS-30-DN 25 ";"52,5 ";"";"1169 "
"31 ";"1 1/4'' ";"M 42 x 2 ";"30 ";"43,0 ";"23,0 ";"50 ";"25,3 x 2,4 ";"I-DKOS-30-DN 31 ";"139 ";"";"1170 "
"31 ";"1 1/4'' ";"M 52 x 2 ";"38 ";"48,5 ";"25,0 ";"60 ";"25,3 x 2,4 ";"I-DKOS-38-DN 31 ";"81 ";"";"1171 "
"38 ";"1 1/2'' ";"M 52 x 2 ";"38 ";"41,0 ";"28,0 ";"60 ";"35,0 x 2,5 ";"I-DKOS-38-DN 38 ";"141,5 ";"";"1172 "
"38 ";"1 1/2'' ";"M 68 x 2 ";"50 ";"51,5 ";"31,5 ";"80 ";"46,0 x 3,0 ";"I-DKOS-50-DN 38 ";"175 ";"";"1173 "
