"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  L3";"Ca. Maﬂe  Approx. Dimensions  L5";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"G 1/8'' ";"27 ";"12,0 ";"34,5 ";"26,0 ";"8 ";"14 ";"12 ";"14 ";"EVL-L-06-G 1/8''-SC ";"34,7 ";"L ";"7372 "
"315 ";"8 ";"G 1/4'' ";"29 ";"14,0 ";"37,5 ";"27,5 ";"12 ";"19 ";"12 ";"17 ";"EVL-L-08-G 1/4''-SC ";"39,27 ";"L ";"7373 "
"315 ";"10 ";"G 1/4'' ";"30 ";"15,0 ";"40,0 ";"29,0 ";"12 ";"19 ";"14 ";"19 ";"EVL-L-10-G 1/4''-SC ";"43,82 ";"L ";"7374 "
"315 ";"12 ";"G 3/8'' ";"32 ";"17,0 ";"42,0 ";"29,5 ";"12 ";"22 ";"17 ";"22 ";"EVL-L-12-G 3/8''-SC ";"51,73 ";"L ";"7375 "
"315 ";"15 ";"G 1/2'' ";"36 ";"21,0 ";"46,5 ";"32,5 ";"14 ";"27 ";"19 ";"27 ";"EVL-L-15-G 1/2''-SC ";"70,9 ";"L ";"7376 "
"315 ";"18 ";"G 1/2'' ";"40 ";"23,5 ";"50,0 ";"35,5 ";"14 ";"27 ";"24 ";"32 ";"EVL-L-18-G 1/2''-SC ";"110,22 ";"L ";"7377 "
"160 ";"22 ";"G 3/4'' ";"44 ";"27,5 ";"55,0 ";"38,5 ";"16 ";"32 ";"27 ";"36 ";"EVL-L-22-G 3/4''-SC ";"120,71 ";"L ";"7378 "
"160 ";"28 ";"G 1'' ";"47 ";"30,5 ";"61,0 ";"43,5 ";"18 ";"41 ";"36 ";"41 ";"EVL-L-28-G 1''-SC ";"204,26 ";"L ";"7379 "
"160 ";"35 ";"G 1 1/4'' ";"56 ";"34,5 ";"71,5 ";"54,0 ";"20 ";"50 ";"41 ";"50 ";"EVL-L-35-G 1 1/4''-SC ";"296,82 ";"L ";"7380 "
"160 ";"42 ";"G 1 1/2'' ";"63 ";"40,0 ";"75,0 ";"56,0 ";"22 ";"55 ";"50 ";"60 ";"EVL-L-42-G 1 1/2''-SC ";"389,46 ";"L ";"7381 "
"630 ";"6 ";"G 1/4'' ";"31 ";"16,0 ";"40,0 ";"27,0 ";"12 ";"19 ";"12 ";"17 ";"EVL-S-06-G 1/4''-SC ";"37,55 ";"S ";"7382 "
"630 ";"8 ";"G 1/4'' ";"32 ";"17,0 ";"42,5 ";"27,5 ";"12 ";"19 ";"14 ";"19 ";"EVL-S-08-G 1/4''-SC ";"42,15 ";"S ";"7383 "
"630 ";"10 ";"G 3/8'' ";"34 ";"17,5 ";"45,0 ";"30,0 ";"12 ";"22 ";"17 ";"22 ";"EVL-S-10-G 3/8''-SC ";"54,29 ";"S ";"7384 "
"630 ";"12 ";"G 3/8'' ";"38 ";"21,5 ";"48,0 ";"31,0 ";"12 ";"22 ";"17 ";"24 ";"EVL-S-12-G 3/8''-SC ";"60,65 ";"S ";"7385 "
"630 ";"14 ";"G 1/2'' ";"40 ";"22,0 ";"54,0 ";"35,0 ";"14 ";"27 ";"19 ";"27 ";"EVL-S-14-G 1/2''-SC ";"74,65 ";"S ";"7386 "
"400 ";"16 ";"G 1/2'' ";"43 ";"24,5 ";"55,0 ";"36,5 ";"14 ";"27 ";"24 ";"30 ";"EVL-S-16-G 1/2''-SC ";"112,03 ";"S ";"7387 "
"400 ";"20 ";"G 3/4'' ";"48 ";"26,5 ";"65,0 ";"44,5 ";"16 ";"32 ";"27 ";"36 ";"EVL-S-20-G 3/4''-SC ";"138,63 ";"S ";"7388 "
"400 ";"25 ";"G 1'' ";"54 ";"30,0 ";"73,0 ";"50,0 ";"18 ";"41 ";"36 ";"46 ";"EVL-S-25-G 1''-SC ";"223,69 ";"S ";"7389 "
"400 ";"30 ";"G 1 1/4'' ";"62 ";"35,5 ";"78,5 ";"55,0 ";"20 ";"50 ";"41 ";"50 ";"EVL-S-30-G 1 1/4''-SC ";"278,1 ";"S ";"7390 "
"250 ";"38 ";"G 1 1/2'' ";"72 ";"41,0 ";"89,0 ";"63,0 ";"22 ";"55 ";"50 ";"60 ";"EVL-S-38-G 1 1/2''-SC ";"391,6 ";"S ";"7391 "
