"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW2";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"500 ";"6 ";"G 1/8'' ";"12,0 ";"24 ";"17 ";"18 ";"14 ";"THV-L-06-G 1/8'' ";"130,38 ";"L ";"6788 "
"400 ";"8 ";"G 1/4'' ";"14,5 ";"30 ";"19 ";"22 ";"17 ";"THV-L-08-G 1/4'' ";"143,16 ";"L ";"6789 "
"350 ";"10 ";"G 1/4'' ";"15,5 ";"30 ";"19 ";"22 ";"19 ";"THV-L-10-G 1/4'' ";"166,17 ";"L ";"6790 "
"350 ";"12 ";"G 1/4'' ";"15,5 ";"30 ";"19 ";"22 ";"22 ";"THV-L-12-G 1/4'' ";"199,9 ";"L ";"6791 "
"350 ";"12 ";"G 3/8'' ";"18,0 ";"36 ";"24 ";"27 ";"22 ";"THV-L-12-G 3/8'' ";"184,07 ";"L ";"6792 "
"315 ";"15 ";"G 1/2'' ";"21,5 ";"45 ";"30 ";"32 ";"27 ";"THV-L-15-G 1/2'' ";"253,09 ";"L ";"6793 "
"315 ";"18 ";"G 1/2'' ";"21,0 ";"45 ";"30 ";"32 ";"32 ";"THV-L-18-G 1/2'' ";"314,45 ";"L ";"6794 "
"200 ";"22 ";"G 3/4'' ";"27,5 ";"53 ";"36 ";"40 ";"36 ";"THV-L-22-G 3/4'' ";"495,96 ";"L ";"6795 "
"200 ";"28 ";"G 1'' ";"32,0 ";"66 ";"46 ";"50 ";"41 ";"THV-L-28-G 1'' ";"715,82 ";"L ";"6796 "
"200 ";"35 ";"G 1 1/4'' ";"36,0 ";"76 ";"55 ";"60 ";"50 ";"THV-L-35-G 1 1/4'' ";"961,24 ";"L ";"6797 "
"200 ";"42 ";"G 1 1/2'' ";"40,5 ";"87 ";"60 ";"70 ";"60 ";"THV-L-42-G 1 1/2'' ";"1191,33 ";"L ";"6798 "
"100 ";"4 ";"G 1/8'' ";"11,0 ";"24 ";"17 ";"18 ";"10 ";"THV-LL-04-G 1/8'' ";"130,38 ";"LL ";"6785 "
"100 ";"6 ";"G 1/8'' ";"11,5 ";"24 ";"17 ";"18 ";"12 ";"THV-LL-06-G 1/8'' ";"130,38 ";"LL ";"6786 "
"100 ";"8 ";"G 1/8'' ";"12,5 ";"24 ";"17 ";"18 ";"14 ";"THV-LL-08-G 1/8'' ";"130,38 ";"LL ";"6787 "
"500 ";"6 ";"G 1/4'' ";"16,5 ";"30 ";"19 ";"22 ";"17 ";"THV-S-06-G 1/4'' ";"143,16 ";"S ";"6799 "
"450 ";"8 ";"G 1/4'' ";"16,5 ";"30 ";"19 ";"22 ";"19 ";"THV-S-08-G 1/4'' ";"161,06 ";"S ";"6800 "
"400 ";"10 ";"G 1/4'' ";"16,5 ";"30 ";"19 ";"22 ";"22 ";"THV-S-10-G 1/4'' ";"199,5 ";"S ";"6801 "
"400 ";"10 ";"G 3/8'' ";"18,5 ";"36 ";"24 ";"27 ";"22 ";"THV-S-10-G 3/8'' ";"189,18 ";"S ";"6802 "
"400 ";"12 ";"G 3/8'' ";"18,5 ";"36 ";"24 ";"27 ";"24 ";"THV-S-12-G 3/8'' ";"201,96 ";"S ";"6803 "
"400 ";"14 ";"G 1/2'' ";"22,5 ";"45 ";"30 ";"32 ";"27 ";"THV-S-14-G 1/2'' ";"260,76 ";"S ";"6804 "
"400 ";"16 ";"G 1/2'' ";"22,0 ";"45 ";"30 ";"32 ";"30 ";"THV-S-16-G 1/2'' ";"329,79 ";"S ";"6805 "
"400 ";"20 ";"G 3/4'' ";"26,5 ";"53 ";"36 ";"40 ";"36 ";"THV-S-20-G 3/4'' ";"490,85 ";"S ";"6806 "
"250 ";"25 ";"G 1'' ";"31,5 ";"66 ";"46 ";"50 ";"46 ";"THV-S-25-G 1'' ";"664,69 ";"S ";"6807 "
"250 ";"30 ";"G 1 1/4'' ";"37,0 ";"76 ";"55 ";"60 ";"50 ";"THV-S-30-G 1 1/4'' ";"887,11 ";"S ";"6808 "
"250 ";"38 ";"G 1 1/2'' ";"41,5 ";"87 ";"60 ";"70 ";"60 ";"THV-S-38-G 1 1/2'' ";"1119,75 ";"S ";"6809 "
