"Druck  Pressure  PN";"Gewinde  Thread  G = BSP";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"400 ";"1/8''-28 ";"15,0 ";"10,0 ";"14 ";"1050519-02 ";"8,5 ";"";"1962 "
"400 ";"1/4''-19 ";"18,0 ";"12,5 ";"17 ";"1050519-04 ";"7,15 ";"";"1963 "
"400 ";"3/8''-19 ";"19,0 ";"13,0 ";"22 ";"1050519-06 ";"9,2 ";"";"1964 "
"400 ";"1/2''-14 ";"21,0 ";"14,5 ";"27 ";"1050519-08 ";"10,7 ";"";"1965 "
"400 ";"5/8''-14 ";"21,0 ";"17,5 ";"30 ";"1050519-10 ";"12,2 ";"";"1966 "
"400 ";"3/4''-14 ";"24,5 ";"18,5 ";"32 ";"1050519-12 ";"12,2 ";"";"1967 "
"400 ";"1''-11 ";"25,0 ";"19,0 ";"41 ";"1050519-16 ";"17,3 ";"";"1968 "
"200 ";"1 1/4''-11 ";"29,0 ";"22,0 ";"50 ";"1050519-20 ";"24,7 ";"";"1969 "
"200 ";"1 1/2''-11 ";"31,0 ";"23,5 ";"55 ";"1050519-24 ";"36,6 ";"";"1970 "
"100 ";"2''-11 ";"32,0 ";"24,5 ";"70 ";"1050519-32 ";"44,75 ";"";"1971 "
