"Druck  Pressure  PN";"Rohr A.D.  Tube O.D.  D1";"Gewinde  Thread  G";"Ca. Maﬂe  Approx. Dimensions  H";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  i";"    SW1";"Ca. Maﬂe  Approx. Dimensions  SW3";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"315 ";"6 ";"G 1/4'' ";"4,5 ";"37,0 ";"7,5 ";"14,5 ";"19 ";"14 ";"MV-L-06-G 1/4'' ";"12,45 ";"L ";"6217 "
"315 ";"6 ";"G 1/2'' ";"5,0 ";"46,0 ";"9,0 ";"20,0 ";"27 ";"14 ";"MV-L-06-G 1/2'' ";"19,58 ";"L ";"6218 "
"315 ";"8 ";"G 1/4'' ";"4,5 ";"37,0 ";"7,5 ";"14,5 ";"19 ";"17 ";"MV-L-08-G 1/4'' ";"12,96 ";"L ";"6219 "
"315 ";"8 ";"G 1/2'' ";"5,0 ";"46,0 ";"9,0 ";"20,0 ";"27 ";"17 ";"MV-L-08-G 1/2'' ";"19,58 ";"L ";"6220 "
"315 ";"10 ";"G 1/4'' ";"4,5 ";"38,0 ";"8,5 ";"14,5 ";"19 ";"19 ";"MV-L-10-G 1/4'' ";"13,63 ";"L ";"6221 "
"315 ";"10 ";"G 1/2'' ";"5,0 ";"47,0 ";"9,5 ";"20,0 ";"27 ";"19 ";"MV-L-10-G 1/2'' ";"19,69 ";"L ";"6222 "
"315 ";"12 ";"G 1/4'' ";"4,5 ";"38,0 ";"8,5 ";"14,5 ";"19 ";"22 ";"MV-L-12-G 1/4'' ";"13,81 ";"L ";"6223 "
"315 ";"12 ";"G 1/2'' ";"5,0 ";"48,0 ";"10,0 ";"20,0 ";"27 ";"22 ";"MV-L-12-G 1/2'' ";"19,84 ";"L ";"6224 "
"630 ";"6 ";"G 1/2'' ";"5,0 ";"46,0 ";"11,0 ";"20,0 ";"27 ";"17 ";"MV-S-06-G 1/2'' ";"17,9 ";"S ";"6225 "
"630 ";"8 ";"G 1/4'' ";"4,5 ";"40,0 ";"9,5 ";"14,5 ";"19 ";"19 ";"MV-S-08-G 1/4'' ";"21 ";"S ";"6226 "
"630 ";"8 ";"G 1/2'' ";"5,0 ";"46,0 ";"11,0 ";"20,0 ";"27 ";"19 ";"MV-S-08-G 1/2'' ";"18,28 ";"S ";"6227 "
"630 ";"10 ";"G 1/4'' ";"4,5 ";"40,5 ";"9,0 ";"14,5 ";"19 ";"22 ";"MV-S-10-G 1/4'' ";"19,1 ";"S ";"6228 "
"630 ";"10 ";"G 1/2'' ";"5,0 ";"47,0 ";"10,5 ";"20,0 ";"27 ";"22 ";"MV-S-10-G 1/2'' ";"19,1 ";"S ";"6229 "
"630 ";"12 ";"G 1/4'' ";"4,5 ";"41,0 ";"8,0 ";"14,5 ";"22 ";"24 ";"MV-S-12-G 1/4'' ";"19,66 ";"S ";"6230 "
"630 ";"12 ";"G 1/2'' ";"5,0 ";"47,0 ";"10,5 ";"20,0 ";"27 ";"24 ";"MV-S-12-G 1/2'' ";"19,66 ";"S ";"6231 "
"630 ";"14 ";"G 1/2'' ";"5,0 ";"49,5 ";"12,0 ";"20,0 ";"27 ";"27 ";"MV-S-14-G 1/2'' ";"26,9 ";"S ";"11880 "
