"Druck  Pressure  PN";"Auﬂengewinde  Male Thread  G";"Innengewinde  Female Thread  G1";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  SW";"Form  Form  ";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"630 ";"G 1/8'' ";"G 1/2'' ";"37,0 ";"8,0 ";"20,0 ";"27 ";"B ";"GRI-1/8''-wd x 1/2'' ";"19,8 ";"";"8127 "
"630 ";"G 1/8'' ";"G 3/8'' ";"32,0 ";"8,0 ";"17,0 ";"24 ";"B ";"GRI-1/8''-wd x 3/8'' ";"15,34 ";"";"8128 "
"630 ";"G 1/8'' ";"G 1/4'' ";"31,0 ";"8,0 ";"17,0 ";"19 ";"B ";"GRI-1/8''-wd x 1/4'' ";"13,55 ";"";"8129 "
"400 ";"G 1/4'' ";"G 1'' ";"46,0 ";"12,0 ";"24,5 ";"41 ";"B ";"GRI-1/4''-wd x 1'' ";"56 ";"";"8130 "
"630 ";"G 1/4'' ";"G 3/4'' ";"43,0 ";"12,0 ";"22,0 ";"36 ";"B ";"GRI-1/4''-wd x 3/4'' ";"30,24 ";"";"8131 "
"630 ";"G 1/4'' ";"G 1/2'' ";"40,0 ";"12,0 ";"20,0 ";"27 ";"B ";"GRI-1/4''-wd x 1/2'' ";"18,1 ";"";"8132 "
"630 ";"G 1/4'' ";"G 3/8'' ";"36,0 ";"12,0 ";"17,0 ";"24 ";"B ";"GRI-1/4''-wd x 3/8'' ";"16,96 ";"";"8133 "
"630 ";"G 1/4'' ";"G 1/8'' ";"28,0 ";"12,0 ";"12,0 ";"19 ";"B ";"GRI-1/4''-wd x 1/8'' ";"13,41 ";"";"8134 "
"400 ";"G 3/8'' ";"G 1'' ";"46,5 ";"12,0 ";"24,5 ";"41 ";"B ";"GRI-3/8''-wd x 1'' ";"35,71 ";"";"8135 "
"400 ";"G 3/8'' ";"G 3/4'' ";"44,0 ";"12,0 ";"22,0 ";"36 ";"B ";"GRI-3/8''-wd x 3/4'' ";"16,19 ";"";"8136 "
"630 ";"G 3/8'' ";"G 1/2'' ";"41,0 ";"12,0 ";"20,0 ";"27 ";"B ";"GRI-3/8''-wd x 1/2'' ";"18,15 ";"";"8137 "
"630 ";"G 3/8'' ";"G 1/4'' ";"36,0 ";"12,0 ";"17,0 ";"22 ";"B ";"GRI-3/8''-wd x 1/4'' ";"16,19 ";"";"8138 "
"400 ";"G 1/2'' ";"G 1 1/4'' ";"53,0 ";"14,0 ";"26,5 ";"55 ";"B ";"GRI-1/2''-wd x 1 1/4'' ";"104,82 ";"";"8139 "
"400 ";"G 1/2'' ";"G 1'' ";"49,0 ";"14,0 ";"24,5 ";"41 ";"B ";"GRI-1/2''-wd x 1'' ";"35,71 ";"";"8140 "
"400 ";"G 1/2'' ";"G 3/4'' ";"46,0 ";"14,0 ";"22,0 ";"36 ";"B ";"GRI-1/2''-wd x 3/4'' ";"23,78 ";"";"8141 "
"630 ";"G 1/2'' ";"G 3/8'' ";"36,0 ";"14,0 ";"17,0 ";"27 ";"B ";"GRI-1/2''-wd x 3/8'' ";"20,93 ";"";"8142 "
"315 ";"G 3/4'' ";"G 1 1/2'' ";"57,0 ";"16,0 ";"28,5 ";"60 ";"B ";"GRI-3/4''-wd x 1 1/2'' ";"125,27 ";"";"8143 "
"400 ";"G 3/4'' ";"G 1 1/4'' ";"55,0 ";"16,0 ";"26,5 ";"55 ";"B ";"GRI-3/4''-wd x 1 1/4'' ";"102,26 ";"";"8144 "
"400 ";"G 3/4'' ";"G 1'' ";"51,0 ";"16,0 ";"24,5 ";"41 ";"B ";"GRI-3/4''-wd x 1'' ";"38,09 ";"";"8145 "
"400 ";"G 3/4'' ";"G 1/2'' ";"41,0 ";"16,0 ";"20,0 ";"32 ";"B ";"GRI-3/4''-wd x 1/2'' ";"28,89 ";"";"8146 "
"315 ";"G 1'' ";"G 1 1/2'' ";"59,0 ";"18,0 ";"28,5 ";"60 ";"B ";"GRI-1''-wd x 1 1/2'' ";"125,27 ";"";"8147 "
"400 ";"G 1'' ";"G 1 1/4'' ";"57,0 ";"18,0 ";"26,5 ";"55 ";"B ";"GRI-1''-wd x 1 1/4'' ";"100,73 ";"";"8148 "
"400 ";"G 1'' ";"G 3/4'' ";"47,0 ";"18,0 ";"22,0 ";"41 ";"B ";"GRI-1''-wd x 3/4'' ";"36,05 ";"";"8149 "
"315 ";"G 1 1/4'' ";"G 1 1/2'' ";"60,0 ";"20,0 ";"28,5 ";"60 ";"B ";"GRI-1 1/4''-wd x 1 1/2'' ";"123,99 ";"";"8150 "
"400 ";"G 1 1/4'' ";"G 1'' ";"52,0 ";"20,0 ";"24,5 ";"50 ";"B ";"GRI-1 1/4''-wd x 1'' ";"65,91 ";"";"8151 "
"315 ";"G 1 1/2'' ";"G 1 1/4'' ";"58,0 ";"22,0 ";"26,5 ";"55 ";"B ";"GRI-1 1/2''-wd x 1 1/4'' ";"97,15 ";"";"8152 "
