"Druck  Pressure  PN";"Gewinde  Thread  G = BSP";"Gewinde  Thread  G1 = BSP";"Ca. Maﬂe  Approx. Dimensions  L";"Ca. Maﬂe  Approx. Dimensions  L1";"Ca. Maﬂe  Approx. Dimensions  L2";"Ca. Maﬂe  Approx. Dimensions  D";"Ca. Maﬂe  Approx. Dimensions  SW";"Art.-Nr.";"Brutto preis";"Serie";"ID"
"400 ";"1/8''-28 ";"1/8''-28 ";"23,0 ";"8 ";"8 ";"4,5 ";"14 ";"1050510-02-02 ";"5 ";"";"1497 "
"400 ";"1/4''-19 ";"1/4''-19 ";"29,0 ";"10 ";"10 ";"6,0 ";"19 ";"1050510-04-04 ";"5,1 ";"";"1498 "
"400 ";"3/8''-19 ";"3/8''-19 ";"35,0 ";"12 ";"12 ";"9,0 ";"22 ";"1050510-06-06 ";"5,65 ";"";"1499 "
"400 ";"1/2''-14 ";"1/2''-14 ";"41,0 ";"14 ";"14 ";"13,0 ";"27 ";"1050510-08-08 ";"7,8 ";"";"1500 "
"400 ";"5/8''-14 ";"5/8''-14 ";"43,5 ";"16 ";"16 ";"14,5 ";"30 ";"1050510-10-10 ";"12,5 ";"";"1501 "
"400 ";"3/4''-14 ";"3/4''-14 ";"46,0 ";"16 ";"16 ";"18,0 ";"32 ";"1050510-12-12 ";"12,3 ";"";"1502 "
"400 ";"1''-11 ";"1''-11 ";"52,0 ";"18 ";"18 ";"23,5 ";"41 ";"1050510-16-16 ";"19,3 ";"";"1503 "
"200 ";"1 1/4''-11 ";"1 1/4''-11 ";"58,0 ";"20 ";"20 ";"30,0 ";"50 ";"1050510-20-20 ";"27,5 ";"";"1504 "
"200 ";"1 1/2''-11 ";"1 1/2''-11 ";"61,0 ";"22 ";"22 ";"37,0 ";"55 ";"1050510-24-24 ";"35,8 ";"";"1505 "
"100 ";"2''-11 ";"2''-11 ";"67,0 ";"25 ";"25 ";"45,0 ";"70 ";"1050510-32-32 ";"74,8 ";"";"1506 "
"70 ";"2 1/2''-11 ";"2 1/2''-11 ";"70,0 ";"26 ";"26 ";"51,0 ";"90 ";"1050510-40-40 ";"172,5 ";"";"1507 "
